Electorate Candidate and Party Votes Recorded at Each Polling Place
"Dunedin South 9","Candidate Vote Details"
,,"CURRAN, Clare Elizabeth","GALLAGHER, Shane Anthony","HANNAH, Kimberly Joanne","HAYES, Joanne Kowhai","MURRAY, Kay Elizabeth","RATANA, Randall Anthony","VOIGHT, Warren Raymond","WANSINK, Robert Charles","Total Valid Candidate Votes","Informal Candidate Votes"
"Abbotsford","Community Hall, 72 North Taieri Road",110,16,0,97,0,7,1,0,231,3
,"Scout Hall, corner Abbotsford Road & Unsworth Street",392,56,3,255,2,20,4,8,740,19
"Allanton","Allanton Community Centre, 11 Grey Street",57,11,1,108,0,3,3,0,183,3
"Andersons Bay","Presbyterian Church Hall, 76 Silverton Street",610,140,10,497,8,19,13,6,1303,24
"Brighton","Big Rock School, 2 Bath Street",226,61,3,140,4,14,5,0,453,7
"Broad Bay","Broad Bay School, 4 Roebuck Rise",183,59,2,54,1,9,1,0,309,4
"Calton Hill","Calton Hill Community Hall, 38 Riselaw Road",301,44,0,88,1,9,5,2,450,11
"Caversham","Caversham Presbyterian Church Hall, 61 Thorn Street",389,52,4,170,7,24,10,4,660,13
,"Caversham School Hall, 217 South Road",345,63,7,118,7,11,3,5,559,16
"Concord","Concord Kindergarten, 93 Mulford Street",132,22,0,50,1,3,3,2,213,6
,"Concord School, 5 Thoreau Street",191,26,0,119,0,8,0,0,344,8
"Corstorphine","Corstorphine Community Centre, 235 Middleton Road",512,88,3,193,4,28,4,1,833,22
"Dunedin City","Court House, 41 Lower Stuart Street",34,16,2,31,0,1,0,0,84,1
,"Dunedin Hospital, 1st Floor Foyer to Lecture Halls, 201 Great King Street",45,18,0,39,1,3,2,0,108,2
,"Malcam Trust, Jubilee Park (off Maori Road)",10,3,1,6,0,0,0,0,20,0
,"Salvation Army McMillan Lounge, 575 Princes Street",31,8,0,17,0,1,0,0,57,0
"Dunedin North","George Street Normal School, 989 George Street",27,6,0,19,0,1,0,0,53,1
,"Knox Church Hall, 453 George Street ",17,6,0,16,0,0,0,0,39,1
,"University of Otago, ISB Link East, 630 Cumberland Street",38,18,1,15,0,1,0,1,74,0
"East Taieri","East Taieri School, 11 Cemetery Road",156,24,3,318,0,9,5,1,516,7
"Fairfield","Fairfield Community Hall, corner Main Road & Fairplay Street",545,90,2,663,0,33,13,3,1349,29
"Forbury Corner","St Bernadette's School Hall, 16 Forbury Road",200,36,1,139,1,11,1,2,391,4
"Green Island","Pipe Band Hall, 186 Main South Road",575,96,7,358,0,57,11,4,1108,36
,"The Landmark Baptist Lighthouse, 222 Main South Road",358,43,9,198,0,23,3,2,636,16
