Electorate Candidate Votes Recorded at Each Voting Place
"East Coast 10","Candidate Vote Details"
,,"DRAYSON, Rick John","MACKEY, Moana Lynore","MACLEAN, Gavin Wareham","SALMON, Patrick","SMITH, Harry Alchin","TAKOKO, Mere Mere","TOLLEY, Anne Merrilyn ","Total Valid Candidate Votes","Informal Candidate Votes"
"Awakeri","Awakeri School, 974 State Highway 30",7,85,32,4,1,30,407,566,3
"Cape Runaway","Te Kura Mana Māori o Whangaparaoa, State Highway 35",0,4,0,0,0,3,8,15,0
"Coastlands","Rangitaiki Independent School, 33 Meadow Vale",2,53,16,1,0,15,232,319,1
"Edgecumbe","Edgecumbe College, 100 College Road",18,179,38,3,0,56,293,587,5
"Galatea","Galatea School, Mangamate Road",6,14,6,0,0,15,176,217,0
"Gisborne","Awapuni School, 129 Awapuni Road",2,87,22,1,0,14,130,256,3
,"Central School, 7 Central Street",16,263,96,3,2,21,475,876,7
,"Cobham School, 274 Lytton Road",1,101,9,1,0,17,42,171,3
,"Elgin School, 2 Knox Street",13,174,28,2,1,36,147,401,3
,"Gisborne  Hospital, 421 Ormond Road",7,95,25,1,0,21,166,315,6
,"Gisborne District Council, 15 Fitzherbert Street",17,274,95,3,4,24,402,819,6
,"Gisborne Girls High School, 555 Gladstone Road",12,222,53,5,1,55,222,570,9
,"Ilminster Intermediate, 70 - 80 De Lautour Road",8,226,64,3,5,29,238,573,8
,"Kaiti School, 517 Wainui Road",7,214,48,4,3,26,94,396,4
,"Mangapapa School, 5 Rua Street",19,309,90,5,6,60,396,885,11
,"Riverdale School, 324 Stout Street",16,224,46,6,1,45,379,717,4
,"Rutene Road Kindergarten, 128 Rutene Road",7,127,44,2,2,17,138,337,7
,"Te Hapara School, 31 Mill Road",11,204,41,1,1,38,306,602,3
,"Waikirikiri School, 7 Pickering Street",2,61,7,1,0,13,13,97,2
,"YMCA Hall, 150 Roebuck Road",7,126,27,1,3,16,74,254,3
"Hicks Bay","Te Kura Kaupapa Māori o Kawakawa mai Tawhiti, 22 Wharf Road",0,12,6,1,0,1,10,30,0
"Kawerau","District Council, Town Hall, Ranfurly Court",19,323,46,12,1,110,229,740,9
,"Putauaki School Hall, 87 Fenton Mill Road",7,110,14,0,0,51,120,302,4
"Kutarere","Kutarere School, 461 State Highway 2",3,31,11,2,1,15,83,146,2
"Makaraka","Gisborne, A and P Showgrounds, 20 Main Road ",1,28,7,0,0,9,20,65,3
,"Makaraka School, 137 Main Road South",6,86,33,1,4,20,246,396,0
"Makauri","Makauri School, 120 King Road",10,64,19,1,4,11,210,319,2
"Maketu","Maketu School, School Road",3,73,21,2,0,26,93,218,4
"Manawahe","Manawahe Community Hall, 1866 Manawahe Road",4,19,6,0,0,9,48,86,3
"Manutuke","Manutuke School, 59 Waingake Road",1,42,7,0,0,12,63,125,1
"Matata","Matata Public School, 43 Pollen Street",7,87,37,2,0,40,203,376,4
"Minginui","Minginui Health & Kokiri Centre, 63 Rimu Crescent",0,4,1,1,0,0,3,9,1
"Murupara","Murupara Municipal Hall, Pine Drive",4,45,3,1,1,20,33,107,1
"Ohope","Ohope Beach School, 170 Pohutukawa Avenue",10,93,36,2,0,22,276,439,3
,"Ohope Community Hall, Bluett Road",16,149,59,0,3,28,527,782,2
"Omaio","Te Kura o Omaio, School Road",0,13,1,0,0,1,4,19,0
"Omarumutu","Omarumutu School, 141 Omarumutu Road",2,11,5,0,0,5,18,41,0
"Opotiki","Opotiki College Hall, St John Street",4,118,38,4,0,31,146,341,0
,"Opotiki Senior Citizens Hall, 1 King Street",10,138,42,0,1,41,276,508,12
"Ormond","Ormond School, 45 Whitmore Road",3,29,9,1,3,12,182,239,6
"Otakiri","Otakiri School, Staff Room, 571 Otakiri Road",5,39,14,0,1,23,170,252,0
"Otamarakau","Otamarakau School, Room 2, 2216 Old Coach Road",2,8,6,1,0,7,90,114,0
"Paengaroa","Paengaroa School, Multi Purpose Room, 33 Old Coach Road",16,72,22,1,0,47,368,526,3
"Patutahi","Patutahi School, 29 Atkins Street",1,37,9,3,0,12,58,120,2
"Pongakawa","Pongakawa School, 956 Old Coach Road",7,32,6,3,0,18,258,324,3
"Pukehina","Pukehina School, 1762 Old Coach Road",2,4,1,0,1,5,39,52,2
"Pukehina Beach","Pukehina Community Hall, 14 Pukehina Parade",3,38,15,1,0,30,178,265,3
"Raukokore","Raukokore School, State Highway 35",1,5,4,0,1,3,31,45,1
"Ruatahuna","Huiarau School, 98 Sister Annie Road",0,1,0,0,0,0,7,8,0
"Ruatoki North","Te Kura o Tawera, 164 Ngahina Road",0,7,1,0,0,0,0,8,0
"Ruatoria","Ngata Memorial College, 1 College Road North",1,24,8,1,0,9,19,62,1
"Taneatua","Taneatua School, 44 McKenzie Street",0,31,6,2,0,10,79,128,1
"Te Araroa","Te Waha O Rerekohu Area School, 3 Arewhana Street",3,15,7,1,0,5,10,41,0
"Te Kaha","Te Whanau-a-Apanui Area School, State Highway 35",0,30,4,0,0,5,14,53,0
"Te Karaka","Te Karaka Area School, 5 Kanakanaia Road",6,42,14,2,0,17,102,183,1
"Te Puia Springs","GDC Service Centre, 6 Waipiro Road",1,14,3,0,1,4,4,27,0
"Te Puke","Te Puke Memorial Hall, 130 Jellicoe Street",2,31,16,0,0,16,120,185,1
"Te Teko","Te Kura o Te Teko School Hall, 6 Te Teko Road",3,36,4,2,0,14,63,122,0
"Thornton","Thornton School Hall, 43 Eastbank Road",3,16,5,0,0,8,125,157,2
"Tikitiki","Tikitiki School, 33 Rangitukia Road",1,16,3,0,0,6,5,31,0
"Tokomaru Bay","Hatea-A-Rangi School, 6 School Road",2,25,8,1,0,8,18,62,0
"Tolaga Bay","Tolaga Bay Area School, Resolution Street",1,52,6,2,0,33,66,160,0
"Torere","Te Kura o Torere, 2276 State Highway 35",1,12,0,0,0,7,8,28,0
"Waimana","Nukuhou North School, State Highway 2",2,16,4,0,0,11,49,82,0
,"Waimana School, 6 Raroa Road",3,9,5,3,0,2,28,50,1
"Wainui","Wainui Beach School, 56 Wairere Road",11,154,82,0,1,10,279,537,5
"Waitangi","Te Kura Kaupapa Māori o Te Matai, 309 State Highway 2",3,1,3,0,0,5,34,46,1
"Whakatane","Allandale School, 167 King Street",24,206,55,6,1,52,278,622,1
,"District Council, 9 Commerce Street",31,295,90,5,0,76,754,1251,6
,"Reads Auction Hall, 17 King Street",14,226,34,8,2,55,452,791,8
,"Salvation Army Hall, 87 King Street",11,167,33,9,1,42,220,483,0
,"Te Whare Kura o Ruatoki, 16 Mission Road",1,10,2,2,0,1,3,19,0
,"Whakatane Intermediate School Hall, 101 James Street",24,172,45,0,1,52,349,643,3
"Whangara","Whangara School, 44 Pa Road",0,8,2,0,0,4,31,45,0
"Whatatutu","Whatatutu School, 24 Te Hau Road",0,8,2,1,0,1,16,28,0
"Woodlands","Woodlands School, 168 Dip Road",5,29,7,0,0,5,92,138,0
,"Voting places where less than 6 votes were taken",0,1,0,1,0,1,1,4,0
,"Ordinary Votes BEFORE polling day",238,2862,634,81,20,658,5215,9708,90
,"Special Votes BEFORE polling day",21,283,87,17,1,58,418,885,10
,"Special Votes On polling day",42,494,207,26,7,134,711,1621,15
,"Overseas Special Votes including Defence Force",5,95,37,3,0,16,184,340,0
,"East Coast Total",784,10140,2679,259,86,2485,18074,34507,305
,,,,,,,,"Valid Candidate Votes plus Informal Candidate Votes",34812
"Electorate Candidate Valid Votes","Party",,"TOLLEY, Anne Merrilyn  - majority 7934"
