Electorate Candidate Votes Recorded at Each Voting Place
"Epsom 12","Candidate Vote Details"
,,"GENTER, Julie Anne","GOLDSMITH, Paul Jonathan","GOODE, Matthew Gavin","HADEN, Grace","HOLLAND, Adam John","KRUGER, Susanna Susara","LYON, Clifton Killip","O'DEA, Patrick John","RANKIN-MacINTYRE, Christine Kathryn","SEYMOUR, David Breen","WOOD, Michael Philip","Total Valid Candidate Votes","Informal Candidate Votes"
"Auckland City","Auckland High Court, corner Waterloo Quadrant & Parliament Street",4,17,0,0,0,0,1,0,4,18,7,51,0
,"AUSA Club Space, The Quad, Auckland University",8,15,0,0,0,0,1,0,1,17,6,48,0
,"AUT Wellesley Campus, Building WA, Conference Room, Gate 2, 55 Wellesley Street ",7,8,0,0,0,0,0,0,1,10,4,30,0
,"Liston House, 30-32 Hobson Street",15,90,0,1,0,0,6,1,6,118,25,262,0
,"Methodist Church Wesley Hall, 78 Pitt Street",3,6,0,0,0,0,0,0,0,4,1,14,0
"Balmoral","Auckland Deaf Society Incorporated, 164 Balmoral Road",24,51,0,0,0,1,1,0,9,50,39,175,2
"Epsom","Auckland Grammar School, 85 Mountain Road",84,305,0,1,1,0,12,3,34,385,100,925,15
,"Epsom Girls Grammar School, 14 Silver Road",103,324,3,1,1,2,18,6,70,454,180,1162,17
,"Epsom Methodist Church Hall, 12 Pah Road",38,172,0,1,0,0,12,1,39,234,61,558,7
,"Epsom Normal School, 41 The Drive",94,481,0,4,2,1,22,6,62,785,213,1670,17
,"Sacred Heart Parish Hall, 19 Banff Avenue",47,296,1,0,0,0,10,1,63,476,85,979,7
,"St George's Church Hall, 19 Ranfurly Road",87,354,1,2,0,0,20,2,78,470,127,1141,14
"Grafton","Auckland City Hospital, Foyer, 2 Park Road",18,41,0,1,0,0,4,0,5,28,19,116,0
,"St David's Presbyterian Church Hall, 70 Khyber Pass Road",8,40,0,0,0,0,1,0,3,18,20,90,1
"Greenlane","Cornwall Park District School, corner Greenlane West & Wheturangi Roads",41,238,2,5,0,1,15,1,75,395,70,843,7
"Kingsland","Congregational Christian Church of Samoa, 50 Bond Street",5,3,0,0,0,0,0,0,0,0,1,9,0
,"Kowhai Intermediate School, 26 Onslow Road",13,24,0,0,0,0,4,1,3,12,4,61,1
"Matakana","Matakana School, 952 Matakana Road",0,6,0,0,0,0,0,0,2,16,2,26,0
