Electorate Candidate Votes Recorded at Each Voting Place
"Helensville 15","Candidate Vote Details"
,,"BRIGHT, Penelope Mary","DOUGHERTY, Deborah Shay","GRAHAM, Kennedy Gollan Montrose","HADDOCK, Corie Jon","HARRÉ, Laila Jane","KEY, John Phillip","PIRRIE, Phelan Michael","WHYTE, Brendan Richard","Total Valid Candidate Votes","Informal Candidate Votes"
"Albany","Albany Community Hall, 3/21 Library Lane",16,38,98,107,35,923,6,3,1226,4
,"Albany Primary School, 6 Bass Road",1,3,5,6,3,53,0,0,71,0
,"Massey University, Building 82, Gate 4, Turitea Place (off Old Albany Highway)",1,5,7,6,1,37,0,1,58,0
"Coatesville","Coatesville School, 24 Mahoenui Valley Road",8,12,64,42,16,739,5,0,886,4
"Dairy Flat","Dairy Flat School, 1220 State Highway 17",10,63,105,103,23,1099,6,4,1413,9
"Glen Eden","Prospect School Hall, 76 Rosier Road",0,0,6,9,1,25,0,0,41,0
,"Te Kura Kaupapa Māori o Hoani Waititi Marae, 441 West Coast Road",1,0,8,6,5,16,0,0,36,0
"Green Bay","Green Bay Community House, 1 Barron Drive",1,3,20,10,3,28,0,0,65,1
"Helensville","Helensville Primary School Hall, corner Rata & Garfield Roads",35,47,175,258,38,948,13,1,1515,8
"Henderson","Henderson South School, 24 Garelja Road",0,1,4,1,0,17,0,0,23,2
,"Henderson Valley Primary School, 389 Henderson Valley Road",10,15,103,113,26,377,1,3,648,4
,"Summerland School, 62 Summerland Drive",0,0,5,5,0,21,0,0,31,0
,"Waitakere College, 42 Rathgar Road",0,0,2,9,1,7,0,0,19,0
,"Western Heights School, 126 Sturges Road",0,1,6,14,1,35,1,0,58,0
"Herald Island","Herald Island Community Hall, 57 Ferry Parade",3,8,28,48,14,250,1,0,352,6
"Hobsonville","Hobsonville Primary School, 104 Hobsonville Road",1,0,5,0,1,29,1,0,37,0
,"Hobsonville Public Hall, 397 Hobsonville Road",0,1,6,5,4,42,0,0,58,1
"Huapai","Huapai District School Hall, 40 Station Road",2,18,55,61,15,413,9,1,574,2
"Huia","Huia Hall, 1253 Huia Road",2,6,73,79,14,117,2,2,295,1
