Electorate Candidate Votes Recorded at Each Voting Place
"Hunua 16","Candidate Vote Details"
,,"BAYLY, Andrew Henry","CUMMINGS, Ian James","HUDSON, Neville Henry","MITCHELL, Huia Jean","PHILLIPS, Thomas Tuatu Toihau","REEVES, Jon Blaiklock","WILLIAMS, Arena Hinekura Sherburd","Total Valid Candidate Votes","Informal Candidate Votes"
"Alfriston","Alfriston School, Performing Arts Centre, corner Mill & Alfriston Roads",19,1,1,0,1,1,3,26,0
"Ararimu","Ararimu School, corner Steel & Ararimu Roads",368,3,21,0,1,31,37,461,2
"Ardmore","Ardmore School Library, 559 Papakura-Clevedon Road",35,0,3,0,1,5,9,53,0
"Awhitu","Awhitu District School, corner Matakawa & Awhitu Roads",220,2,18,2,5,39,133,419,2
"Beachlands","Beachlands School, 18 Bell Road (disabled access from Wakelin Road)",1204,11,55,7,10,155,236,1678,13
"Bombay","Bombay School, 35 Paparata Road",611,5,40,4,3,48,87,798,3
"Botany Downs","Botany Downs Secondary College, 575 Chapel Road",35,6,5,0,1,2,10,59,1
,"St Columba Presbyterian Church, 480 Ti Rakau Drive",3,1,1,0,0,1,1,7,0
"Botany South","Sancta Maria College, 319 Te Irirangi Drive",69,3,8,0,2,2,19,103,1
"Brookby","Brookby School, corner Brookby & West Roads",122,1,6,0,1,6,28,164,1
"Buckland","Buckland School, 72 George Crescent",201,5,17,2,3,29,45,302,3
"Chapel Downs","Chapel Downs Primary School, 170 Dawson Road",12,0,0,0,1,2,15,30,0
"Clarks Beach","Church By The Seashore, 14-16 Torkar Road",303,2,20,2,4,38,92,461,3
"Clevedon","Clevedon School, 13-17 North Road",567,6,27,1,4,35,75,715,5
"Dannemora","Point View Primary School, 25 Kilkenny Drive",14,0,1,0,0,1,6,22,0
,"Willowbank School, 56 Middlefield Drive",24,1,4,0,0,1,5,35,0
"Drury","Drury School Hall, 23-25 Young Crescent",187,1,8,0,1,24,38,259,2
"Flat Bush","Baverstock Oaks School, 21 Baverstock Road",41,0,1,0,0,1,6,49,0
,"Mission Heights Primary School, 103 Jeffs Road",804,46,38,5,3,30,259,1185,21
,"Ormiston Senior College, 275 Ormiston Road",394,34,22,1,0,19,135,605,6
"Glenbrook","Glenbrook Primary School, 459 Glenbrook Road",378,6,21,2,5,59,88,559,7
"Hingaia","CCS Buildings, Potter Lounge, 128 Hingaia Road",8,0,1,0,0,0,0,9,0
"Hunua","Hunua School, 39 Lockwood Road",358,4,23,5,3,47,75,515,4
"Karaka","Karaka School Hall, 12 Blackbridge Road ",106,1,7,0,2,6,15,137,0
,"Te Hihi School Hall, corner Linwood & Batty Roads",23,0,1,0,0,2,6,32,0
"Kawakawa Bay","Kawakawa Bay Public Hall, 9 Kawakawa-Orere Road",172,1,12,0,2,36,50,273,5
"Maraetai","Maraetai Beach School, 154 Maraetai Drive",693,3,33,1,5,78,154,967,10
"Mauku","Mauku School, 389 Union Road",261,4,10,0,1,23,44,343,1
"Meadowlands","Auckland Fiji Methodist Church, 128 Whitford Road",36,3,2,1,0,2,5,49,2
"Orere Point","Orere School, 289 Orere Point Road",66,2,2,0,1,17,40,128,1
"Paerata","Paerata Community Centre, 1022 Paerata Road",160,4,13,3,3,31,63,277,1
"Papakura","Papakura District Court, corner Great South Road & Wood Street",21,0,0,0,0,11,8,40,0
"Paparimu","Paparimu School, 7 Matheson Road",129,3,10,0,0,6,15,163,3
"Patumahoe","Patumahoe School, 38 Patumahoe Road",720,9,31,1,2,76,105,944,7
"Pukekohe","Pukekohe East School, 137 Runciman Road",271,6,30,0,1,9,39,356,2
,"Pukekohe Hill School, corner Ward Street & Green Lane",891,9,41,1,6,127,264,1339,26
,"Pukekohe Intermediate School, 44 Queen Street",995,23,53,3,17,148,416,1655,20
,"Pukekohe North School, corner Princes Street & Beatty Road",135,5,16,3,18,50,246,473,8
,"St Josephs Primary School, 94 Seddon Street",556,10,44,4,6,104,228,952,14
,"The Playhouse Pre-School, 41 Twomey Drive, Newsham Park",287,8,13,1,0,21,49,379,3
,"Valley School, East Street",692,13,28,5,2,68,169,977,7
"Pukeoware","Pukeoware School, 479 Baldhill Road",120,2,1,0,2,27,33,185,2
"Puni","Puni School, 357 Waiuku Road",188,4,13,0,3,22,40,270,0
"Ramarama","Ramarama School, 126 Ararimu Road",357,4,18,2,4,28,68,481,3
"Somerville","Somerville Intermediate School, 39 Somerville Road",24,0,0,0,1,0,1,26,0
"Tuakau","Tuakau Primary School, 6 School Road",17,0,1,0,1,1,2,22,3
"Waiau Pa","Waiau Pa School, Events Centre, 571 Waiau Pa Road",486,7,16,3,2,48,83,645,6
"Waipipi","Waipipi School, 100 Creamery Road",164,3,11,1,3,25,44,251,1
"Waiuku","Sandspit Road School, 60 Sandspit Road",472,5,29,4,8,91,122,731,7
,"View Road School, 16 View Road  ",226,2,15,1,5,63,103,415,5
,"Waiuku College, 43 Constable Road",261,2,37,1,3,42,83,429,8
,"Waiuku Primary School, George Street",545,15,35,1,10,121,227,954,7
"Whitford","Whitford Hall, 1 Whitford-Maraetai Road",713,7,26,0,4,47,64,861,12
,"Voting places where less than 6 votes were taken",0,0,0,0,1,0,2,3,0
,"Ordinary Votes BEFORE polling day",5580,65,379,19,45,725,1322,8135,70
,"Special Votes BEFORE polling day",591,14,46,2,11,77,181,922,17
,"Special Votes On polling day",1415,46,110,5,23,180,470,2249,32
,"Overseas Special Votes including Defence Force",271,7,9,3,3,12,82,387,3
,"Hunua Total",23621,425,1433,96,244,2900,6245,34964,360
,,,,,,,,"Valid Candidate Votes plus Informal Candidate Votes",35324
"Electorate Candidate Valid Votes","Party",,"BAYLY, Andrew Henry - majority 17376"
"BAYLY, Andrew Henry",National Party,23621,.6755805972
"CUMMINGS, Ian James",ACT New Zealand,425,.0121553598
"HUDSON, Neville Henry",Conservative,1433,.0409850132
"MITCHELL, Huia Jean",Democrats for Social Credit,96,.0027456813
"PHILLIPS, Thomas Tuatu Toihau",Māori Party,244,.0069786066
"REEVES, Jon Blaiklock",New Zealand First Party,2900,.0829424551
"WILLIAMS, Arena Hinekura Sherburd",Labour Party,6245,.1786122869
