Electorate Candidate Votes Recorded at Each Voting Place
"Kaikōura 20","Candidate Vote Details"
,,"BROWNING, Steffan John","CAMPBELL, Steven Robert","EVANS, Richard Warwick","HOWARD, Thomas Edward","HUDSON, Howard Mathew","McCASKEY, John Stuart James","SMITH, Stuart Tayler","TOMLINSOM, Glen James","WALKER, Janette Florence","Total Valid Candidate Votes","Informal Candidate Votes"
"Amberley","Amberley School, corner Douglas & Lawcocks Roads",29,22,0,1,13,10,254,2,104,435,2
,"Hurunui District Council, 66 Carters Road",72,20,1,1,11,16,383,8,139,651,6
"Ashley","Ashley School, corner Boundary & Fawcetts Roads",58,15,1,0,12,7,370,3,74,540,8
"Balcairn","Balcairn Hall, 4 Ashbys Road",25,12,0,0,13,2,151,2,31,236,1
"Blenheim","Alzheimers Centre, 8 Wither Road",36,32,2,1,26,0,389,6,181,673,7
,"Baptist Church Hall, corner Beaver Road & High Street",35,33,0,0,15,0,299,6,159,547,6
,"Bohally Intermediate School Hall, 37-49 McLauchlan Street",53,16,0,0,16,0,299,8,149,541,1
,"Bright Centre, 2 Dillons Point Road",40,35,1,0,20,0,154,4,96,350,2
,"Marlborough Boys' College Pavilion, 61 Francis Street",72,37,6,1,16,4,422,7,261,826,4
,"Marlborough District Council Offices, 15 Seymour Street",40,22,2,0,11,0,228,4,100,407,3
,"Mayfield School Hall, 79 Hutcheson Street",31,31,2,1,22,1,216,6,142,452,2
,"Nativity Anglican Church Hall, 76 Alfred Street",15,17,2,1,7,1,112,4,76,235,0
,"NMIT Marlborough Campus, E Block, Ballinger Drive",33,28,3,0,21,1,162,7,163,418,4
,"Redwoodtown School, 90 Cleghorn Street",119,119,12,3,65,4,811,19,614,1766,22
,"Springlands School Hall, corner Murphys Road & Aston Street",70,36,3,1,22,2,678,10,222,1044,11
,"St Mark's Hobbies Room, 61 Main Street",17,31,0,0,14,1,121,6,91,281,4
,"St Ninian's Church Hall, corner Alabama Road & Riley Crescent",42,28,4,2,30,2,348,7,177,640,10
