Electorate Candidate Votes Recorded at Each Voting Place
"Māngere 23","Candidate Vote Details"
,,"PAPALI'I, James Philip","SAAFI, Etuate Lui (Edward)","SIO, Sua William","STRICKSON-PUA, Muamua Sofi","TURNER-TUPOU, Fia Taemanu","Total Valid Candidate Votes","Informal Candidate Votes"
"Favona","Favona School, Cadrona Place entrance",18,53,704,33,96,904,15
,"Koru School, 71 Robertson Road",11,40,701,35,103,890,31
"Ihumatao","Makaurau Marae, 8 Ruaiti Road",5,0,19,6,6,36,0
"Mangere","Jean Batten School, 6 Imrie Avenue",21,50,628,20,112,831,6
,"Mangere Central School, 254 Kirkbride Road",10,17,315,16,48,406,15
,"Mangere College, 23 Bader Drive",31,47,629,18,63,788,18
,"Mangere Old School Hall, 299 Kirkbride Road",5,36,287,24,59,411,7
,"Nga Iwi School, 60 Mascot Avenue",18,47,728,18,76,887,22
,"Robertson Road School, 205 Robertson Road",8,55,721,37,62,883,6
,"Sir Douglas Bader Intermediate School, 4 Court Town Close",4,12,140,5,7,168,9
,"Southern Cross Campus, 253 Buckland Road West",19,52,602,19,50,742,10
,"Te Kura Kaupapa Maori a Rohe o Mangere, 7 Comet Crescent",3,19,232,11,15,280,4
,"Viscount Learning Community School, 65 Viscount Street",31,45,464,24,21,585,9
"Mangere Bridge","Mangere Bridge School, 3-5 Taylor Road Entrance",27,29,503,91,283,933,16
,"St James Anglican Church Hall, 27 Church Road",19,49,433,103,350,954,20
,"Waterlea School, 17 House Avenue",12,43,318,74,354,801,11
"Mangere East","De La Salle College, 81 Gray Avenue",6,17,366,29,113,531,9
,"Kingsford School, 54 Raglan Street",13,36,615,14,70,748,10
,"Mangere East Primary School, 21 Yates Road",15,48,739,27,65,894,8
,"Selwyn Anglican Church Hall, corner Massey Road & Hain Avenue",9,35,518,18,93,673,20
,"Sutton Park School, 89 Vine Street",10,52,466,18,42,588,8
"Otahuhu","Middlemore Hospital, Hospital Road",0,3,60,3,15,81,3
,"Otahuhu College, 74-78 Mangere Road",1,1,13,4,4,23,1
"Otara","Otara Leisure Centre, Seminar Room, 115 Bairds Road ",0,0,22,0,4,26,1
"Papatoetoe","Aorere College, 6-8 Selfs Road",2,11,147,11,48,219,9
,"Kedgley Intermediate School, 181 Portage Road",6,20,396,28,156,606,8
,"Papatoetoe West School, 1-3 Hillcrest Road",7,6,180,27,71,291,6
,"Wesley Methodist Church Hall, 37 Kolmar Road",2,5,19,2,4,32,1
,"Voting places where less than 6 votes were taken",0,0,0,0,0,0,0
,"Ordinary Votes BEFORE polling day",127,441,5159,305,1146,7178,168
,"Special Votes BEFORE polling day",28,57,1017,54,126,1282,22
,"Special Votes On polling day",62,142,1660,103,278,2245,39
,"Overseas Special Votes including Defence Force",6,5,107,13,35,166,2
,"Māngere Total",536,1473,18908,1190,3975,26082,514
,,,,,,"Valid Candidate Votes plus Informal Candidate Votes",26596
"Electorate Candidate Valid Votes","Party",,"SIO, Sua William - majority 14933"
"PAPALI'I, James Philip",MANA Movement,536,.0205505713
"SAAFI, Etuate Lui (Edward)",Conservative,1473,.0564757304
"SIO, Sua William",Labour Party,18908,.7249444061
"STRICKSON-PUA, Muamua Sofi",Green Party,1190,.0456253355
"TURNER-TUPOU, Fia Taemanu",National Party,3975,.1524039568
