Electorate Candidate Votes Recorded at Each Voting Place
"North Shore 33","Candidate Vote Details"
,,"BARRY, Margaret Mary","KEARNEY, Nicholas Norman","LEITCH, Timothy Paul","PERKIN, Melissa Mary","STANSFIELD, Brett Thomas","SZABÓ, Claire Elizabeth","Total Valid Candidate Votes","Informal Candidate Votes"
"Bayswater","Bayswater School, 181 Bayswater Avenue",725,20,3,109,186,387,1430,17
"Belmont","Belmont Primary School, 3A Harrison Avenue",459,9,2,31,83,156,740,9
"Browns Bay","Browns Bay Red Cross Centre, 5 Wilks Lane",19,0,1,1,8,11,40,0
"Campbells Bay","Campbells Bay School Hall, 77 Aberdeen Road",1160,22,2,77,125,191,1577,7
"Castor Bay","Wat Phra Dhammakaya Hall, corner Seaview Road & Katui Street",726,19,2,55,92,132,1026,5
"Devonport","Devonport Community House, 32 Clarence Street",569,10,4,51,211,311,1156,10
,"Devonport Holy Trinity Parish Hall, 20 Church Street",438,11,2,46,131,262,890,13
,"Devonport St Paul's Ltd, corner Victoria & Albert Streets",383,10,0,44,123,225,785,9
"Forrest Hill","Forrest Hill Presbyterian Church Hall, 151 Forrest Hill Road",1010,42,2,169,130,354,1707,26
,"Westlake Boys High School, 30 Forrest Hill Road",463,23,3,59,45,175,768,5
"Glenfield","Glenfield Community Centre, corner Glenfield Road & Bentley Avenue",25,1,0,2,8,12,48,2
,"Glenfield Primary School, 101 Chivalry Road",15,0,1,1,0,5,22,0
,"Target Road Primary School, 80 Target Road",47,1,0,6,10,13,77,0
"Hauraki","Hauraki School, 82 Jutland Road",472,4,0,23,75,149,723,7
,"Takapuna Bible Chapel Hall, 13 Jutland Road",749,15,5,66,123,247,1205,23
"Mairangi Bay","Mairangi Bay Community Church Hall, 49 Maxwelton Drive",536,30,1,72,65,115,819,12
,"Mairangi Bay Presbyterian Church Hall, 11 Hastings Road",772,5,5,84,106,132,1104,7
,"Rangitoto College, 564 East Coast Road",267,10,2,21,50,73,423,4
"Milford","Milford Baptist Church Hall, 3 Dodson Avenue",978,23,6,85,105,231,1428,11
,"Milford School, 34 Shakespeare Road",1362,35,5,99,132,370,2003,16
,"North Shore Hospital, Shakespeare Road",114,2,0,18,9,35,178,7
"Murrays Bay","Murrays Bay Intermediate School, 37 Sunrise Avenue",159,4,0,14,22,38,237,2
"Narrow Neck","Vauxhall School, Morrison Avenue",386,3,2,35,108,213,747,2
"Northcote","Northcote Intermediate, 145 Lake Road",26,4,1,0,2,9,42,2
"Point Wells","Point Wells Community Hall, 5 Point Wells Road",9,0,0,0,2,0,11,0
"Stanley Bay","Stanley Bay School, 15 Russell Street",278,4,1,19,68,126,496,5
"Sunnynook","Sunnynook School, 27 Lyford Crescent",552,26,5,72,82,209,946,7
,"Wairau Intermediate School, 113 Becroft Drive",919,43,7,120,102,317,1508,28
"Takapuna","Takapuna Methodist Church Hall, corner Lake Road & Tennyson Avenue",604,9,2,41,103,165,924,17
,"Takapuna Normal Intermediate School, 54b Taharoto Road",258,12,0,48,34,61,413,8
,"Takapuna School, 23 Auburn Street (or Anzac Street entrance)",868,12,0,47,79,169,1175,16
,"Voting places where less than 6 votes were taken",0,0,0,0,0,0,0,0
,"Ordinary Votes BEFORE polling day",5611,81,16,491,646,1485,8330,79
,"Special Votes BEFORE polling day",659,16,5,62,136,205,1083,13
,"Special Votes On polling day",1475,58,8,105,345,483,2474,36
,"Overseas Special Votes including Defence Force",690,11,4,26,182,214,1127,7
,"North Shore Total",23783,575,97,2199,3728,7280,37662,412
,,,,,,,"Valid Candidate Votes plus Informal Candidate Votes",38074
"Electorate Candidate Valid Votes","Party",,"BARRY, Margaret Mary - majority 16503"
"BARRY, Margaret Mary",National Party,23783,.6314853168
"KEARNEY, Nicholas Norman",ACT New Zealand,575,.0152673783
"LEITCH, Timothy Paul",Democrats for Social Credit,97,.0025755403
"PERKIN, Melissa Mary",Conservative,2199,.0583877649
"STANSFIELD, Brett Thomas",Green Party,3728,.098985715
"SZABÓ, Claire Elizabeth",Labour Party,7280,.1932982847
