Electorate Candidate Votes Recorded at Each Voting Place
"Pakuranga 38","Candidate Vote Details"
,,"CRAIG, Andrew Ross","KIRKER, Barry Eric","WHYTE, Jamie Thomas","WILLIAMSON, Maurice Donald","Total Valid Candidate Votes","Informal Candidate Votes"
"Botany Downs","Botany Downs Primary School, 35 Mirrabooka Avenue",5,8,4,31,48,5
,"Botany Downs Secondary College, 575 Chapel Road",5,6,6,64,81,1
,"Elim Christian Centre, 159 Botany Road",49,30,6,79,164,3
,"St Columba Presbyterian Church, 480 Ti Rakau Drive",4,11,4,26,45,0
"Bucklands Beach","Bucklands Beach Intermediate School, 247 Bucklands Beach Road",158,257,142,899,1456,31
,"Bucklands Beach Primary School, 107 Clovelly Road",127,189,69,940,1325,16
,"Macleans College, 2 Macleans Road",129,178,90,837,1234,28
,"Macleans Primary School, 10 Wycherley Drive",119,245,66,505,935,26
,"Stand Children's Services , 1-9 Pigeon Mountain Road",80,73,40,600,793,20
"Burswood","East City Wesleyan Church, 219 Burswood Drive",8,10,3,20,41,0
"Cockle Bay","Cockle Bay Playcentre, 17 Pah Road",5,7,3,42,57,1
"Dannemora","Point View Primary School, 25 Kilkenny Drive",1,5,1,16,23,0
"Highland Park","Rockabye Early Learning Centre, 122 Aviemore Drive",57,114,55,320,546,18
"Howick","Cockle Bay School, 24 Sandspit Road",55,111,28,508,702,8
,"Howick Intermediate School, 1 Botany Road",118,182,52,476,828,24
,"Owairoa  Primary School, corner Wellington & Nelson Streets",165,328,72,1052,1617,37
"Meadowlands","Auckland Fiji Methodist Church, 128 Whitford Road",16,26,6,83,131,7
"Mellons Bay","Mellons Bay Primary School, 140 Mellons Bay Road",87,102,40,615,844,17
"Northpark","Our Lady Star of the Sea School, 14 Oakridge Way",4,5,3,22,34,0
"Pakuranga","Anchorage Park Primary School, 16 Swan Crescent",32,155,23,188,398,8
,"Dance Xpress, 135 Cascades Road",80,127,30,346,583,8
,"Edgewater College, 32 Edgewater Drive",26,207,29,245,507,18
,"Elm Park School, 46 Gossamer Drive",108,303,89,495,995,21
,"Farm Cove Intermediate School, 14-16 Butley Drive",182,319,123,961,1585,29
,"Pakuranga College, 176-180 Pigeon Mountain Road",177,458,124,992,1751,43
,"Pakuranga Heights Primary School, 77 Udys Road",95,351,64,571,1081,16
,"Pakuranga Recreation & Youth Centre, 13c Reeves Road",132,426,95,652,1305,56
,"Riverhills Primary School, 13 Waikaremoana Place",46,147,17,233,443,11
,"Sunnyhills Primary School, 17 The Crest",143,213,97,985,1438,26
"Shelly Park","Shelly Park School, 11-13 Sunnyview Avenue",0,5,0,16,21,0
"Somerville","Somerville Intermediate School, 39 Somerville Road",3,3,0,32,38,0
,"Voting places where less than 6 votes were taken",0,0,0,0,0,0
,"Ordinary Votes BEFORE polling day",998,2027,471,5647,9143,184
,"Special Votes BEFORE polling day",63,241,50,441,795,14
,"Special Votes On polling day",149,540,108,1077,1874,41
,"Overseas Special Votes including Defence Force",39,112,20,372,543,4
,"Pakuranga Total",3465,7521,2030,20388,33404,721
,,,,,"Valid Candidate Votes plus Informal Candidate Votes",34125
"Electorate Candidate Valid Votes","Party",,"WILLIAMSON, Maurice Donald - majority 12867"
"CRAIG, Andrew Ross",Conservative,3465,.1037300922
"KIRKER, Barry Eric",Labour Party,7521,.2251526763
"WHYTE, Jamie Thomas",ACT New Zealand,2030,.0607711651
"WILLIAMSON, Maurice Donald",National Party,20388,.6103460663
