Electorate Candidate Votes Recorded at Each Voting Place
"Christchurch Central 4","Candidate Vote Details"
,,"ABRAHAM, George","COLUMBUS, Robin Bruce","COOKE, Michael Francis","DAVIDSON, Lenis Mary","MILNE, Tony Robert","MOORHOUSE, David Peter","SEVERIN, Toni Gae","WAGNER, Nicola Joanne","Total Valid Candidate Votes","Informal Candidate Votes"
"Addington","Addington School Hall, 22 Brougham Street (Simeon Street entrance)",3,0,2,0,31,4,0,23,63,3
,"Kidsfirst Kindergarten, 366 Selwyn Street",13,5,5,1,181,39,2,95,341,6
,"Sacred Heart Parish Hall, 70 Spencer Street",4,0,0,0,11,4,0,18,37,1
"Akaroa","Akaroa Area School Gymnasium, 141 Rue Jolie (Selwyn Avenue entrance)",2,0,0,1,5,1,0,15,24,0
"Beckenham","Beckenham School, 71 Sandwich Road",15,0,9,3,247,71,2,258,605,4
,"St Peter's School, 11 Fisher Avenue",15,0,9,2,153,31,0,196,406,5
"Bishopdale","Bishopdale School Hall, 465 Greers Road",8,0,6,0,84,11,0,66,175,0
,"St Margaret's Church, The Hub, 94 Farrington Avenue",1,0,1,0,10,2,0,13,27,0
"Burwood","Waitakiri School, 255 New Brighton Road",1,0,0,0,2,0,0,4,7,0
"Cashmere","Landsdowne Community Centre, 4 Landsdowne Terrace",1,0,0,0,6,1,0,14,22,0
"Christchurch City","ABC Salisbury Street, 150 Salisbury Street",11,1,10,1,175,40,1,243,482,3
,"Christchurch East School, 311 Gloucester Street",25,2,7,4,448,80,3,257,826,5
,"Christchurch Public Hospital, The Great Escape Cafe, First Floor, 2 Riccarton Avenue",5,0,1,0,61,13,1,57,138,0
,"HMNZS Pegasus, 419 Montreal Street",13,0,5,1,107,22,3,188,339,2
,"St Michael's Church School Hall, corner Tuam & Durham Streets",6,1,4,0,83,25,1,86,206,1
"Fendalton","Christchurch Boys' High School, Big Room, Te Kura Street ",1,0,0,1,9,6,0,18,35,1
"Ilam","Ilam School Hall, 66 Ilam Road",1,0,2,1,12,6,0,18,40,1
"Linwood","Aspire Canterbury, 314 Worcester Street",7,1,5,1,136,26,1,96,273,5
,"Linwood Avenue School, 260 Linwood Avenue",14,2,1,1,154,29,1,62,264,4
,"Linwood College, Student Centre, 85 Aldwins Road",26,0,9,0,131,17,0,77,260,2
,"St Chad's Anglican Church Hall, corner Carnarvon Street & Buckleys Road",3,0,2,0,27,3,0,7,42,0
,"Union Church Hall, 378 Linwood Avenue, corner Tilford Street",2,0,0,0,30,4,0,16,52,1
"Lower Cashmere","Thorrington School, 22A Colombo Street",2,0,6,1,64,21,0,79,173,1
"Mairehau","Mairehau High School, 440 Hills Road",16,0,11,2,151,30,0,298,508,3
,"Mairehau Primary School, 43 Mahars Road",35,0,12,4,234,40,1,298,624,9
,"St Albans Community Preschool, 3 Thames Street",15,1,6,2,229,43,0,251,547,1
,"St Albans Uniting Parish, corner Knowles Street & Nancy Avenue",32,1,15,0,199,60,2,322,631,7
"Marshland","Marshland School, 329 Prestons Road",1,0,1,0,15,4,0,28,49,0
"Merivale","Heaton Normal Intermediate School Hall, 125-133 Heaton Street",2,0,5,1,76,33,2,248,367,2
,"Rangi Ruru Girls' School, Helen Kitson Function Centre, Rhodes Street entrance",1,0,0,0,10,5,0,86,102,0
"North Linwood","Linwood North School, 221 Woodham Road (Rowcliffe Crescent entrance)",2,1,2,0,8,7,0,14,34,1
"Opawa","Opawa Baptist Church, 285 Wilsons Road",10,0,3,1,87,21,2,45,169,2
,"Opawa School, corner Ford Road & Newbery Street ",5,1,2,1,123,22,0,75,229,1
,"St Mark's Church Hall, corner Opawa Road & Vincent Place",10,0,5,1,94,21,0,94,225,1
"Papanui","Casebrook Intermediate, 90 Veitches Road",4,0,2,0,27,9,0,34,76,1
,"Northcity Church, 95a Sawyers Arms Road",6,0,11,4,76,13,7,93,210,3
,"Papanui High School, 30 Langdons Road",14,0,8,1,124,29,0,99,275,4
,"Papanui Primary School, 40 Winters Road",18,0,9,1,185,38,4,272,527,1
,"Paparoa Street School, 120 Paparoa Street",13,0,10,4,209,60,4,611,911,3
,"St Joseph's School, 4 Vagues Road",17,1,11,0,164,30,4,222,449,2
