Electorate Candidate Votes Recorded at Each Voting Place
"Upper Harbour 55","Candidate Vote Details"
,,"BENNETT, Paula Lee","BERRY, Stephen James","BLAIR, Callum Ross","MAYNE, Nicholas Robert","NGATA, Makelesi Maxine","RETZLAFF, Hermann Paul","TE HAU, Te Hinurewa Ngahiwi Tame Kawe","Total Valid Candidate Votes","Informal Candidate Votes"
"Albany","Pinehurst School,  75 Bush Road",154,4,20,26,2,35,2,243,4
"Forrest Hill","Forrest Hill Presbyterian Church Hall, 151 Forrest Hill Road",14,1,1,2,0,6,0,24,0
,"Westlake Boys High School, 30 Forrest Hill Road",34,1,2,7,0,11,0,55,0
"Glenfield","Bayview School, 60 Bayview Road",621,21,94,133,6,328,11,1214,7
,"Glenfield College, 52-60 Kaipatiki Road",89,8,9,14,3,46,3,172,2
,"Glenfield Community Centre, corner Glenfield Road & Bentley Avenue",218,32,30,38,5,164,4,491,13
,"Glenfield Primary School, 101 Chivalry Road",339,22,35,59,2,212,3,672,2
,"Manuka Primary School, 34 Manuka Road",670,16,89,116,10,310,11,1222,19
,"Meadowood Community House, 55 Meadowood Drive (off Unsworth Drive)",601,35,117,100,8,240,9,1110,21
,"Target Road Primary School, 80 Target Road",803,55,104,139,8,370,7,1486,25
,"Westminster Christian School, 31 Westminster Gardens ",481,4,74,42,1,116,6,724,8
"Greenhithe","Greenhithe School Hall, Sunnyview Road entrance",1337,19,62,116,5,124,5,1668,8
,"St Michael's Anglican Church Hall, 12 Greenhithe Road",662,9,44,69,0,91,6,881,8
,"Upper Harbour Primary School, 140 Kyle Road",309,10,19,25,1,46,0,410,7
"Henderson","Montessori at the Children's House, 1 Clover Drive",11,2,2,2,0,10,0,27,1
,"Waitakere College, 42 Rathgar Road",20,1,1,5,3,27,0,57,0
"Hobsonville","Hobsonville Point Primary School,  18 De Havilland Road",233,4,6,31,0,44,8,326,0
,"Hobsonville Primary School, 104 Hobsonville Road",566,18,21,27,2,74,5,713,6
,"Hobsonville Public Hall, 397 Hobsonville Road",444,3,30,32,2,72,3,586,4
"Massey","Colwill School, 30-32 Kintara Drive",384,9,56,75,7,298,3,832,6
,"Don Buck School, 124 Don Buck Road",247,8,27,60,6,327,12,687,12
,"Lincoln Heights School, 16 Keegan Drive",415,14,58,73,6,474,8,1048,14
,"Massey High School, 274 Don Buck Road",415,11,50,74,8,382,7,947,13
,"Royal Road School, 112 Royal Road",633,32,62,129,10,620,16,1502,19
"Milford","North Shore Hospital, Shakespeare Road",14,4,7,0,0,12,1,38,0
"Sunnynook","Sunnynook School, 27 Lyford Crescent",34,5,5,10,1,8,0,63,0
,"Wairau Intermediate School, 113 Becroft Drive",201,5,32,28,5,105,3,379,5
"Takapuna","Takapuna School, 23 Auburn Street (or Anzac Street entrance)",32,0,2,13,0,12,0,59,0
"West Harbour","Marina View School, 97-99 Marina View Drive",1111,18,65,64,4,186,9,1457,14
,"West Harbour Alliance Church, 145 Moire Road",349,7,41,41,3,150,2,593,13
,"West Harbour Primary School, Sumich Place entrance",187,7,20,45,3,206,6,474,0
,"Westgate Baptist Church, 67 Hobsonville Road",377,5,53,57,1,155,3,651,7
"Westgate","Massey Presbyterian Church, 510 Don Buck Road",371,10,28,58,6,211,6,690,8
"Whenuapai","Whenuapai School, 14 Airport Road",35,0,1,2,0,10,1,49,2
,"Voting places where less than 6 votes were taken",1,0,0,0,0,1,0,2,0
,"Ordinary Votes BEFORE polling day",3673,57,370,393,43,1883,33,6452,54
,"Special Votes BEFORE polling day",580,26,54,123,11,402,13,1209,10
,"Special Votes On polling day",1361,63,139,330,30,765,35,2723,26
,"Overseas Special Votes including Defence Force",289,3,9,61,2,90,5,459,0
,"Upper Harbour Total",18315,549,1839,2619,204,8623,246,32395,338
,,,,,,,,"Valid Candidate Votes plus Informal Candidate Votes",32733
"Electorate Candidate Valid Votes","Party",,"BENNETT, Paula Lee - majority 9692"
"BENNETT, Paula Lee",National Party,18315,.5653650255
"BERRY, Stephen James",ACT New Zealand,549,.0169470597
"BLAIR, Callum Ross",Conservative,1839,.0567680198
"MAYNE, Nicholas Robert",Green Party,2619,.0808458095
"NGATA, Makelesi Maxine",MANA Movement,204,.0062972681
"RETZLAFF, Hermann Paul",Labour Party,8623,.2661830529
"TE HAU, Te Hinurewa Ngahiwi Tame Kawe",Māori Party,246,.0075937645
