Electorate Candidate Votes Recorded at Each Voting Place
"Waitaki 59","Candidate Vote Details"
,,"ALEXANDER, Glenda Adele","AUBREY, Donald Andrew","COUTTS, Susan Jane","DEAN, Jacqueline Isobel","VAN WIEREN, Hessel Christiaan","Total Valid Candidate Votes","Informal Candidate Votes"
"Albury","Albury School, 5-7 Station Street",21,11,10,114,0,156,2
"Alexandra","Central Otago Education Centre, 1 Ventry Street",178,34,81,581,6,880,7
,"Dunstan High School Hall, 12 Enterprise Street",129,10,51,314,4,508,9
,"St Gerard's Parish Hall, 2 Station Street (Tarbert Street entrance)",149,24,84,531,9,797,4
"Ardgowan","Ardgowan School, 219 Ardgowan Road",25,3,10,91,1,130,1
"Bannockburn","Coronation Hall, Hall Road",26,1,32,133,4,196,1
"Cave","Cave Hall, Elizabeth Street",19,3,9,150,0,181,1
"Clyde","Primary School Hall, 25 Blyth Street",127,20,51,437,1,636,0
"Cromwell","Memorial Hall, 36 Melmore Terrace",306,45,180,1279,31,1841,9
"Duntroon","Duntroon Primary School, Livingstone Street",29,8,10,133,1,181,0
"Ettrick","Community Hall, 5155 Ettrick-Raes Junction Road (State Highway 8)",18,1,11,108,1,139,2
"Fairlie","Fairlie Primary School, 21 School Road",90,21,46,484,6,647,13
"Fairview","Barton Rural School, 462 Fairview Road",43,12,19,239,0,313,10
"Five Forks","Five Forks Primary School, 1403 Kakanui Valley Road",9,6,5,117,0,137,1
"Geraldine","Geraldine Primary School, 73 Wilson Street",169,52,151,688,12,1072,9
,"High School Library, 85 McKenzie Street",107,32,86,397,1,623,4
"Glenavy","Glenavy School, 15 Ruane Street",42,4,18,185,1,250,2
"Kakanui","Kakanui Primary School, 5 Fyfe Place",71,6,32,122,2,233,3
"Kingsdown","Normanby-Kingsdown Hall, Normanby Road",23,7,13,98,0,141,3
"Kurow","Memorial Hall, 49 Gordon Street",57,10,34,285,3,389,9
"Lake Hawea","Community Centre, Myra Street",37,10,136,255,0,438,6
"Lake Tekapo","Lake Tekapo School, Aorangi Crescent",30,9,23,181,0,243,0
"Luggate","Luggate Hall, State Highway 6",26,4,57,150,2,239,2
"Maheno","Maheno Primary School, 5 Short Street",28,14,17,89,1,149,3
"Makikihi","Makikihi School, 12 Station Road",26,8,18,116,2,170,1
"Millers Flat","Millers Flat School Library, 1655 Teviot Road",34,5,12,111,3,165,2
"Morven","Morven School, 41 Donald Street",15,13,6,59,1,94,0
"Naseby","Fire Brigade Rooms, corner Ness & Tay Streets",23,1,4,107,1,136,0
"Ngapara","Rugby Club Rooms, 11 Paradise Gully Road",13,3,14,88,0,118,0
"Oamaru","Aoraki Polytech, 44 Humber Street",83,5,27,97,2,214,5
,"Eveline Church Hall, 424a Thames Highway",264,30,50,460,7,811,12
,"Fenwick School Hall, 25a Arun Street, (Hull Street entrance)",317,44,123,562,6,1052,15
,"Garrison Band Hall, corner Severn & Isis Streets",166,22,45,254,9,496,9
,"North Otago Vintage Car Club, 1 Stoke Street",46,9,16,103,2,176,1
,"North School, 40 Torridge Street",173,16,44,255,6,494,5
,"Pembroke School, Harlech Street",281,23,62,223,5,594,12
,"St Luke's Hall, 3 Wharfe Street",83,12,53,131,2,281,5
,"Waitaki Girls' High School, 270 Thames Street",210,26,52,283,3,574,6
"Omakau","Primary School, 9 Deaker Street",55,6,26,250,0,337,7
"Omarama","Omarama School, Omarama Avenue",29,18,18,127,1,193,1
"Otematata","Otematata Fire Station, 1 Tasman Road",15,7,4,98,2,126,1
"Oturehua","Community Hall, Ida Valley-Omakau Rd",8,3,6,53,0,70,0
"Papakaio","Papakaio Primary School, 17 Papakaio Road",16,8,4,165,0,193,0
"Pareora","Pareora Campus School, corner Elworthy & Davidson Streets",77,4,30,72,0,183,1
"Patearoa","Bowling Club, 1615 Ranfurly-Patearoa Road",3,9,7,90,2,111,0
"Peel Forest","Peel Forest Hall, 1209 Peel Forest Road",13,6,13,74,0,106,1
