Electorate Candidate Votes Recorded at Each Voting Place
"West Coast-Tasman 61","Candidate Vote Details"
,,"BOOMERT, John Laurence","HAGUE, Kevin Grant","HOLLEY, Claire Margaret","O'CONNOR, Damien Peter","PUGH, Maureen Helena","SALTER, Peter","WILKINSON, Steven Crawford George","Total Valid Candidate Votes","Informal Candidate Votes"
"Ahaura ","Awahono School, 20 Napoleon Street",0,0,5,26,79,4,0,114,0
"Appleby ","Appleby School, 19 Moutere Highway",0,25,7,125,178,9,2,346,3
"Arahura","Te Tari O Te Runanga O Ngati Waewae, 1 Old Christchurch Road ",0,7,1,35,20,8,1,72,2
"Atarau","Moonlight Hall, Atarau Road",0,0,1,20,24,7,0,52,0
"Barrytown","Barrytown School, Cargill Road",0,10,1,22,25,8,0,66,1
"Blackball ","Blackball Fire Station, Hilton Street",0,9,2,90,31,31,1,164,2
"Blacks Point","Blacks Point Museum, Franklyn Street",0,3,4,23,18,8,0,56,0
"Brightwater","Brightwater School, 106 Ellis Street",0,22,8,98,151,17,0,296,7
"Bruce Bay","Bruce Bay Hall, State Highway 6",0,0,0,8,26,3,0,37,1
"Camerons","Bill Maher Hall, corner Pandora Avenue & Main South Road",0,0,5,51,61,14,0,131,2
"Carters Beach","Carters Beach Hall, Marine Parade",0,4,4,101,77,5,0,191,1
"Charleston","Charleston Adventure Centre, Camp Street (State Highway 6)",0,3,4,26,39,4,0,76,1
"Cobden ","Bowling Club Rooms, 84a Ward Street",0,8,9,77,32,6,2,134,2
,"Cobden School, 53 Fox Street",0,19,13,253,129,38,3,455,4
"Collingwood","Memorial Hall, 9 Tasman Street",0,13,10,98,88,39,9,257,4
"Dobson ","Paparoa Range School, Herald Street",0,6,13,75,82,28,2,206,3
"Dovedale","Dovedale School, Dovedale Road ",0,19,4,95,57,15,1,191,1
"East Takaka  ","East Takaka Hall, 420 East Takaka Road",0,5,0,33,14,3,1,56,0
"Fox Glacier","Fox Glacier Community Hall, State Highway 6",0,4,2,43,36,4,0,89,0
"Foxhill","Lord Rutherford Hall, State Highway 6",1,11,8,80,103,13,0,216,1
"Franz Josef","Franz Josef, Medical Centre, Community Room, 97 Cron Street",1,27,0,41,56,8,0,133,1
"Golden Bay ","Aorere Public Hall, Collingwood-Bainham Road",0,7,4,38,30,6,3,88,0
"Granity ","Granity School, 83 Torea Street",0,10,2,73,21,8,0,114,0
"Greymouth","Blaketown School, 90 Blake Street",0,7,30,169,102,25,0,333,5
,"Campbell Renton Building, 12 MacKay Street ",0,19,16,131,133,26,2,327,3
,"Grey Base Hospital, High Street",1,13,2,55,23,6,0,100,4
,"Grey United Tennis Club, Shakespeare Street",0,17,20,234,139,12,0,422,9
,"Greymouth Main School, Joyce Crescent",1,8,13,151,130,15,1,319,1
,"Karoro Learning Centre, 180 Tainui Street",0,12,8,187,148,24,1,380,13
,"Karoro School, Art & Technology Centre, Main South Road",0,11,14,134,137,5,0,301,1
"Haast","Haast Rescue Centre, Pauareka Road",0,1,4,18,30,8,0,61,0
,"Haast School, Hannahs Clearing",0,0,3,11,31,12,0,57,0
"Hari Hari ","South Westland Area School, 92 Wanganui Flat Road",0,3,9,48,80,43,0,183,3
"Hokitika","Church of Christ Hall, corner Sale & Stafford Streets",0,13,18,185,115,40,2,373,11
,"Hokitika I Site, 36 Weld Street",0,19,19,213,146,60,2,459,3
,"Kokatahi-Kowhitirangi School, 35 Upper Kokatahi Road",0,2,6,34,53,14,0,109,1
,"St Mary's Primary School Hall, 87 Sewell Street",0,11,9,159,108,36,3,326,3
,"Westland High School, 140 Hampden Street",0,22,13,183,141,38,1,398,5
"Hope","Hope Community Hall, 184 Main Road ",0,4,1,22,16,5,0,48,2
"Ikamatua ","Ikamatua Fire Station, Main Road",0,4,3,54,62,12,0,135,2
"Inangahua Junction","Inangahua Junction Hall, State Highway 6",0,2,0,16,24,8,0,50,1
"Kaiata ","Kaiata Hall, 12 Golf Links Road",0,3,3,56,42,11,0,115,3
"Kaiteriteri","Kaiteriteri Mini Golf Office, Inlet Road",3,6,1,53,58,3,0,124,1
"Kaniere  ","Kaniere School, 16 Camp Street",1,8,5,75,64,20,0,173,3
"Karamea ","Karamea Area School, 105 Waverley Street",1,18,15,118,91,23,0,266,2
,"Little Wanganui Hall, 3288 Karamea Highway",1,5,1,37,35,13,0,92,1
"Kowhitirangi","Kowhitirangi Hall, Kaniere-Kowhitirangi Road",0,2,1,30,49,8,1,91,1
"Kumara","Memorial Hall, 56 Seddon Street",0,18,9,101,89,28,0,245,8
"Lower Moutere","Lower Moutere School Hall, 8 School Road",0,38,12,186,131,16,1,384,2
"Mapua ","Mapua School, 4 Stafford Drive",3,130,29,456,417,32,3,1070,5
"Marahau","Marahau Fire Station Hall, Sandy Bay-Marahau Road",0,19,0,51,40,7,1,118,0
"Maruia","Maruia School, Station Creek, State Highway 65",0,0,4,7,41,6,0,58,3
"Moana","Lake Brunner School, 21 Ahau Street",0,6,8,54,52,8,0,128,2
"Motueka","Masonic Centre, 8 Inglis Street",1,39,4,196,123,11,0,374,2
,"Motueka South School, 450 High Street",1,44,13,306,171,22,3,560,3
,"Motueka Tasman District Council, 7 Hickmott Place",0,60,31,411,248,16,2,768,7
,"Parklands School, MoTECH Building, 9-19 Pah Street",1,60,19,495,231,40,2,848,7
"Motupiko","Quinney's Bush Camp, 263 State Highway 6",0,6,0,25,52,2,1,86,0
"Motupipi  ","Motupipi School, 435 Abel Tasman Drive",0,28,6,94,53,24,6,211,3
"Murchison ","Murchison Area School, 61 Waller Street",0,21,10,164,180,33,1,409,1
"Nelson Creek ","Nelson Creek Hall, Nelson Creek Road",0,2,4,13,29,13,0,61,2
"Ngahere","Ngahere Fire Station, Main Road Ngahere",0,0,2,39,51,4,0,96,0
"Ngakawau ","Ngakawau Domain Hall, Main Road",0,9,0,109,44,18,1,181,1
"Ngatimoti ","Ngatimoti School, 4 Greenhill Road",0,23,4,145,56,10,1,239,5
"Onekaka","Onekaka Hall, State Highway 60",0,16,1,92,13,14,3,139,0
"Pakawau","Pakawau Public Hall, Pakawau Road",0,6,1,65,31,20,1,124,1
"Paroa","Paroa School, 494 Main South Road",0,12,12,171,210,38,1,444,5
"Pohara","Pohara Hall, Abel Tasman Drive",0,18,2,95,75,14,3,207,2
"Pokororo","Pokororo Public Hall, Westbank Road",0,17,2,50,18,16,1,104,1
"Punakaiki","Punakaiki Canoes, State Highway 6",0,13,2,36,13,6,0,70,0
"Puramahoi","Puramahoi Public Hall, Takaka-Collingwood Highway",0,7,0,41,41,8,0,97,1
"Redwood Valley","Redwood Valley Hall, 484 Moutere Highway",0,10,7,77,113,8,0,215,0
"Reefton","Reefton Area School, Food Tech Building, Pitt Street",0,3,3,50,44,23,0,123,0
,"Reefton Community Centre, 52-54 Shiel Street",0,2,9,109,110,46,1,277,1
,"Reefton Hospital, Broadway",0,4,4,31,28,6,0,73,2
"Richmond","Tasman District Council Office, 189 Queen Street",2,17,1,66,50,4,0,140,0
"Riwaka","Riwaka School, 22 School Road",0,21,4,174,98,17,1,315,4
,"St Barnabas Church Hall, Main Road ",0,15,4,71,52,2,2,146,0
"Ross","Ross School, Moorhouse Street",0,7,3,71,88,41,0,210,2
"Rotomanu","Rotomanu Hall, Lake Brunner-Kumara Road",0,2,0,14,26,4,0,46,0
"Runanga","Runanga School Hall, Duncan Street",1,11,16,228,115,59,0,430,8
"St Arnaud ","Lake Rotoiti School, Main Road",1,15,2,72,61,8,0,159,0
"Stanley Brook","Stanley Brook Hall, Motueka Valley Highway",0,3,1,24,39,5,0,72,1
"Takaka","Anglican Church Hall, Commercial Street",2,48,1,134,54,25,24,288,1
,"Central Takaka School, 44 Central Takaka Road",0,12,3,58,32,7,1,113,0
,"Golden Bay High School, 12 Waitapu Road",2,35,5,149,80,52,9,332,1
"Tapawera ","Tapawera Area School, 46 Main Road",0,24,13,152,145,34,1,369,2
"Tasman","Tasman School, 417 Aporo Road",0,26,7,209,148,14,0,404,3
"Taylorville","Taylorville Brunnerton Lodge, 745 Taylorville Road",0,6,2,27,27,5,0,67,1
"Umukuri","Brooklyn School, 256 Umukuri Road",0,13,3,126,70,6,1,219,1
"Upper Moutere","Mahana School, 15 School Road",0,22,3,103,71,5,1,205,1
,"Upper Moutere School Hall, Main Road",2,45,13,224,138,19,2,443,4
"Upper Takaka","Upper Takaka Community Hall, 2 Aaron Creek Road",0,4,2,23,24,8,1,62,0
"Waimangaroa","Waimangaroa Fire Station, McGill Street",0,4,5,76,35,15,0,135,1
"Waimea West","Waimea West Public Hall, Waimea West Road",0,6,3,28,70,2,0,109,0
"Wakefield","Wakefield School, Edward Street",2,81,47,442,579,73,4,1228,6
"Westport","Sergeants Hill Hall, Caledonian Road",0,2,1,67,42,17,1,130,1
,"St Canice's School, 24a Brougham Street",1,10,7,309,147,27,4,505,7
,"Westport Courthouse, 11 Wakefield Street",1,4,8,227,144,12,2,398,4
,"Westport North School, 65 Cobden Street",0,7,7,292,113,18,2,439,4
,"Westport South School, Derby Street",0,6,6,211,88,14,3,328,6
"Whataroa","Whataroa School, 65 Scally Road  ",0,5,7,32,46,11,3,104,1
,"Voting places where less than 6 votes were taken",0,0,0,0,0,0,0,0,0
,"Ordinary Votes BEFORE polling day",13,535,256,4236,3110,387,66,8603,102
,"Special Votes BEFORE polling day",0,94,17,369,277,35,10,802,9
,"Special Votes On polling day",7,202,62,764,535,137,16,1723,24
,"Overseas Special Votes including Defence Force",0,70,3,196,111,13,4,397,1
,"West Coast-Tasman Total",50,2385,1031,16747,12653,2318,228,35412,373
,,,,,,,,"Valid Candidate Votes plus Informal Candidate Votes",35785
"Electorate Candidate Valid Votes","Party",,"O'CONNOR, Damien Peter - majority 4094"
"BOOMERT, John Laurence",Money Free Party,50,.0014119508
"HAGUE, Kevin Grant",Green Party,2385,.0673500508
"HOLLEY, Claire Margaret",Conservative,1031,.0291144245
"O'CONNOR, Damien Peter",Labour Party,16747,.4729187846
"PUGH, Maureen Helena",National Party,12653,.3573082571
"SALTER, Peter",Ban1080,2318,.0654580368
"WILKINSON, Steven Crawford George",Independent,228,.0064384954
