Electorate Candidate Votes Recorded at Each Voting Place
"Whanganui 62","Candidate Vote Details"
,,"BORROWS, Kerry James","DAVIDSON, Alan Daniel","McDOUALL, Hamish Crichton","MacINTYRE, Kim Grant","SMITH, Heather Marion","TUAINE, Nancy Te Urumanao","Total Valid Candidate Votes","Informal Candidate Votes"
"Aberfeldy","Aberfeldy School, Parapara Road (State Highway 4)",28,0,1,0,0,1,30,0
"Alton","Alton Hall, Ball Road",109,0,8,1,1,0,119,0
"Aramoho","Aramoho School, 2 Mitchell Street",173,0,309,10,3,10,505,6
,"Churton School, Burmah Street",168,3,158,12,1,5,347,5
,"Cullinane College, 15 Peat Street",139,0,240,12,2,9,402,4
"Auroa","Auroa School, 734 Auroa Road",165,0,10,7,0,1,183,1
"Brunswick","Brunswick School, 15 Campbell Road",123,1,62,4,2,5,197,1
"Cardiff","Cardiff Hall, 28 Cardiff Road",103,4,5,4,3,1,120,1
"Castlecliff","Aranui School, 14 Aranui Avenue",55,0,109,3,2,7,176,2
,"Castlecliff School, 25 Polson Street",132,2,344,19,5,16,518,1
,"St Luke's Church Hall, 34 Manuka Street",78,3,161,5,0,15,262,4
,"Te Kura O Kokohuia, 36 Matipo Street",12,1,53,1,0,5,72,4
"Eltham"," All Saints Church Hall, 88 King Edward Street",296,3,170,15,5,7,496,7
,"Eltham School, 69 Conway Road",134,3,75,12,3,1,228,1
,"Rawhitiroa School, 596 Rawhitiroa Road",75,1,15,0,0,1,92,0
"Fordell","Fordell School, Budge Street",131,2,75,6,0,3,217,0
"Gonville","Baden Powell Scout Hall, 13 Swiss Avenue",161,6,408,23,7,18,623,5
,"St Peters Parish Hall, 72 Koromiko Road",202,5,291,25,3,13,539,8
"Hawera","Hawera Bridge Club, 63 Collins Street",209,3,58,6,2,1,279,4
,"Hawera High School, 13 Camberwell Road",223,0,101,5,1,5,335,6
,"Hawera Hospital, 37 Hunter Street",111,1,43,2,1,1,159,3
,"Hawera Primary School, 261 South Road",310,3,107,17,3,4,444,3
,"Presbyterian Centre, 35 Argyle Street",495,3,197,19,4,1,719,9
,"Ramanui School, 85 Fairfield Road",189,4,53,4,2,3,255,1
,"Tawhiti School, Perth Street ",235,1,77,4,1,2,320,2
,"Turuturu School, 194 Glover Road",521,5,104,9,1,8,648,8
"Kai Iwi","Kai Iwi School, 908 State Highway 3",109,0,35,2,2,1,149,5
"Kaitoke","Kaitoke School, Concord Line",92,0,73,3,0,1,169,0
"Kakaramea","Kakaramea School, 2193 South Road",67,0,18,4,1,1,91,0
"Kaponga","Kaponga School, 30 Egmont Street",290,7,53,8,2,4,364,3
"Manaia","Manaia School, Patukukupa Street ",248,2,112,8,1,13,384,3
"Matapu","Matapu School, 495 Hastings Road",164,1,16,1,2,1,185,1
"Maxwell","Maxwell Pre-School,1655 State Highway 3 (South Road)",67,0,37,2,0,0,106,0
"Midhirst","Midhirst Primary School Library, 8 Erin Street",23,0,2,0,0,0,25,0
"Mokoia","Mokoia School, 969 South Road",94,0,11,2,0,1,108,0
"Mosston","Mosston School, 211 Mosston Road",180,1,131,8,4,7,331,2
"Ngaere","Ngaere School, 4355 Mountain Road",112,1,21,5,1,0,140,0
"Normanby","Normanby School, 3 Hunter Street",238,1,72,10,1,1,323,3
"Okoia","Okoia School, No. 3 Line",54,1,43,9,1,3,111,0
"Opunake","Opunake Primary School, Longfellow Road",40,0,13,0,1,1,55,1
"Patea","Patea Old Folks Hall, 139 Egmont Street",99,1,111,6,1,10,228,3
"Pihama","Pihama Hall, 3264 South Road (State Highway 45)",100,0,7,0,0,1,108,0
"Pukengahu","Pukengahu Hall, corner Waihapa & Wingrove Roads",78,0,10,1,2,0,91,0
"Putiki","Te Kura Kaupapa Māori O Te Atihaunui A Paparangi, 25 Anaua Street",72,0,98,1,0,14,185,5
"Rapanui","Rapanui-Mowhanau Community Centre, 4-6 Mowhanau Drive",47,1,35,3,0,3,89,0
"Springvale","Faith City Church, 127 Springvale Road",382,6,366,27,1,8,790,6
,"Jubilee Stadium, Springvale Park (London Street entrance)",204,5,271,15,3,6,504,2
"Stratford","Avon School, Hamlet Street",207,6,129,17,6,1,366,6
,"Stratford High School, Swansea Road",191,4,82,12,1,5,295,5
,"Stratford Methodist Church Hall, corner Orlando & Regan Streets (opposite New World)",578,6,255,33,6,12,890,7
,"Stratford Primary School, Regan Street",282,5,115,14,2,3,421,4
"Tawhero","Tawhero School, 27 Totara Street",201,6,367,27,2,19,622,11
"Te Kiri","Te Kiri Hall, Eltham Road",83,1,12,1,2,0,99,0
"Turakina","Turakina School, State Highway 3",6,0,5,0,0,0,11,2
"Upokongaro","Upokongaro School, State Highway 4",90,0,54,3,0,7,154,0
"Waitotara","Waitotara School, Severn Street",118,2,32,2,0,4,158,1
"Waverley","Waverley Primary School, Gloag Street",304,1,130,11,5,6,457,6
"Westmere","Westmere School, corner Francis & Rapanui Roads",273,1,142,9,0,5,430,2
"Whanganui","Carlton School, 99A Carlton Avenue",255,4,410,17,5,8,699,8
,"Durie Hill School, 109 Portal Street",264,1,272,13,2,14,566,2
,"Keith Street School, 38-46 Keith Street",218,1,396,23,3,24,665,9
,"St Andrew's Presbyterian Church, 42 Glasgow Street",133,1,183,11,3,7,338,2
,"St John's Hill School, 71 Parkes Avenue",519,3,361,16,1,6,906,5
,"Wanganui City College, 84 Ingestre Street",287,10,267,12,2,9,587,14
,"War Memorial Centre, Queens Park, Watt Street",183,1,229,6,4,11,434,1
"Whanganui East","All Saints Church Hall, 70 Moana Street",322,7,397,13,6,22,767,7
,"St Anne's Catholic School, Raine Street",118,1,166,4,1,3,293,7
,"Wanganui East School, Patapu Street",215,5,310,15,5,16,566,4
"Whenuakura","Whenuakura School, Kaharoa Road",71,1,5,0,1,2,80,1
,"Voting places where less than 6 votes were taken",1,0,3,0,0,0,4,0
,"Ordinary Votes BEFORE polling day",5121,81,3995,203,65,130,9595,98
,"Special Votes BEFORE polling day",408,8,349,18,4,24,811,12
,"Special Votes On polling day",735,13,603,47,4,47,1449,15
,"Overseas Special Votes including Defence Force",129,2,106,5,3,6,251,1
,"Whanganui Total",18649,252,14144,872,208,610,34735,350
,,,,,,,"Valid Candidate Votes plus Informal Candidate Votes",35085
"Electorate Candidate Valid Votes","Party",,"BORROWS, Kerry James - majority 4505"
"BORROWS, Kerry James",National Party,18649,.5368936231
"DAVIDSON, Alan Daniel",ACT New Zealand,252,.0072549302
"McDOUALL, Hamish Crichton",Labour Party,14144,.4071973514
"MacINTYRE, Kim Grant",Conservative,872,.0251043616
"SMITH, Heather Marion",Democrats for Social Credit,208,.0059881963
"TUAINE, Nancy Te Urumanao",Māori Party,610,.0175615374
