Electorate Candidate Votes Recorded at Each Voting Place
"Wigram 64","Candidate Vote Details"
,,"GRIEVE, Shaun Hayden","HANSEN, Christopher Michael","McCLINTOCK, Lois Marie","PETERS, Mark Jonathan","PHILLIPS, Te Whe Ariki","RING, John Charles","VARLEY, Karl Daniel","WESLEY, Richard Laurence","WOODS, Megan Cherie","Total Valid Candidate Votes","Informal Candidate Votes"
"Addington","Addington School Hall, 22 Brougham Street (Simeon Street entrance)",0,0,0,6,3,0,75,29,200,313,5
,"Kidsfirst Kindergarten, 366 Selwyn Street",2,0,1,1,0,2,58,22,169,255,3
,"Sacred Heart Parish Hall, 70 Spencer Street",4,0,0,12,1,1,130,39,285,472,2
"Akaroa","Akaroa Area School Gymnasium, 141 Rue Jolie (Selwyn Avenue entrance)",0,0,0,2,0,0,4,2,1,9,0
"Avonhead","Avonhead Kindergarten, 49 Staveley Street",1,0,0,2,0,0,46,7,48,104,1
,"Avonhead Primary School Hall, 55 Avonhead Road",2,0,0,7,0,0,103,8,80,200,2
,"Merrin School Hall, 41 Merrin Street",5,2,1,12,0,0,236,20,97,373,2
,"Russley School Hall, 75 Cutts Road",6,3,5,22,4,5,589,59,390,1083,10
,"St Mark's Presbyterian Church, 150 Withells Road",5,1,2,13,1,0,199,12,108,341,4
"Cashmere","The Princess Margaret Hospital, 97 Cashmere Road (Riley Day Hospital, Entrance 4)",0,0,0,1,0,0,15,0,7,23,0
"Christchurch City","Christchurch Public Hospital, The Great Escape Cafe, First Floor, 2 Riccarton Avenue",0,0,2,2,0,0,31,11,45,91,1
,"St Michael's Church School Hall, corner Tuam & Durham Streets",1,0,0,3,0,0,14,7,13,38,0
"Fendalton","Christchurch Boys' High School, Big Room, Te Kura Street ",0,0,0,2,1,0,33,6,27,69,0
"Halswell","Aidanfield Christian School, 2 Nash Road",2,0,0,19,0,1,179,24,104,329,7
,"Oaklands School, 37 Cunningham Place",0,0,1,1,0,0,18,1,17,38,1
,"Saints Peter & Paul Catholic Church Hall, 56 Nicholls Road",0,0,0,1,0,0,18,4,13,36,2
,"St Mary's Anglican Church Hall, 329 Halswell Road",0,0,0,6,0,0,72,11,66,155,2
"Hei Hei","Gilberthorpe School Library, 163 Gilberthorpes Road",6,0,4,12,2,0,127,22,213,386,7
,"Kidsfirst Kindergarten, 10 Wycola Avenue",4,1,1,13,3,3,143,32,293,493,3
,"St Aidans Church Hall, corner Hei Hei & Buchanans Roads",5,0,4,17,2,1,146,30,282,487,7
"Hillmorton","Hillmorton High School Hall Foyer, Tankerville Road",4,1,4,20,2,2,215,57,330,635,5
"Hoon Hay","Cashmere Early Learning Centre, 192 Cashmere Road",0,0,0,0,0,0,7,1,6,14,0
,"Hoon Hay Presbyterian Church Hall, 5 Downing Street",1,1,2,16,0,0,158,33,217,428,5
,"Hoon Hay School Hall, 91 Sparks Road",1,0,2,16,1,2,227,48,276,573,12
,"Rowley Avenue School Hall, 48 Rowley Avenue",2,4,9,9,1,0,103,21,359,508,3
"Hornby","Garage, 66 Blankney Street",6,0,3,10,4,0,129,16,197,365,3
,"Hornby Community Care Centre, 8 Goulding Avenue",1,0,1,11,2,1,143,27,230,416,2
,"Hornby Primary School Hall, 190 Waterloo Road",4,1,2,4,3,1,182,29,254,480,6
,"South Hornby School Hall, 52 Shands Road",1,2,2,13,3,1,158,32,236,448,7
,"St Columba's Church Hall, 452 Main South Road",1,1,2,4,0,0,74,16,115,213,4
"Ilam","Ilam School Hall, 66 Ilam Road",3,0,2,8,1,0,48,15,70,147,2
"Middleton","Kidsfirst Kindergarten, 14 Torrens Road",5,0,2,3,1,4,102,15,131,263,3
"Riccarton","Riccarton Baptist Church Hall, 80 Rattray Street",10,0,3,10,1,0,154,40,215,433,8
