Electorate Candidate Votes Recorded at Each Voting Place
"Coromandel 7","Candidate Vote Details"
,,"DELAHUNTY, Catherine","DOWNARD, Micheal Patrick","ERTEL, Grant Ernest","OLSEN, David Edward","PAKINGA, Hiria Gillian","POSCHL, Korbinian Peter Veit","SIMPSON, Scott Anthony","WALKDEN, David","Total Valid Candidate Votes","Informal Candidate Votes"
"Athenree","Athenree Fire Brigade Hall, 43 Roretana Drive",50,2,32,0,2,34,190,9,319,0
"Bethlehem","Bethlehem Primary School Hall, 66 Carmichael Road",5,0,5,0,0,0,13,3,26,2
"Colville","Colville School, 2391 Colville Road",75,5,4,1,0,10,54,7,156,0
"Cooks Beach","Cooks Beach Community Centre, corner Purangi Road & Rees Avenue",41,5,11,0,0,11,143,3,214,1
"Coroglen","Coroglen School, 10 Rangihau Road",38,9,3,1,1,5,86,4,147,1
"Coromandel","Coromandel Area School Hall, 120 Woollams Avenue",142,16,49,0,6,67,320,18,618,8
"Elstow","Elstow-Waihou Combined School, 356 Bowler Road",12,0,6,0,0,12,134,9,173,1
"Hahei","Hahei Community Centre, 54 Hahei Beach Road",66,3,3,1,0,9,109,3,194,1
"Hikutaia","Hikutaia Hall, State Highway 26",41,4,23,2,3,19,159,6,257,0
"Kaiaua","Kaiaua School, 1061 East Coast Road",31,0,35,15,1,18,160,7,267,2
"Kaihere","Kaihere School, 1115B State Highway 27",6,1,12,0,1,4,159,3,186,0
"Katikati","Katikati Primary School, 24 Beach Road",105,8,81,1,4,111,532,35,877,9
,"Katikati War Memorial Hall, 29-31 Main Road",223,19,137,2,7,139,849,60,1436,7
"Kennedy Bay","Te Kura Kaupapa Māori O Harataunga, 1416 Kennedy Bay Road",21,1,8,0,1,0,13,2,46,1
"Kerepehi","Kerepehi School, 11 McGowan Avenue ",20,1,20,2,2,28,65,4,142,7
"Kopuarahi","Kopuarahi School, corner State Highway 25 & Bush Road ",11,1,7,1,0,4,121,4,149,2
"Kuaotunu","Kuaotunu Hall, corner Black Jack & Irish Town Roads",78,2,4,0,1,13,103,4,205,0
"Manaia","Manaia School, 22 Goldfields Road",6,1,0,0,3,5,10,0,25,0
"Manawaru","Manawaru School, 442 Manawaru Road ",19,3,13,0,1,20,191,7,254,1
"Mangatangi","Mangatangi School, 2047 Miranda Road",32,0,13,3,2,18,165,8,241,1
"Maramarua","Maramarua School, 2200 State Highway 2",7,2,6,2,0,6,94,1,118,2
"Netherton","Netherton School, 7 School Road",7,4,11,1,1,9,143,5,181,1
"Ngatea","Ngatea Primary School, 52 Orchard West Road",53,2,48,4,2,60,507,11,687,1
"Opoutere","Opoutere School, State Highway 25 ",28,1,1,0,1,5,52,0,88,1
"Paeroa","Miller Avenue School, 30 Miller Avenue",54,1,36,1,4,59,136,19,310,2
,"Paeroa Memorial Hall, 144 Normanby Road",142,14,110,4,7,129,445,30,881,14
"Pahoia","Pahoia School, 29 Esdaile Road",5,1,5,1,1,5,53,1,72,1
"Pauanui ","Pauanui Sport & Recreation Club, 31 Sheppard Avenue",46,2,13,1,1,16,350,4,433,0
"Puriri","Puriri School, 12 Puriri Valley Road",28,4,21,2,1,19,174,4,253,2
"Springdale","Springdale School, 985 Number 1 Road",4,1,3,2,1,13,144,2,170,2
"Tahuna","Tahuna School, 43 Tahuna-Ohinewai Road",16,0,24,3,0,16,224,6,289,3
"Tairua","Tairua Community Hall, 210 Main Road",110,9,17,1,0,45,243,12,437,6
"Tapu","Tapu School, 719 Thames Coast Road",36,5,14,2,0,27,99,11,194,5
"Tatuanui  ","Tatuanui School, 4513 Whakahongi Road (State Highway 27)",5,0,2,2,0,13,171,3,196,1
"Tauhei","Tauhei Combined School, 860 Tauhei Road",6,0,5,0,0,2,71,0,84,1
"Te Aroha","Matamata-Piako District Council, Conference Room, 35 Kenrick Street",51,4,53,4,2,77,239,13,443,10
,"Te Aroha College Hall, 106 Stanley Avenue",38,3,36,3,2,53,305,14,454,3
,"Te Aroha Primary School, corner Whitaker Street & Jubilee Avenue",111,4,66,4,7,101,311,36,640,6
"Te Puna","Te Puna Memorial Hall, Te Puna Road",5,1,3,0,0,4,15,1,29,0
"Te Puru","Te Puru School Hall, 507 Thames Coast Road",84,4,25,1,4,64,187,6,375,3
"Te Rerenga","Te Rerenga School, 1229 State Highway 25  ",20,2,3,0,0,1,44,0,70,0
"Thames","Kauaeranga Hall, 437 Kauaeranga Valley Road",48,2,13,0,0,10,65,4,142,1
,"Moanataiari School, 101 Kuranui Street",43,4,22,0,2,52,152,9,284,2
,"Parawai School, 106 Lowe Avenue",65,6,41,1,1,65,201,9,389,3
,"Tararu Cultural Centre, 604 Tararu Road",74,8,31,0,2,38,209,8,370,3
,"Thames High School, 300 Sealey Street",156,12,46,4,1,136,339,17,711,8
,"Thames South School, corner Grey & Rolleston Streets",100,5,52,2,3,103,315,12,592,7
