Party and Electorate Candidate Votes Recorded at each polling place
"Dunedin South 11","Party Vote Details"
,,"99 MP Party","ACT New Zealand","Alliance","Aotearoa Legalise Cannabis Party","Christian Heritage NZ","Democrats for Social Credit","Destiny New Zealand","Direct Democracy Party","Green Party","Jim Anderton's Progressive","Labour Party","Libertarianz","Mâori Party","National Party","New Zealand Family Rights Protection Party","New Zealand First Party","OneNZ Party","The Republic of New Zealand Party","United Future New Zealand","Total Valid Party Votes","Informal Party Votes"
"Abbotsford","Community Hall, 72 North Taieri Road",0,2,1,0,1,0,1,0,12,4,159,0,0,82,0,4,0,0,3,269,0
,"Scout Hall, Abbotsford Road (cnr Unsworth Street)",0,3,1,3,0,0,1,1,24,11,545,0,2,175,0,43,0,1,13,823,3
"Andersons Bay","Presbyterian Church Hall, Silverton Street",1,9,3,4,3,5,7,1,92,18,793,0,2,469,0,52,1,0,46,1506,3
"Brighton","Brighton School, 2 Bath St",0,3,0,0,1,0,1,0,19,9,215,0,0,86,0,21,0,0,6,361,1
"Broad Bay","Broad Bay School, Roebuck Rise",0,2,0,0,0,0,0,0,81,7,159,0,2,40,0,11,0,0,8,310,1
"Calton Hill","Calton Hill School, 38 Riselaw Road",0,1,1,3,0,1,8,0,18,8,383,0,5,66,0,24,0,0,5,523,3
"Caversham","Caversham Presbyterian Church Hall, 61 Thorn Street",0,6,4,1,0,1,8,0,48,17,493,0,2,139,0,40,0,0,30,789,3
,"Caversham School Hall, Surrey Street",0,8,2,4,0,1,6,0,34,9,448,0,3,118,0,29,1,0,16,679,2
"Concord","Concord School, 5 Thoreau Street",0,3,0,0,0,0,1,0,10,3,238,0,0,92,0,13,0,0,12,372,0
,"Kindergarten, 93 Mulford Street",0,3,2,0,0,0,0,0,12,2,187,0,0,45,0,8,0,0,7,266,2
"Corstorphine","Community Centre, Middleton Road",0,3,0,0,0,0,3,0,20,11,434,0,0,113,0,27,0,0,14,625,7
,"Corstorphine School, Lockerbie Street",0,2,1,4,0,0,5,0,20,9,258,0,2,117,0,18,0,0,18,454,3
"Dunedin Central","Court House, 41 Lower Stuart Street",0,0,0,0,0,0,1,0,11,1,48,0,0,31,0,0,0,0,3,95,0
,"Dunedin Hospital, 1st Floor Foyer to Lecture Halls, Great King St",0,3,0,0,0,0,1,0,15,0,85,0,1,31,0,4,0,0,7,147,0
,"High Street School, 7 Montpellier Street",0,0,0,0,0,0,0,0,7,0,30,0,0,11,0,2,0,0,2,52,1
,"Salvation Army McMillan Lounge, 575 Princes Street",0,1,0,1,0,0,1,0,8,0,54,0,0,16,0,3,0,0,5,89,0
"Dunedin North","George Street Normal School, 989 George Street",0,0,0,0,0,0,0,0,8,1,28,0,0,15,0,2,0,0,1,55,0
,"Kelsey Yaralla Kindergarten, 4 Trent Avenue",0,0,0,0,0,0,0,0,2,0,6,0,0,3,0,0,0,0,0,11,0
,"Knox Church Hall, 453 George Street (cnr Pitt Street)",0,1,0,0,0,0,0,0,6,1,22,0,1,8,0,1,0,0,1,41,0
,"University of Otago (ISB Link East), Cumberland St",0,0,0,0,1,0,0,0,6,1,35,0,0,17,0,1,0,0,1,62,0
,"University of Otago (ISB Link West), Cumberland St",0,1,1,0,0,0,0,0,12,0,29,0,0,11,1,0,0,0,2,57,0
"East Taieri","East Taieri School, 11 Cemetery Road",0,7,0,2,0,2,1,0,24,3,159,0,1,241,0,18,0,0,23,481,0
