Party and Electorate Candidate Votes Recorded at each polling place
"East Coast Bays 13","Party Vote Details"
,,"99 MP Party","ACT New Zealand","Alliance","Aotearoa Legalise Cannabis Party","Christian Heritage NZ","Democrats for Social Credit","Destiny New Zealand","Direct Democracy Party","Green Party","Jim Anderton's Progressive","Labour Party","Libertarianz","Mâori Party","National Party","New Zealand Family Rights Protection Party","New Zealand First Party","OneNZ Party","The Republic of New Zealand Party","United Future New Zealand","Total Valid Party Votes","Informal Party Votes"
"Albany","Albany Community Hall, 3/21 Library Lane",0,16,0,0,2,0,8,0,20,3,203,0,2,449,0,43,0,1,9,756,1
,"Massey University, Building 84, Gate 4, Old Albany Highway ",0,9,0,0,1,0,4,0,8,2,83,1,1,121,0,11,0,0,4,245,0
"Browns Bay","Browns Bay Red Cross Centre, 5 Glencoe Close",0,49,2,2,2,0,18,0,47,10,366,0,5,784,0,71,0,0,39,1395,6
,"Browns Bay School, Masterton Road",0,42,0,3,1,0,10,0,35,11,396,1,2,956,0,75,0,0,30,1562,1
,"Browns Bay Senior Citizens Hall, 9 Inverness Road",1,50,0,1,4,1,15,0,61,29,590,1,7,940,0,118,1,0,58,1877,10
,"Salvation Army Hall, 5 Bayview Road",0,21,0,3,1,0,11,0,42,8,281,0,3,681,0,59,1,0,31,1142,3
"East Coast Bays","East Coast Bays Bible Baptist Church, 1092 East Coast Bays Rd",0,44,0,0,2,1,4,2,33,5,293,0,0,532,1,35,0,0,21,973,3
"Forrest Hill","Forrest Hill Presbyterian Church Hall, Forrest Hill Rd",0,0,0,0,0,0,0,0,5,0,18,0,1,47,0,3,0,0,4,78,0
"Glenfield","Bayview Primary School, 60 Bayview Road",0,22,2,8,0,2,2,2,58,21,529,0,4,577,0,81,0,0,26,1334,3
,"Glenfield College, 52 - 60 Kaipatiki Road",1,2,0,2,0,0,3,0,11,2,111,0,1,98,0,10,0,0,6,247,1
,"Glenfield Community Centre, Bentley Avenue (cnr Glenfield Road)",0,25,1,1,0,0,7,1,14,3,259,0,3,192,0,21,0,0,14,541,4
,"Glenfield Primary School, 101 Chivalry Road",0,18,0,3,0,1,12,1,22,14,371,0,1,292,0,34,1,1,27,798,4
,"Manuka Road Primary School, 34 Manuka Road",0,22,0,7,2,0,9,1,57,22,568,0,4,663,0,92,0,0,40,1487,4
,"Meadowood Community House, 55 Meadowood Drive",0,31,2,4,4,0,14,1,29,11,513,0,4,601,1,61,0,0,34,1310,5
,"Target Road Primary School, 80 Target Road",0,57,1,5,2,1,15,4,56,21,809,1,3,838,1,119,0,0,20,1953,7
"Long Bay","Long Bay Baptist Church, 282 Glenvar Road",0,26,0,1,0,1,12,0,41,3,209,0,0,450,0,35,0,0,40,818,1
,"Long Bay College, Ashley Avenue",0,7,0,1,0,0,14,0,30,5,111,0,2,215,0,19,0,0,8,412,0
"Mairangi Bay","Mairangi Bay Presbyterian Church Hall, 11 Hastings Rd",0,15,0,1,0,0,2,0,7,0,92,0,0,230,0,10,0,0,10,367,0
,"Mairangi Bay School, Galaxy Drive Entrance",0,3,0,1,0,0,0,1,7,0,58,0,0,127,0,6,0,0,0,203,0
,"Rangitoto College, 564 East Coast Road",0,46,1,4,2,0,11,1,57,10,441,3,0,857,1,66,1,0,31,1532,4
"Milford","Milford School, 34 Shakespeare Road",0,1,0,1,0,0,0,0,1,0,19,0,0,39,0,0,0,0,2,63,0
"Murrays Bay","Kwang Lim Methodist Church, 539 Beach Road",0,31,0,1,1,1,5,0,41,8,324,2,1,763,0,48,0,1,26,1253,2
"Northcote","Northcote Intermediate, 145 Lake Road",0,5,0,1,1,0,0,0,2,4,18,0,1,12,0,1,0,0,5,50,0
"Northcross","Sherwood Primary School, 40 Sartors Avenue",1,33,3,1,2,0,23,2,61,18,410,0,5,861,0,78,0,1,33,1532,1
"Pinehill","Pinehill School, cnr Hugh Green Drive and Spencer Road",0,60,0,0,0,0,29,0,18,10,335,0,1,758,0,61,0,0,24,1296,5
"Rosedale","Pinehurst School, 75 Bush Road",0,18,0,0,0,0,10,0,5,0,118,0,1,308,0,13,0,0,8,481,2
"Sunnynook","Wairau Intermediate School, Becroft Drive",0,13,0,0,0,0,1,0,11,8,217,0,4,213,0,21,0,0,20,508,1
"Takapuna","Takapuna Methodist Church Hall, Lake Rd",0,0,0,0,0,0,0,0,1,0,10,0,0,18,0,1,0,0,3,33,0
,"Takapuna School (entrance) 23 Auburn Street or Anzac Street",0,4,0,0,0,0,1,0,6,0,38,0,0,51,0,5,0,0,3,108,0
"Torbay","Glamorgan School, Glamorgan Drive",0,37,0,2,1,1,27,4,59,14,578,0,4,1114,0,71,0,1,54,1967,2
,"Senior Citizens Hall, Torbay Shopping Centre, 37 Watea Road",0,37,0,1,2,0,14,1,88,23,585,1,2,905,0,100,0,0,46,1805,5
,"Torbay Primary School, Deep Creek Road",0,37,0,4,0,1,26,0,66,19,526,0,5,913,0,77,0,0,28,1702,6
"Unsworth","Westminster Christian School, 31 Westminster Gardens (off Unsworth Drive)",1,19,1,0,5,0,4,0,18,7,276,0,2,434,1,32,0,0,34,834,2
,"Polling places where less than 6 votes were taken",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,"Hospital Votes",0,0,0,0,0,0,0,0,5,3,118,0,0,168,0,34,0,0,4,332,6
,"Ordinary Votes BEFORE polling day",0,73,1,0,5,2,23,2,69,20,762,1,8,1540,0,145,1,1,63,2716,5
,"Special Votes BEFORE polling day",0,5,0,0,0,0,3,0,16,5,55,0,0,118,0,4,0,0,3,209,0
,"Special Votes On polling day",1,60,1,12,2,2,22,4,124,13,852,3,9,1201,1,78,0,1,61,2447,5
,"Overseas Special Votes including defence force",0,13,0,2,1,0,4,0,35,4,141,0,2,230,0,14,0,0,17,463,0
,"Special Votes Allowed for Party Only",1,5,0,2,1,0,7,1,31,2,130,0,7,141,0,23,0,0,4,355,1
,"East Coast Bays Total",6,956,15,74,44,14,370,28,1297,338,11813,14,95,19437,6,1775,5,7,890,37184,100
,,,,,,,,,,,,,,,,,,,,"Valid Party Votes plus Informal Party Votes",37284
"Electorate Party Valid Votes for East Coast Bays",,"National Party - .5227248279"
"99 MP Party",6,.0001613597
"ACT New Zealand",956,.0257099828
"Alliance",15,.0004033993
"Aotearoa Legalise Cannabis Party",74,.0019901033
"Christian Heritage NZ",44,.0011833046
"Democrats for Social Credit",14,.000376506
"Destiny New Zealand",370,.0099505164
"Direct Democracy Party",28,.000753012
"Green Party",1297,.0348805938
"Jim Anderton's Progressive",338,.0090899312
"Labour Party",11813,.3176904045
"Libertarianz",14,.000376506
"Mâori Party",95,.0025548623
"National Party",19437,.5227248279
"New Zealand Family Rights Protection Party",6,.0001613597
"New Zealand First Party",1775,.0477355852
"OneNZ Party",5,.0001344664
"The Republic of New Zealand Party",7,.000188253
"United Future New Zealand",890,.0239350258
