Party and Electorate Candidate Votes Recorded at each polling place
"Epsom 14","Party Vote Details"
,,"99 MP Party","ACT New Zealand","Alliance","Aotearoa Legalise Cannabis Party","Christian Heritage NZ","Democrats for Social Credit","Destiny New Zealand","Direct Democracy Party","Green Party","Jim Anderton's Progressive","Labour Party","Libertarianz","Mâori Party","National Party","New Zealand Family Rights Protection Party","New Zealand First Party","OneNZ Party","The Republic of New Zealand Party","United Future New Zealand","Total Valid Party Votes","Informal Party Votes"
"Balmoral","St Albans Church Hall, 443 Dominion Road",0,12,1,0,1,0,0,0,27,4,129,2,3,112,0,2,0,0,7,300,0
"City","Auckland High Court, Waterloo Quadrant (cnr Parliament St)",0,2,0,0,0,0,0,0,14,0,39,0,0,54,0,2,0,0,2,113,0
,"Open Polytechnic NZ, 120 Mayoral Drive",0,5,0,0,0,0,0,0,3,0,24,0,0,10,0,2,0,0,0,44,0
"Epsom","Auckland Grammar School Upper Pavilion, Gate 4, 85 Mountain Road",0,44,1,1,0,0,1,0,54,4,317,2,7,611,0,21,0,0,14,1077,7
,"Epsom Girls Grammar School Hall, 14 Silver Road",0,62,0,3,4,1,1,0,65,14,533,0,7,698,0,33,0,0,38,1459,5
,"Epsom Methodist Church Hall, 12 Pah Road",0,16,0,0,2,1,0,0,28,2,186,0,1,313,0,28,0,0,18,595,5
,"Epsom Normal School Hall, 41 The Drive ",0,87,0,2,1,0,3,1,57,10,464,0,1,828,0,37,0,0,41,1532,3
,"Sacred Heart Parish Hall, 19 Banff Avenue",0,31,1,1,1,0,3,0,31,6,275,1,0,586,0,31,0,0,36,1003,4
,"St Andrew's Anglican Church Hall, 100 St Andrew's Road",1,46,0,0,1,0,1,0,40,5,303,0,3,736,0,25,0,0,31,1192,0
,"St George's Church Hall, 19 Ranfurly Road",0,73,0,0,1,0,3,2,61,9,333,0,5,704,0,44,0,0,38,1273,1
"Grafton","St David's Presbyterian Church Hall, 70 Khyber Pass Road",0,6,0,0,0,0,0,0,11,1,35,0,0,35,0,3,0,0,1,92,0
"Greenlane","Cornwall Park District School Hall, Greenlane W & Wheturangi Road",1,37,0,0,0,0,1,0,26,10,239,0,2,503,0,19,0,0,25,863,2
"Mt Eden","Auckland Normal Intermediate Hall, Poronui Street",0,13,0,0,0,0,1,2,41,4,201,1,2,296,0,15,0,0,12,588,0
,"Auckland Provincial Guide Centre, 132 Grange Road",0,13,1,2,0,1,0,0,46,4,243,0,2,255,0,14,0,0,12,593,1
,"Eden Community Church Hall, 72 View Road",1,11,1,1,1,1,4,0,62,11,332,0,3,214,0,19,0,0,22,683,2
,"Maungawhau School Hall, 43 Ellerton Road",0,14,0,1,0,0,0,0,22,0,152,1,0,207,0,5,0,0,13,415,0
,"Mt Eden Normal Primary School Hall, Valley Rd",0,30,0,0,2,0,6,0,163,13,610,2,5,562,0,30,0,0,30,1453,3
,"Valley Road International Church Hall, 393 Mt Eden Road",1,28,0,3,6,0,5,0,106,8,427,1,2,436,0,35,0,0,14,1072,2
"One Tree Hill","St Oswald's Anglican Church Hall, 193 Campbell Road",0,2,0,0,0,0,0,0,1,0,15,0,0,19,0,1,0,0,0,38,0
"Parnell","Holy Trinity Cathedral Venue Centre, 446 Parnell Road",0,28,0,1,0,0,0,0,102,5,334,2,5,729,0,26,0,0,13,1245,2
,"Jubilee Hall, Parnell Community Centre, 545 Parnell Road",0,22,0,0,1,0,1,1,85,5,280,0,1,542,0,14,0,0,8,960,1
,"Parnell District School Hall, 48 St Stephen's Avenue",0,60,0,0,0,0,1,2,66,7,322,1,6,1165,0,38,0,0,10,1678,5
"Remuera","Baptist Church Hall, 641 Remuera Road",0,13,0,0,1,0,0,0,10,1,98,1,1,317,0,17,0,0,11,470,0
,"Corran School Hall, 514 Remuera Road",0,41,0,0,2,0,1,0,38,4,211,0,1,738,0,32,1,0,11,1080,1
,"King's School Hall, 258 Remuera Road",0,68,0,1,0,0,1,0,54,2,298,0,3,1423,0,38,0,0,19,1907,7
,"Remuera Intermediate School Hall, Ascot Avenue",0,41,0,0,0,0,5,0,31,11,208,0,2,506,0,26,0,0,21,851,1
,"St Aidan's Parish Hall, 5 Ascot Avenue",0,26,0,0,0,0,2,0,19,2,142,1,3,503,1,13,0,0,16,728,3
,"St Aidan's Scout Hall, 6 Crown Lane",0,18,0,0,0,0,1,0,20,4,116,0,0,618,0,11,0,0,5,793,0
,"St Joseph of Cluny Kindergarten, 74 Victoria Avenue",1,28,0,0,0,1,2,0,19,5,132,0,5,625,0,20,0,0,4,842,5
,"St Michael's Church Hall, 6 Beatrice Road",0,39,1,0,0,0,1,0,43,8,222,0,6,741,0,28,0,0,25,1114,2
,"Victoria Avenue School, 282 Victoria Avenue",0,37,1,0,0,0,1,0,60,7,237,0,5,931,0,25,1,0,8,1313,2
,"Polling places where less than 6 votes were taken",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,"Hospital Votes",0,9,2,0,2,0,1,0,4,6,161,1,0,286,1,25,0,0,7,505,16
,"Ordinary Votes BEFORE polling day",0,117,0,0,0,1,5,0,172,11,575,1,6,2205,0,68,1,0,48,3210,7
,"Special Votes BEFORE polling day",0,11,0,1,1,0,0,0,31,5,169,0,4,290,1,17,0,0,9,539,3
,"Special Votes On polling day",0,85,0,4,3,0,13,0,209,10,988,1,10,1597,0,77,0,0,50,3047,2
,"Overseas Special Votes including defence force",1,47,2,1,2,0,0,0,91,4,369,2,3,703,0,32,0,1,11,1269,2
,"Special Votes Allowed for Party Only",0,15,0,3,1,0,2,1,29,3,196,0,3,212,0,14,0,0,6,485,0
,"Epsom Total",6,1237,11,25,33,6,66,9,1941,205,9915,20,107,21310,3,887,3,1,636,36421,94
,,,,,,,,,,,,,,,,,,,,"Valid Party Votes plus Informal Party Votes",36515
"Electorate Party Valid Votes for Epsom",,"National Party - .5851020016"
"99 MP Party",6,.0001647401
"ACT New Zealand",1237,.0339639219
"Alliance",11,.0003020236
"Aotearoa Legalise Cannabis Party",25,.0006864172
"Christian Heritage NZ",33,.0009060707
"Democrats for Social Credit",6,.0001647401
"Destiny New Zealand",66,.0018121413
"Direct Democracy Party",9,.0002471102
"Green Party",1941,.0532934296
"Jim Anderton's Progressive",205,.0056286209
"Labour Party",9915,.2722330524
"Libertarianz",20,.0005491337
"Mâori Party",107,.0029378655
"National Party",21310,.5851020016
"New Zealand Family Rights Protection Party",3,.0000823701
"New Zealand First Party",887,.0243540814
"OneNZ Party",3,.0000823701
"The Republic of New Zealand Party",1,.0000274567
"United Future New Zealand",636,.017462453
