Party and Electorate Candidate Votes Recorded at each polling place
"Hamilton East 15","Party Vote Details"
,,"99 MP Party","ACT New Zealand","Alliance","Aotearoa Legalise Cannabis Party","Christian Heritage NZ","Democrats for Social Credit","Destiny New Zealand","Direct Democracy Party","Green Party","Jim Anderton's Progressive","Labour Party","Libertarianz","Mâori Party","National Party","New Zealand Family Rights Protection Party","New Zealand First Party","OneNZ Party","The Republic of New Zealand Party","United Future New Zealand","Total Valid Party Votes","Informal Party Votes"
"Chartwell","Hukanui School, Pickering Crescent",0,61,0,2,1,0,3,0,62,10,684,0,3,1265,0,105,0,1,64,2261,3
,"St Albans Church Hall, Comries Road",0,33,0,1,2,1,2,0,61,17,565,2,10,739,0,122,0,0,57,1612,5
"Claudelands","Miropiko Kindergarten, 309 River Road",0,7,0,1,1,0,2,0,35,0,117,0,1,185,0,14,0,0,16,379,0
,"Peachgrove Intermediate School, Peachgrove Road",0,6,1,4,1,0,2,0,69,9,325,0,8,262,1,47,0,0,44,779,4
,"St Aidans Parish Hall, 24 Thames Street",0,15,0,1,0,0,2,0,71,3,332,0,9,196,0,42,0,0,22,693,1
"Enderley","Insoll Avenue School, Insoll Avenue",1,22,1,2,4,0,5,1,45,12,626,1,7,389,0,83,2,0,60,1261,5
,"Southwell School, 200 Peachgrove Road",0,13,0,0,0,0,1,0,53,10,329,1,4,387,0,53,0,0,50,901,1
,"Te Kura Kaupapa Maori O Te Ara Rima School, Fifth Avenue",1,8,0,1,0,1,1,0,30,9,232,0,9,163,1,47,0,0,19,522,4
"Fairfield","Fairfield Baptist Church, Searancke Place",0,9,0,4,3,0,2,0,25,7,188,0,4,133,0,44,0,0,22,441,5
,"Fairfield College, Bankwood Road",0,13,0,0,1,0,1,1,34,5,243,1,3,180,0,48,0,0,15,545,1
,"Fairfield Intermediate School, Clarkin Road",1,12,0,1,1,0,4,0,27,6,313,1,4,210,0,72,0,0,16,668,6
,"Wesley Methodist Hall, 955 Heaphy Terrace",0,12,1,0,2,0,3,1,40,7,262,1,5,153,0,38,0,0,21,546,1
