Party and Electorate Candidate Votes Recorded at each polling place
"Hutt South 18","Party Vote Details"
,,"99 MP Party","ACT New Zealand","Alliance","Aotearoa Legalise Cannabis Party","Christian Heritage NZ","Democrats for Social Credit","Destiny New Zealand","Direct Democracy Party","Green Party","Jim Anderton's Progressive","Labour Party","Libertarianz","Mâori Party","National Party","New Zealand Family Rights Protection Party","New Zealand First Party","OneNZ Party","The Republic of New Zealand Party","United Future New Zealand","Total Valid Party Votes","Informal Party Votes"
"Alicetown","Hutt Central School, Railway Avenue",1,7,0,0,1,0,9,0,50,3,446,0,1,367,0,42,0,0,29,956,3
"Avalon","Avalon School, 10 Gordon Street",0,1,0,1,0,0,0,0,4,0,101,0,3,39,0,7,0,0,4,160,2
,"Dyer Street School, Dyer Street",0,8,0,0,1,0,3,2,26,7,305,0,2,245,0,25,0,0,28,652,1
"Belmont","Belmont School, 709 Western Hutt Road",0,0,0,0,0,0,0,0,3,2,27,1,1,21,0,2,0,0,4,61,1
"Boulcott","Boulcott School, Boulcott Street",0,8,0,0,0,0,0,0,19,1,163,0,2,295,0,16,0,0,19,523,0
"City","Wellington Town Hall, 111 Wakefield Street",0,1,0,0,0,0,1,0,9,0,39,0,1,19,0,0,0,0,3,73,0
"Days Bay","Wellesley College",0,16,0,2,0,0,0,0,92,1,197,0,3,336,0,11,0,0,16,674,1
"Eastbourne","Muritai School, 160 Muritai Road",0,32,1,3,1,0,2,0,173,16,509,3,1,702,0,52,0,0,48,1543,2
"Epuni","Epuni School Hall, 313 Waiwhetu Road",0,15,2,1,0,0,8,0,61,5,605,1,10,484,1,65,0,0,59,1317,6
,"Hutt City Musical Theatre Inc, 40 Mitchell Street",0,9,1,1,1,4,7,0,19,12,294,1,2,173,2,22,0,1,22,571,1
"Gracefield","Gracefield School, Bell Road",0,6,0,0,0,0,2,0,17,0,195,0,1,129,0,14,0,0,14,378,6
"Hutt Central","Eastern Hutt School, 83 Kings Crescent",0,19,0,3,2,0,3,0,25,14,365,1,0,545,0,25,0,0,33,1035,6
,"Hutt Hospital, High Street",0,3,0,0,0,0,3,0,12,5,141,0,1,98,0,5,0,0,9,277,3
,"Hutt Intermediate School Hall, Wilford Street",0,11,0,1,0,0,5,0,42,10,278,0,1,607,0,27,0,0,37,1019,2
,"Hutt Valley High School, 84 Woburn Road",0,15,0,2,1,1,2,0,54,9,306,0,1,471,1,23,1,0,40,927,2
,"Knox Presbyterian Church Hall, 574 High Street",0,9,0,3,0,0,2,0,18,7,174,0,3,289,0,14,0,0,19,538,4
,"St Bernard's College, 183 Waterloo Road",0,10,0,0,0,0,1,0,33,6,263,0,2,322,0,19,0,0,23,679,0
,"STS Peter and Paul School, Myrtle Street",0,3,0,0,0,0,0,0,21,2,140,0,2,180,0,16,0,0,28,392,2
"Moera","Randwick School, Randwick Road",0,3,1,2,2,0,2,0,47,7,504,2,10,211,0,29,0,0,26,846,3
"Naenae","Kindergarten, 19 Seddon Street",1,5,0,0,1,0,7,0,40,8,405,0,5,143,0,23,0,0,24,662,6
,"Maota Samoa Hall, 25 Treadwell Street",0,4,0,1,0,0,2,1,8,3,162,0,3,24,0,4,0,0,12,224,4
,"Naenae School, Wheatley Street",0,4,0,1,0,0,5,0,23,5,367,0,5,119,0,19,0,0,21,569,7
,"Rata Street School, Rata Street",0,4,0,1,1,0,0,0,6,2,107,0,1,26,0,10,0,0,4,162,1
"Petone","Air Training Corps Drill Hall, 2A Udy Street",0,6,1,3,0,0,1,0,39,5,246,0,4,191,1,27,1,0,18,543,2
,"Petone Central School, 16 Britannia Street",1,13,2,3,0,1,9,0,112,17,654,1,10,322,1,42,0,0,57,1245,9
,"Wilford School Hall, William Street",0,18,1,4,1,0,6,0,110,22,621,1,7,360,0,42,0,0,46,1239,3
"Point Howard","Tennis Club/Playcentre, Ngaumatau Road",0,8,0,0,0,0,0,0,28,3,64,1,1,129,0,8,0,0,5,247,0
"Taita","Avalon Intermediate School, 1041 High Street",0,1,0,0,0,0,2,0,2,0,33,0,0,19,1,3,0,0,4,65,1
"Wainuiomata","Arakura School, 209 Wellington Road",0,10,0,7,1,2,17,0,38,12,655,0,11,195,0,62,1,0,18,1029,8
,"Fernlea School, Lees Grove",0,3,0,1,0,0,2,0,10,5,219,0,0,94,0,19,0,0,14,367,1
,"Holy Trinity Church, 40 Wainuiomata Road",0,6,1,4,1,0,8,0,31,9,378,0,8,165,1,43,0,0,38,693,4
,"Intermediate School, 66 Konini Street",1,15,3,2,0,0,4,0,34,14,721,1,3,332,0,47,0,0,48,1225,10
,"Pukeatua School, 19 Frederick Street",1,5,1,0,0,0,3,0,12,5,330,0,5,101,0,34,0,0,14,511,4
