Party and Electorate Candidate Votes Recorded at each polling place
"Auckland Central 2","Party Vote Details"
,,"99 MP Party","ACT New Zealand","Alliance","Aotearoa Legalise Cannabis Party","Christian Heritage NZ","Democrats for Social Credit","Destiny New Zealand","Direct Democracy Party","Green Party","Jim Anderton's Progressive","Labour Party","Libertarianz","Mâori Party","National Party","New Zealand Family Rights Protection Party","New Zealand First Party","OneNZ Party","The Republic of New Zealand Party","United Future New Zealand","Total Valid Party Votes","Informal Party Votes"
"City","Auckland High Court, Waterloo Quadrant (cnr Parliament St)",0,61,0,3,0,0,5,1,176,11,642,2,9,544,0,17,0,0,20,1491,1
,"Liston House, 30 - 32 Hobson Street",0,31,0,3,0,0,0,0,48,3,272,0,6,399,0,22,0,0,10,794,1
,"Methodist Church Hall, 78 Pitt Street ",0,26,1,0,3,3,4,1,142,8,503,2,9,258,1,28,0,0,19,1008,3
,"Open Polytechnic NZ, 120 Mayoral Drive",0,19,0,1,4,0,0,0,66,3,259,2,2,191,1,8,0,0,8,564,0
"Epsom","Auckland Grammar School Upper Pavilion, Gate 4, 85 Mountain Road",0,4,0,0,0,0,0,0,8,0,41,0,0,40,0,0,0,0,0,93,0
"Freemans Bay","Freemans Bay School, 95 Wellington Street",0,29,2,2,0,0,1,1,183,8,667,1,8,495,0,25,0,0,13,1435,2
"Grafton","St David's Presbyterian Church Hall, 70 Khyber Pass Road",0,19,0,0,1,0,0,0,109,8,382,3,4,345,0,12,0,0,20,903,2
"Great Barrier Island","G.B.I. Community Health Trust, 80 Hector Sanderson Road",0,4,0,1,0,0,1,0,35,0,58,0,2,46,0,15,0,0,5,167,1
,"Okiwi School",0,0,0,0,0,0,0,0,4,0,3,0,0,9,0,2,0,0,0,18,0
,"Port Fitzroy Aotea Center (Nurses Cottage)",0,1,0,0,1,0,0,0,8,0,4,0,2,12,0,1,0,0,0,29,0
,"Tryphena Mulberry Grove School",0,2,1,1,1,0,0,0,27,1,56,1,0,29,0,11,0,0,3,133,0
"Grey Lynn","Grey Lynn Community Centre, 510 Richmond Road",1,19,0,1,1,0,6,3,271,11,772,0,5,347,2,28,0,0,14,1481,8
,"Grey Lynn Library Hall, 474 Great North Road",0,13,1,1,0,1,1,0,158,8,618,0,6,136,3,21,0,0,7,974,4
,"Grey Lynn Primary School, 44 Surrey Crescent",0,8,0,0,0,0,3,2,101,4,445,0,5,190,1,22,0,1,7,789,9
,"Mata'aga Hall, 18 Leighton Street",0,8,0,0,0,0,1,0,64,4,203,0,5,68,1,4,0,0,1,359,1
,"Richmond Road School, cnr Richmond Road & Brown Street",0,9,0,1,0,0,2,0,201,8,593,0,4,322,0,9,0,0,5,1154,3
,"St Pauls College Gymnasium, 183 Richmond Road",0,5,0,2,0,0,5,0,49,4,212,1,3,110,0,15,0,0,4,410,2
"Herne Bay","Bayfield School Hall, 2 Clifton Road (cnr Jervois Road)",1,29,1,1,0,0,1,0,142,10,538,1,5,696,0,44,0,0,18,1487,1
,"Herne Bay Parish Hall, 82 Kelmarna Avenue",0,4,0,0,0,0,0,0,38,5,159,0,2,133,1,16,0,0,5,363,1
,"St Stephen's Presbyterian Church Hall, 65 Jervois Road ",0,8,0,0,1,0,1,0,61,6,224,0,2,318,0,16,1,0,13,651,3
"Kingsland","Samoan Congregational Church, 50 Bond Street, Kingsland",0,4,0,1,0,0,0,0,17,0,62,0,2,30,0,3,0,0,2,121,0
"Mt Eden","Eden Community Church Hall, 72 View Road",0,4,0,0,0,0,2,0,22,0,52,0,0,40,0,3,0,0,2,125,1
"Newton","Unitarian Church Hall, 1A Ponsonby Road",0,12,0,0,0,0,0,0,57,1,213,1,3,96,0,5,0,0,3,391,2
"Parnell","Holy Trinity Cathedral Venue Centre, 446 Parnell Road",0,4,0,0,0,0,0,0,13,0,64,0,0,80,0,6,0,0,2,169,1
,"Parnell District School Hall, 48 St Stephen's Avenue",0,7,0,0,0,0,0,0,9,3,40,0,1,102,0,3,0,0,3,168,0
"Point Chevalier","Baptist Church Hall, 126 Point Chevalier Road",1,21,0,0,0,1,7,1,125,19,712,0,4,398,1,68,0,0,35,1393,8
,"Point Chevalier School, Te Ra Road",0,28,1,4,0,0,1,0,161,9,669,2,11,610,0,67,0,1,37,1601,5
,"Selwyn Village Community Hall, 43 Target Street",0,1,0,0,1,0,0,0,18,3,126,0,0,117,0,21,0,0,7,294,0
"Ponsonby","20 St Mary's Bay Road",0,8,1,0,1,1,0,0,61,6,261,0,5,308,0,17,0,0,3,672,1
,"All Saints Church Hall, 284 Ponsonby Rd (cnr Cowan St)",0,13,0,4,1,0,2,0,114,17,497,1,3,442,1,17,0,0,9,1121,3
,"Ponsonby Primary School, 44 Curran Street",0,13,0,1,0,0,0,0,52,1,145,0,2,320,0,9,0,0,3,546,0
,"Sacred Heart Parish Hall, 24 Vermont Street",0,3,0,1,0,0,4,0,61,11,236,0,4,147,0,12,0,0,13,492,2
,"St Mary's College Hall, 11 New Street",1,12,0,1,0,0,0,0,21,3,117,0,1,176,0,8,0,0,2,342,0
"Waiheke Island","Blackpool Lions Blackpool Hall, Nikau Road",0,2,1,1,0,2,2,0,49,3,177,0,6,109,0,24,0,0,6,382,0
,"Matiatia Oneroa Ratepayers - Morra Hall, 115 Ocean View Rd",0,8,0,3,0,0,2,0,150,14,366,2,7,201,0,39,0,0,11,803,1
,"Onetangi Residents Assn Hall, cnr Waiheke Rd & Third Ave",0,10,0,1,2,0,0,0,87,2,166,1,3,119,0,38,2,0,5,436,2
,"Orapiu Bay Resort, 15 Anzac Road, Orapiu ",0,4,0,0,0,0,0,0,14,0,18,0,0,18,0,7,0,0,0,61,0
,"Ostend War Memorial Hall, cnr Belgium St & Ostend Rd",0,9,0,4,0,1,1,2,235,15,493,0,14,207,0,54,0,0,6,1041,3
,"Palm Beach Hall, 64 Palm Road",0,6,0,0,1,0,1,0,68,5,118,0,1,92,0,7,0,0,6,305,0
