Party and Electorate Candidate Votes Recorded at each polling place
"Kaikoura 21","Party Vote Details"
,,"99 MP Party","ACT New Zealand","Alliance","Aotearoa Legalise Cannabis Party","Christian Heritage NZ","Democrats for Social Credit","Destiny New Zealand","Direct Democracy Party","Green Party","Jim Anderton's Progressive","Labour Party","Libertarianz","Mâori Party","National Party","New Zealand Family Rights Protection Party","New Zealand First Party","OneNZ Party","The Republic of New Zealand Party","United Future New Zealand","Total Valid Party Votes","Informal Party Votes"
"Amberley","Amberley School, Lawcocks Road",0,5,2,2,0,0,0,0,22,6,153,0,0,261,0,25,0,1,12,489,1
,"Hurunui District Council, 66 Carters Road",0,13,0,0,0,1,2,0,37,10,228,0,1,390,0,41,1,0,23,747,4
"Ashley","Ashley School, Boundary Road",0,12,0,0,0,0,1,0,28,10,143,1,0,332,0,24,0,0,27,578,4
"Balcairn","Balcairn Hall, 4 Ashbys Road",0,4,0,0,0,0,0,0,7,4,58,0,0,116,0,13,0,0,6,208,0
"Blenheim","Baptist Church Hall, 8 Beaver Road",0,5,2,2,4,0,4,0,29,7,224,0,1,241,0,46,1,0,28,594,6
,"Bohally Intermediate School Hall, McLauchlan Street",1,9,3,1,1,1,5,0,34,15,296,0,0,282,0,32,0,0,11,691,4
,"Bright Centre, Dillons Point Road",0,2,0,1,3,0,5,0,33,12,190,0,3,157,0,28,0,1,15,450,2
,"Marlborough Boys' College Pavilion, Francis Street",0,11,1,5,3,0,8,0,53,27,488,0,4,403,0,54,0,0,35,1092,7
,"Mayfield School Hall, Hutcheson Street",0,6,2,2,0,0,7,0,52,15,301,1,4,198,0,33,1,1,20,643,6
,"NMIT Marlborough Campus, Block E",1,4,0,1,0,0,3,0,35,8,325,0,5,127,0,39,0,0,18,566,1
,"Redwoodtown School, Cleghorn Street",0,18,3,2,3,2,7,0,121,51,1214,2,9,751,0,181,1,1,64,2430,12
,"Salvation Army Hall, George Street",0,3,0,1,0,0,0,0,24,6,199,0,0,116,0,26,0,0,16,391,3
,"Springlands School Old Hall, cnr Murphys Road and Aston Street",1,21,0,4,2,1,5,0,70,24,527,0,5,663,0,76,0,0,33,1432,10
,"St Mark's Hobbies Room, 61 Main Street",0,6,1,0,1,0,2,0,17,4,142,0,2,97,0,23,0,0,11,306,1
,"St Ninian's Church Hall, cnr Alabama Road & Riley Crescent",1,11,1,1,3,0,1,0,35,15,377,0,1,309,0,62,0,0,36,853,5
,"Triple Links Hall, 6 John Street",0,4,0,2,0,0,3,0,12,10,135,0,1,78,0,19,0,0,10,274,1
,"Whitney Street School Hall, Whitney Street",0,10,0,0,0,0,3,0,52,13,417,0,3,297,0,41,1,0,33,870,4
,"Witherlea Kindergarten, 18 Alana Place",0,4,1,1,2,0,0,0,27,13,249,0,2,195,0,36,0,0,20,550,3
,"Witherlea School, Weld Street",0,14,1,0,0,1,5,1,46,16,344,0,1,432,0,50,0,1,30,942,3
"Broomfield","Broomfield School, 115 Mt Brown Road",0,11,0,1,0,0,0,0,10,3,44,0,0,113,0,5,0,1,3,191,0
"Canvastown","Canvastown School, Main Road",0,0,0,0,0,0,1,0,22,7,46,0,2,66,0,11,0,0,8,163,0
"Cheviot","Cheviot Area School Community Hall, Caverhill Road",0,7,0,1,0,1,0,0,20,12,127,0,2,221,0,25,0,0,8,424,4
"Culverden","Amuri Area School, School Road",0,4,0,1,1,0,0,0,10,6,94,0,0,291,0,17,0,0,5,429,1
"Domett","Main Line Station, SH 1",0,6,1,0,0,0,0,0,2,2,17,0,0,91,0,8,0,0,3,130,2
"Fairhall","Fairhall School, New Renwick Road",0,9,0,0,0,1,0,0,22,2,108,0,2,253,0,8,0,0,12,417,1
"Greta Valley","Greta Valley School, SH 1",0,5,0,0,1,0,0,0,6,1,44,0,1,135,0,9,0,0,2,204,1
"Grovetown","Grovetown School, Vickerman Street",0,6,0,0,0,0,3,0,12,1,89,0,3,141,1,7,0,0,14,277,0
"Hanmer Springs","Hanmer Springs School, 6 Cheltenham Street",0,9,0,3,0,0,0,0,39,4,131,0,1,247,0,20,0,0,10,464,3
