Party and Electorate Candidate Votes Recorded at each polling place
"Mana 22","Party Vote Details"
,,"99 MP Party","ACT New Zealand","Alliance","Aotearoa Legalise Cannabis Party","Christian Heritage NZ","Democrats for Social Credit","Destiny New Zealand","Direct Democracy Party","Green Party","Jim Anderton's Progressive","Labour Party","Libertarianz","Mâori Party","National Party","New Zealand Family Rights Protection Party","New Zealand First Party","OneNZ Party","The Republic of New Zealand Party","United Future New Zealand","Total Valid Party Votes","Informal Party Votes"
"Ascot Park","Rangikura School, 95 Conclusion Street",0,1,1,3,0,0,6,0,27,5,399,0,11,88,0,22,0,0,24,587,7
,"Te Kura Maori o Porirua, 392 Warspite Avenue",0,3,0,4,0,0,8,0,15,3,377,0,5,46,0,15,0,0,5,481,1
"Cannons Creek","Cannons Creek School, 5 Warspite Avenue",0,2,4,3,0,0,28,0,16,8,804,1,12,37,2,24,0,0,13,954,13
,"Glenview School, 106 Bedford Street",0,2,1,0,1,0,0,0,12,1,161,0,2,7,0,5,0,0,2,194,2
,"Maraeroa School, 47 Driver Crescent",0,2,0,2,1,0,7,0,15,3,383,0,7,14,0,13,0,0,7,454,4
,"Russell School, 18 Fantame Street",0,1,2,2,0,0,8,0,9,6,446,0,6,28,0,10,0,0,6,524,3
"Elsdon","Porirua School, 1 Awarua Street",0,7,1,1,1,0,14,0,30,8,377,0,12,66,0,36,0,0,17,570,3
"Karehana Bay","St Paul's Presbyterian Church, Cluny Road",0,8,1,0,0,0,1,0,53,5,201,0,6,204,0,11,0,0,18,508,0
"Kenepuru","Mana Electorate HQ, 37 Kenepuru Drive",0,2,1,0,0,0,3,0,4,3,80,0,2,30,0,5,0,0,7,137,0
"Linden","Greenacres School, 60 Raroa Terrace",1,8,0,0,1,0,3,0,20,2,131,1,3,207,1,15,0,0,39,432,0
,"Linden School, Ranui Terrace",0,0,0,1,0,0,1,0,15,4,115,0,0,79,0,14,0,0,28,257,0
,"Linden Social Centre, Linden Avenue",0,16,2,2,0,0,3,0,47,22,436,0,3,410,0,46,0,0,66,1053,4
,"Tui Park Kindergarten, Mexted Terrace",0,3,1,1,0,0,2,0,18,5,137,0,1,61,0,9,0,0,28,266,2
"Mana","St Barnabas' Church, Mana Esplanade",0,16,2,2,0,0,4,1,68,11,386,0,1,487,0,37,0,0,59,1074,2
"Paekakariki","Paekakariki School, Wellington Road",0,6,0,2,1,0,1,0,93,5,185,0,6,79,0,12,1,0,13,404,1
,"St Peter's Hall, Beach Road",0,3,0,2,0,0,1,0,107,4,193,0,3,94,0,21,0,0,3,431,1
"Papakowhai","Papakowhai School, 17 Spey Place",0,9,0,0,0,1,1,0,43,1,248,0,2,274,0,29,0,0,33,641,0
,"The Royal New Zealand Police College, Papakowhai Road",0,7,1,0,1,0,4,0,24,5,156,0,4,282,0,26,0,0,32,542,0
"Paraparaumu","Kapiti Primary School, Kapiti Road",1,4,1,0,1,0,1,0,18,4,144,0,0,107,0,17,1,0,17,316,0
,"Paraparaumu School, Ruapehu Street",0,0,0,0,0,0,0,0,7,0,22,0,0,48,0,4,0,0,0,81,1
,"St Paul’s Anglican Church Hall, cnr Kapiti Road & Langdale Ave",0,2,0,0,0,0,0,0,10,3,28,0,0,45,0,3,0,0,1,92,0
"Paremata","Paremata School, 35 Paremata Crescent",0,17,3,1,0,1,1,0,62,8,306,1,3,484,1,19,0,0,55,962,2
"Pauatahanui","Pauatahanui School, 12 Paekakariki Hill Road",0,12,0,0,0,0,0,0,29,1,132,0,2,353,0,15,0,0,21,565,3
"Plimmerton","Plimmerton School, School Road",0,4,0,4,0,0,0,0,52,3,203,1,2,238,0,14,0,0,34,555,0
,"St Theresa's School, James Street",0,4,0,1,0,0,0,1,26,5,130,0,1,134,0,21,0,0,30,353,0
"Porirua","North City Shopping Centre, Titahi Bay Road",0,3,4,1,2,0,5,0,28,5,253,0,4,85,0,15,0,1,13,419,3
,"Whitireia Community Polytechnic, Wineera Drive",1,4,0,2,0,1,1,0,15,5,141,1,9,43,0,9,0,0,7,239,1
"Porirua East","Porirua East School, 8 Martin Street",2,6,3,2,1,1,9,1,45,15,676,0,13,145,0,70,0,0,35,1024,3
,"Windley School, 146 Mungavin Avenue",0,2,1,4,2,0,19,0,17,8,467,0,3,38,0,16,0,0,9,586,9
"Pukerua Bay","Pukerua Bay School, 89 Rawhiti Road",0,4,3,2,0,0,2,0,96,12,340,1,3,266,0,37,0,0,33,799,0
"Raumati Beach","Raumati Beach School, Raumati Road",0,24,3,4,0,1,6,1,113,32,771,0,8,726,0,92,1,0,83,1865,5
,"Real Life Hall, Kowhai Street",0,4,1,0,0,0,2,0,34,7,165,0,0,145,0,22,0,0,18,398,1
"Raumati South","Raumati South Returned Services War Memorial Hall, Tennis Court Road",0,6,0,2,0,1,1,0,72,4,281,0,4,266,0,22,0,0,27,686,0
,"Raumati South School, Matai Road",1,4,0,0,0,0,4,0,79,10,249,0,0,227,0,23,1,0,45,643,0
"Tawa","Hampton Hill School, Victory Crescent",0,1,0,0,1,0,1,0,5,0,80,0,1,62,0,6,0,1,13,171,0
