Party and Electorate Candidate Votes Recorded at each polling place
"Mangere 23","Party Vote Details"
,,"99 MP Party","ACT New Zealand","Alliance","Aotearoa Legalise Cannabis Party","Christian Heritage NZ","Democrats for Social Credit","Destiny New Zealand","Direct Democracy Party","Green Party","Jim Anderton's Progressive","Labour Party","Libertarianz","Mâori Party","National Party","New Zealand Family Rights Protection Party","New Zealand First Party","OneNZ Party","The Republic of New Zealand Party","United Future New Zealand","Total Valid Party Votes","Informal Party Votes"
"Ihumatao, Mangere","Makarau Marae, Ruaiti Road",0,1,0,0,0,0,0,0,1,1,21,0,2,6,0,0,0,0,4,36,1
"Mangere","Favona School, Wakefield Road, Favona",0,3,1,1,0,0,22,5,14,10,808,0,11,111,3,30,0,0,50,1069,16
,"Martin Hautus Pacific Peoples Learning Institute, 55-57 Plumley Crs",0,2,1,0,2,0,6,0,4,2,299,0,1,29,6,16,0,0,8,376,2
"Mangere Bridge","Mangere Bridge School, Coronation Road",0,14,5,3,3,0,20,1,45,24,816,1,8,383,0,83,0,0,45,1451,18
,"St James Anglican Church Hall, 29 Church Road",0,9,2,3,0,0,4,1,59,23,457,0,4,371,2,82,1,0,30,1048,14
,"Waterlea School, 17 House Avenue",0,14,0,1,3,1,13,0,35,21,498,0,8,458,2,91,0,0,48,1193,1
"Mangere Central","Jean Batten School, 6 Imrie Avenue",0,3,2,2,1,0,23,0,5,9,863,0,11,103,12,36,1,0,15,1086,9
,"Koru School, 71 Robertson Road",1,6,2,5,3,0,23,0,10,8,872,0,2,79,9,26,1,0,17,1064,13
,"Mangere Central School, 254 Kirkbride Road",0,6,2,1,1,0,11,0,14,13,676,0,8,97,2,42,1,0,7,881,10
,"Mangere College, Bader Drive",0,0,2,0,0,0,11,0,10,14,684,0,8,51,8,33,0,0,6,827,15
,"Nga Iwi School, 60 Mascot Avenue",0,1,3,1,0,0,24,0,8,12,875,0,13,48,13,28,0,0,8,1034,14
