Party and Electorate Candidate Votes Recorded at each polling place
"Mt Roskill 28","Party Vote Details"
,,"99 MP Party","ACT New Zealand","Alliance","Aotearoa Legalise Cannabis Party","Christian Heritage NZ","Democrats for Social Credit","Destiny New Zealand","Direct Democracy Party","Green Party","Jim Anderton's Progressive","Labour Party","Libertarianz","Mâori Party","National Party","New Zealand Family Rights Protection Party","New Zealand First Party","OneNZ Party","The Republic of New Zealand Party","United Future New Zealand","Total Valid Party Votes","Informal Party Votes"
"Balmoral","Balmoral Scout Hall, Waitomo Street (by Pollard Park)",0,21,0,0,0,0,1,0,47,10,203,0,1,254,0,31,0,0,19,587,3
,"Good Shepherd Parish Hall, 30 Telford Avenue",0,6,0,0,0,0,1,1,26,5,88,0,3,71,0,12,0,0,3,216,4
"Epsom","Epsom Methodist Church Hall, 12 Pah Road",0,5,0,1,0,0,0,0,20,5,172,0,0,321,0,19,0,0,9,552,0
,"Sacred Heart Parish Hall, 19 Banff Avenue",0,8,0,0,0,0,0,0,6,3,38,0,2,67,1,3,0,0,5,133,1
,"St Andrew's Anglican Church Hall, 100 St Andrew's Road",0,9,0,0,0,0,0,0,11,1,72,0,0,125,0,5,0,0,9,232,3
"Hillsborough","St David's Church Hall, 202 Hillsborough Road",0,22,1,0,3,0,5,0,28,10,292,0,2,440,0,44,0,0,41,888,2
,"St Margaret's Church Hall, 102 Hillsborough Road",0,5,1,0,2,0,4,0,7,4,198,0,4,298,0,25,0,0,21,569,3
,"Waikowhai Primary School, 381 Hillsborough Road",0,14,1,1,0,0,4,0,24,9,290,0,2,263,2,24,0,0,30,664,3
"Lynfield","Lynfield Tennis Club, cnr Hillsborough Road & The Avenue",0,6,0,0,0,0,2,0,15,2,157,0,0,156,0,13,0,0,12,363,0
"Mt Eden","Maungawhau School Hall, 43 Ellerton Road",0,37,0,6,0,2,2,2,145,17,516,0,4,689,0,32,0,0,35,1487,3
"Mt Roskill","Baptist Church Hall, 179 Hillsborough Road",0,27,0,0,1,0,4,1,21,3,355,0,2,491,1,34,1,0,36,977,4
,"Christ the King Parish Hall, 288 Richardson Road",0,3,0,0,3,0,1,1,9,8,411,1,2,125,1,18,0,0,15,598,1
,"Hay Park School, 670 Richardson Road",1,50,0,1,1,0,15,3,39,17,903,3,1,509,0,42,0,0,35,1620,16
,"Lynfield College School Hall, 191 White Swan Rd (main entrance)",0,1,0,2,0,0,0,1,7,4,142,0,0,114,0,13,0,0,5,289,0
,"Marshall Laing Primary School Hall, 39 Marshall Laing Avenue",1,28,0,0,3,0,2,0,17,8,495,0,0,352,0,60,1,3,20,990,3
,"May Road School Hall, 504 Richardson Road",1,41,1,2,4,0,7,4,35,24,1218,0,11,472,2,53,0,0,33,1908,10
,"Mt Roskill Intermediate School, Denbigh Avenue",0,52,1,1,4,0,8,0,30,15,876,0,3,458,0,30,0,0,23,1501,17
,"St Giles Church Hall, 1207 Dominion Road ",0,55,1,0,2,0,5,0,39,16,655,1,6,443,2,73,0,0,22,1320,11
,"Sunnydene School, 48 Smallfield Avenue",0,14,0,0,3,1,1,0,19,11,328,0,3,92,3,16,0,0,14,505,6
,"Wesley Intermediate, cnr Sandringham Rd Extension & Stoddard Rd",2,14,0,1,2,0,18,0,33,16,1085,0,3,131,1,26,0,0,16,1348,7
"New Lynn","New Lynn Community Centre, 45 Totara Avenue",0,5,0,0,0,0,0,0,1,0,16,0,1,11,0,1,0,0,2,37,0
"New Windsor","Blockhouse Bay Community Church Hall, 76 Dundale Avenue",0,0,0,0,0,0,1,0,2,0,40,0,0,23,0,6,0,0,0,72,2
,"New Windsor School Hall, 185 New Windsor Road",0,2,0,0,0,0,0,0,0,2,48,0,0,18,0,3,0,0,2,75,0
"Onehunga","Onehunga Co-operating Parish, cnr Grey St & Onehunga Mall",0,12,1,2,1,0,6,0,51,13,509,0,2,275,3,30,1,0,25,931,7
,"Onehunga High School, 24 Pleasant Street",0,8,0,3,2,0,4,0,22,4,198,0,4,208,0,22,0,0,15,490,1
,"Onehunga Primary School, 122 Arthur Street",0,6,2,2,0,0,5,0,55,12,398,0,3,225,0,16,0,0,24,748,0
,"St Peters Anglican Church, cnr Church Street & Onehunga Mall",0,17,1,4,1,0,7,0,48,14,527,1,3,284,1,51,0,1,21,981,8
"Oranga","Te Papapa School Hall, 219 Mt Smart Road",0,6,0,0,0,0,8,0,16,4,196,1,1,124,1,5,0,0,4,366,3
"Owairaka","Owairaka District School Hall, 113 Richardson Road",0,3,1,0,0,0,1,0,10,2,142,0,0,21,0,5,0,0,0,185,0
"Roskill","St John's Presbyterian Church Hall, 1 Akarana Avenue",0,15,0,0,3,0,6,1,30,11,333,1,1,151,0,18,0,0,21,591,10
"Royal Oak","Royal Oak Intermediate, 74 Symonds St (but use Trafalgar Street entrance)",0,25,2,0,2,1,7,0,66,17,591,0,5,488,1,76,1,0,34,1316,12
,"Royal Oak School, Chandler Avenue (Use Manukau Rd entrance)",1,41,0,1,2,0,2,0,34,15,332,0,1,471,1,44,0,0,24,969,5
"Sandringham","Salvation Army Community Church Hall, Duncan Avenue",0,9,0,1,1,0,1,1,15,1,177,0,2,53,0,14,0,0,4,279,3
"Three Kings","St Therese Parish Hall, 463 Mt Albert Road (by Bremner St)",0,23,0,0,0,0,6,0,23,11,353,0,2,235,0,20,0,0,19,692,7
,"Three Kings School, 944 Mt Eden Road",1,62,3,0,3,0,10,0,106,28,804,5,9,864,0,65,0,1,36,1997,16
,"Polling places where less than 6 votes were taken",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,"Hospital Votes",0,5,1,0,3,1,1,0,7,5,247,0,0,191,41,0,0,0,15,517,4
,"Ordinary Votes BEFORE polling day",0,65,1,1,5,1,13,1,98,27,945,0,4,881,1,90,0,2,79,2214,7
,"Special Votes BEFORE polling day",0,11,1,2,0,0,1,0,23,2,211,0,5,132,0,21,1,0,10,420,3
,"Special Votes On polling day",1,70,3,5,5,0,24,0,126,34,1488,1,16,770,2,83,0,0,63,2691,7
,"Overseas Special Votes including defence force",0,12,0,0,1,1,4,1,47,0,162,4,0,158,0,12,0,0,18,420,1
,"Special Votes Allowed for Party Only",1,10,0,0,3,0,4,1,25,1,290,0,13,89,0,18,0,0,7,462,0
,"Mt Roskill Total",9,825,22,36,60,7,191,18,1383,391,16501,18,121,11543,64,1173,5,7,826,33200,193
,,,,,,,,,,,,,,,,,,,,"Valid Party Votes plus Informal Party Votes",33393
"Electorate Party Valid Votes for Mt Roskill",,"Labour Party - .4970180723"
"99 MP Party",9,.0002710843
"ACT New Zealand",825,.0248493976
"Alliance",22,.0006626506
"Aotearoa Legalise Cannabis Party",36,.0010843373
"Christian Heritage NZ",60,.0018072289
"Democrats for Social Credit",7,.0002108434
"Destiny New Zealand",191,.005753012
"Direct Democracy Party",18,.0005421687
"Green Party",1383,.0416566265
"Jim Anderton's Progressive",391,.0117771084
"Labour Party",16501,.4970180723
"Libertarianz",18,.0005421687
"Mâori Party",121,.0036445783
"National Party",11543,.3476807229
"New Zealand Family Rights Protection Party",64,.0019277108
"New Zealand First Party",1173,.0353313253
"OneNZ Party",5,.0001506024
"The Republic of New Zealand Party",7,.0002108434
"United Future New Zealand",826,.0248795181
