Party and Electorate Candidate Votes Recorded at each polling place
"New Lynn 31","Party Vote Details"
,,"99 MP Party","ACT New Zealand","Alliance","Aotearoa Legalise Cannabis Party","Christian Heritage NZ","Democrats for Social Credit","Destiny New Zealand","Direct Democracy Party","Green Party","Jim Anderton's Progressive","Labour Party","Libertarianz","Mâori Party","National Party","New Zealand Family Rights Protection Party","New Zealand First Party","OneNZ Party","The Republic of New Zealand Party","United Future New Zealand","Total Valid Party Votes","Informal Party Votes"
"Avondale","Avondale Baptist Church Hall, cnr Blockhouse Bay Rd and New North Rd",0,14,1,2,0,1,5,2,57,5,421,0,5,166,0,30,0,0,23,732,6
,"Avondale Community Centre, 99 Rosebank Road",0,4,0,1,0,0,0,1,9,1,132,0,1,33,0,6,0,0,2,190,2
,"Avondale Primary School Hall, Crayford Street",0,5,0,0,0,0,2,1,19,1,285,0,2,76,0,17,0,0,4,412,7
"Blockhouse Bay","Baptist Church Hall, 502 Blockhouse Bay Road",0,31,0,0,2,0,10,1,27,23,408,0,1,348,2,57,0,0,42,952,11
,"Bay Roskill Sports Club Hall, 231 Whitney Street",0,10,0,0,0,1,6,0,17,2,287,0,0,216,0,53,0,0,13,605,6
,"Blockhouse Bay Intermediate School Hall, 95-97 Bolton Street",0,10,0,0,1,0,2,0,24,10,421,0,8,301,0,24,0,0,22,823,1
,"Chaucer School Multi Purpose Room, Chaucer Place",0,9,1,1,2,0,8,6,18,12,399,0,2,212,0,25,0,0,19,714,4
,"Glenavon School Hall, 340 Blockhouse Bay Road",0,23,0,1,5,0,1,4,30,16,796,0,4,323,0,68,0,0,30,1301,8
,"Primary School Hall, 584 Blockhouse Bay Road",0,28,4,3,2,0,4,2,72,13,537,2,1,603,0,63,1,0,35,1370,6
"Glen Eden","Glen Eden School Hall, 3 Glenview Road",0,1,0,0,0,0,0,0,4,2,36,0,0,15,0,3,0,0,5,66,0
"Green Bay","Green Bay Community Church Hall, 14 Vardon Road",0,10,1,8,3,0,4,1,46,13,491,1,2,542,0,102,0,0,38,1262,7
,"Green Bay Primary School Hall, 131 Godley Road",0,6,0,1,1,0,2,1,86,10,417,0,4,403,0,82,0,0,19,1032,9
"Hillsborough","Waikowhai Primary School, 381 Hillsborough Road",0,6,0,0,0,0,0,0,5,1,32,0,0,49,0,4,0,0,1,98,0
"Huia","Huia Hall, Huia Road",1,2,1,2,0,0,0,0,35,2,113,0,1,99,0,24,0,0,6,286,0
"Kelston","Kelston Boys High School, Archibald Road",0,4,1,0,0,0,4,0,12,6,156,0,0,102,0,21,0,0,8,314,2
,"Kelston Girls College Music Suite, 1 Archibald Road",0,4,0,0,0,0,0,0,13,7,154,0,0,72,0,13,0,0,8,271,1
,"St Leonards Road School Hall, 15 St Leonards Road",0,1,0,1,1,0,0,0,3,0,42,0,0,12,0,0,0,0,1,61,0
"Laingholm","Laingholm School Library, Victory Road",0,11,0,3,1,0,2,1,127,6,353,1,3,309,0,32,1,0,20,870,1
"Lynfield","Halsey Drive School Hall, 106 Halsey Drive",1,27,0,1,2,0,5,0,24,17,389,2,1,519,0,37,0,0,28,1053,3
,"Lynfield Tennis Club, cnr Hillsborough Road & The Avenue",1,30,0,0,5,0,11,1,29,11,366,0,1,408,0,50,0,0,41,954,4
"Mt Roskill","Christ the King Parish Hall, 288 Richardson Road",0,11,0,1,2,0,1,0,4,6,290,0,0,151,0,29,0,0,23,518,2
,"Lynfield College School Hall, 191 White Swan Rd (main entrance)",0,16,0,0,0,0,0,0,12,8,207,0,0,170,1,10,0,0,5,429,2
,"Marshall Laing Primary School Hall, 39 Marshall Laing Avenue",0,4,0,0,0,0,0,0,5,1,79,0,0,45,1,6,0,0,6,147,0
"New Lynn","Arahoe School Hall, 11 Arahoe Road",1,30,2,0,3,0,6,2,48,26,662,0,4,417,0,62,0,0,32,1295,3
,"Fruitvale School Hall, 9 Croydon Road, New Lynn",0,24,1,2,0,0,9,0,46,17,495,0,4,235,0,38,0,0,10,881,5
,"Liberty Christian Church, 96 Lansford Cresent",0,14,1,0,1,0,4,0,10,0,182,0,2,111,0,11,0,0,9,345,1
,"Miracle of Life Church Hall, 3165 Great North Road",0,16,0,0,0,0,2,0,8,1,173,0,0,59,0,15,0,0,7,281,2
,"New Lynn Community Centre, 45 Totara Avenue",0,115,0,2,3,0,7,3,47,11,1177,1,8,429,1,40,0,1,36,1881,21
,"New Lynn Salvation Army Hall, 32 Delta Avenue",0,41,3,2,2,0,6,0,40,17,707,0,9,263,0,72,3,0,25,1190,10
,"St Thomas' Anglican Church Lounge, 6 Islington Avenue",0,17,1,1,0,1,8,2,42,25,556,1,4,286,0,80,0,0,22,1046,9
"New Windsor","Blockhouse Bay Community Church Hall, 76 Dundale Avenue",0,17,0,1,3,0,0,1,8,7,259,0,1,113,0,24,0,0,24,458,0
,"New Windsor School Hall, 185 New Windsor Road",1,53,1,3,3,0,13,0,69,24,913,0,4,504,0,63,0,0,52,1703,6
"Parau","PIC Camp Hall, 680 Huia Road",0,3,0,0,0,0,0,0,36,1,98,0,2,75,0,15,0,0,3,233,0
"Titirangi","Kaurilands School Hall, Atkinson Road",0,4,0,0,1,0,0,0,21,3,114,0,1,127,0,8,0,0,3,282,1
,"MacAndrew Hall, 337 Titirangi Road",0,5,0,2,0,0,0,0,35,2,96,0,0,152,0,18,0,0,7,317,0
,"Titirangi Primary School Hall, Atkinson Road",1,11,1,1,1,1,2,0,136,5,289,0,6,347,0,32,0,0,12,845,1
"Titirangi Beach","Titirangi Beach Hall",0,1,0,0,0,0,0,0,53,3,100,0,0,112,0,19,0,0,5,293,1
"Titirangi South","26 Grendon Road (Private Garage)",0,6,0,0,0,0,1,0,55,4,143,0,0,187,0,16,0,0,7,419,0
"Wood Bay","29 Takahe Road (Private Garage)",0,2,0,1,0,0,0,1,32,8,100,0,3,146,1,14,0,0,9,317,0
"Woodlands Park","Woodlands Park School Hall, Woodlands Park Road",0,9,0,2,0,0,3,2,132,9,319,0,2,302,0,39,0,0,22,841,2
,"Polling places where less than 6 votes were taken",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,"Hospital Votes",0,1,0,1,2,0,0,2,11,7,228,0,0,170,0,41,0,1,13,477,8
,"Ordinary Votes BEFORE polling day",0,54,1,0,2,0,6,0,99,35,740,0,7,625,0,84,2,0,61,1716,10
,"Special Votes BEFORE polling day",0,4,0,0,4,0,2,0,31,7,240,0,3,202,0,23,0,0,10,526,4
,"Special Votes On polling day",1,42,1,4,3,1,16,2,153,15,1394,1,13,707,1,82,0,1,39,2476,9
,"Overseas Special Votes including defence force",0,8,0,1,1,0,2,1,36,5,155,2,0,96,0,11,0,0,6,324,0
,"Special Votes Allowed for Party Only",0,3,0,3,0,0,4,1,24,2,257,0,19,77,0,17,0,1,5,413,8
,"New Lynn Total",7,747,21,51,56,5,158,38,1850,407,16208,11,128,10916,7,1580,7,4,818,33019,183
,,,,,,,,,,,,,,,,,,,,"Valid Party Votes plus Informal Party Votes",33202
"Electorate Party Valid Votes for New Lynn",,"Labour Party - .4908688937"
"99 MP Party",7,.0002119992
"ACT New Zealand",747,.0226233381
"Alliance",21,.0006359975
"Aotearoa Legalise Cannabis Party",51,.0015445653
"Christian Heritage NZ",56,.0016959932
"Democrats for Social Credit",5,.000151428
"Destiny New Zealand",158,.0047851237
"Direct Democracy Party",38,.0011508525
"Green Party",1850,.0560283473
"Jim Anderton's Progressive",407,.0123262364
"Labour Party",16208,.4908688937
"Libertarianz",11,.0003331415
"Mâori Party",128,.0038765559
"National Party",10916,.3305975348
"New Zealand Family Rights Protection Party",7,.0002119992
"New Zealand First Party",1580,.0478512372
"OneNZ Party",7,.0002119992
"The Republic of New Zealand Party",4,.0001211424
"United Future New Zealand",818,.0247736152
