Party and Electorate Candidate Votes Recorded at each polling place
"New Plymouth 32","Party Vote Details"
,,"99 MP Party","ACT New Zealand","Alliance","Aotearoa Legalise Cannabis Party","Christian Heritage NZ","Democrats for Social Credit","Destiny New Zealand","Direct Democracy Party","Green Party","Jim Anderton's Progressive","Labour Party","Libertarianz","Mâori Party","National Party","New Zealand Family Rights Protection Party","New Zealand First Party","OneNZ Party","The Republic of New Zealand Party","United Future New Zealand","Total Valid Party Votes","Informal Party Votes"
"Bell Block","Bell Block Primary School, SH 3",0,13,1,2,0,0,8,3,52,15,540,1,3,749,0,94,0,0,38,1519,4
,"Puketapu School, 2 Dillon Drive",0,8,0,3,1,1,9,6,25,5,358,1,2,330,2,55,0,0,18,824,3
"Glen Avon","Public Hall, Alberta Road",0,2,0,1,0,0,4,3,14,1,135,0,0,153,0,29,0,0,4,346,1
"Hillsborough","Public Hall, Egmont Rd",0,2,0,0,0,0,0,0,4,0,24,0,1,112,0,8,0,0,1,152,0
"Hurworth","Public Hall, Carrington Road",0,7,0,1,0,1,3,0,13,1,46,0,1,85,0,10,0,0,3,171,0
"Inglewood","Inglewood Town Hall, Cutfield St",0,0,0,0,0,0,0,0,3,0,14,0,1,23,0,3,0,0,2,46,0
"Lepperton","Lepperton School, Richmond Rd",0,4,0,0,1,0,3,0,11,0,66,0,0,211,0,20,1,0,9,326,0
"Mangorei","Mangorei School Hall, Mangorei Rd",0,9,0,1,0,0,5,1,33,4,161,0,1,413,0,35,0,0,8,671,1
"New Plymouth","Blind Foundation, 131 Vivian Street",0,2,0,0,3,0,1,0,27,1,138,0,3,145,1,24,0,0,5,350,0
,"Boys' High School, Pridham Hall, Eliot Street",0,7,0,0,1,0,3,0,34,1,164,0,1,286,0,31,0,0,14,542,0
,"Central School Hall, Lemon Street",0,17,1,1,0,0,6,1,63,4,302,0,3,451,0,45,0,0,19,913,3
,"Ferndale Hall, Barry Street",0,1,0,1,0,1,0,0,10,0,70,1,1,79,0,14,0,0,2,180,0
,"Fitzroy School Hall, Sackville Street",1,16,2,3,0,1,9,5,92,10,495,0,3,567,0,101,0,0,28,1333,8
,"Frankleigh Park Kindergarten, 147A Govett Avenue",0,8,1,4,0,1,4,0,30,4,209,0,1,404,0,41,0,0,20,727,3
,"Frankley School, Tukapa Street",0,7,0,0,1,0,0,1,39,1,170,0,1,296,0,27,0,0,16,559,0
,"Girls' High School Cafeteria, Mangorei Road",0,12,0,2,1,1,10,0,34,5,293,0,4,394,0,21,1,0,11,789,2
,"Highlands Intermediate School Hall, Coronation Ave",0,6,0,1,1,0,2,0,24,2,150,2,2,155,0,24,0,0,13,382,4
,"Holy Trinity Church Hall, 8 Henui Street",0,12,0,1,2,0,5,1,28,7,221,0,1,317,0,46,0,0,13,654,3
,"Marfell School Hall, Endeavour Street",0,1,0,6,1,0,2,1,15,3,211,0,3,79,0,29,0,0,8,359,0
,"Merrilands School Hall, Kauri Street",1,15,2,0,1,0,14,1,54,11,506,0,2,712,1,80,3,0,29,1432,2
,"Moturoa School, Pioneer Road",1,3,0,1,2,0,5,0,16,2,170,0,3,123,0,28,1,1,13,369,1
,"Onuku Taipari Hall, Ngamotu Road",0,3,0,2,2,0,12,2,28,4,303,0,4,155,0,48,0,0,25,588,3
,"RNZAF Training Corps Hall, Carrington Street",0,2,1,0,0,0,3,0,29,8,177,0,1,263,0,29,1,1,12,527,1
,"Spotswood College Library, South Road",0,6,0,3,0,0,4,1,53,4,277,0,2,264,0,30,0,0,31,675,1
,"Spotswood Primary School Hall, South Road",0,9,0,1,0,0,9,3,29,13,331,0,5,417,0,69,0,0,44,930,6
,"St Chad's Church Hall, 12 Omata Road",0,11,2,2,0,1,7,4,51,11,470,1,3,369,1,80,0,0,22,1035,2
,"St James Presbyterian Hall, Lawry Street",0,8,1,0,1,1,1,1,25,5,284,1,3,249,1,43,1,0,8,633,5
,"St John Ambulance Rooms, 318 St Aubyn Street",2,11,1,1,1,0,6,0,47,9,238,0,1,274,0,44,1,0,11,647,8
,"St Joseph’s Community Centre, Devon Street West",2,5,0,3,2,0,2,2,37,6,223,0,2,235,0,30,0,0,19,568,6
,"St Pius X School, 120 Brooklands Road",0,9,0,2,0,1,1,2,39,4,217,0,0,225,1,35,0,0,30,566,4
,"Taranaki Base Hospital, Recreation Hall (off David Street)",0,5,0,1,2,0,9,0,28,6,241,1,2,157,0,32,0,0,19,503,0
,"Taranaki Disability Resource Centre, 28 Young Street",0,1,0,0,0,0,1,0,21,6,107,2,1,84,0,14,0,0,6,243,1
,"Vogeltown School Hall, Huatoki Street",2,9,0,4,1,1,10,2,61,12,425,0,1,460,1,59,0,1,31,1080,5
,"Welbourn School Hall, Coronation Avenue",0,6,0,1,0,0,2,3,39,1,266,0,1,298,0,41,0,0,11,669,1
,"West End School, Davies Lane",0,11,1,0,1,0,1,0,24,6,169,0,2,196,0,30,0,1,11,453,2
,"Westown School Hall, Sanders Avenue",0,15,0,4,2,0,11,3,68,11,692,1,8,733,1,105,0,1,37,1692,9
,"Woodleigh School Hall, Brois Street",0,8,0,5,0,0,4,0,42,6,249,0,2,234,0,32,0,0,20,602,0
"Oakura","Oakura School, 16 Donnelly Street",0,15,1,2,2,1,8,2,85,4,271,0,5,529,0,36,0,0,23,984,1
"Okato","Coastal Taranaki School, Old South Rd SH45",0,11,0,0,0,0,2,0,58,2,102,0,2,235,0,30,0,0,2,444,1
