Party and Electorate Candidate Votes Recorded at each polling place
"North Shore 33","Party Vote Details"
,,"99 MP Party","ACT New Zealand","Alliance","Aotearoa Legalise Cannabis Party","Christian Heritage NZ","Democrats for Social Credit","Destiny New Zealand","Direct Democracy Party","Green Party","Jim Anderton's Progressive","Labour Party","Libertarianz","Mâori Party","National Party","New Zealand Family Rights Protection Party","New Zealand First Party","OneNZ Party","The Republic of New Zealand Party","United Future New Zealand","Total Valid Party Votes","Informal Party Votes"
"Bayswater","Bayswater School, Bayswater Ave",0,41,2,1,5,1,3,1,100,18,592,0,7,761,0,105,0,0,32,1669,4
"Belmont","Belmont Primary School, 3A Harrison Ave",0,24,1,1,4,0,2,0,55,7,313,0,3,378,0,34,0,0,16,838,5
"Browns Bay","Browns Bay Red Cross Centre, 5 Glencoe Close",0,1,0,1,0,0,1,0,3,1,12,0,0,15,0,3,0,0,2,39,0
"Campbells Bay","Campbells Bay Methodist Church Hall, 218 Beach Rd",0,24,0,4,1,0,4,0,50,5,194,1,4,770,0,40,0,0,17,1114,1
,"Campbells Bay School Hall, Aberdeen Rd",0,33,0,0,0,0,2,0,47,5,236,1,1,611,0,31,0,0,25,992,3
"Castor Bay","Presbyterian Church Hall, Katui St",0,27,0,3,2,0,1,0,40,4,234,0,1,726,0,31,1,0,23,1093,1
"Devonport","Devonport Community House, 32 Clarence St",3,24,1,0,1,0,3,0,142,5,491,1,9,508,0,64,0,0,24,1276,5
,"Devonport Holy Trinity Parish Hall, Church St",0,30,1,1,2,0,1,0,113,6,442,1,2,562,0,60,0,0,34,1255,2
,"Devonport Presbyterian Church Hall, Victoria Rd",0,17,0,1,0,0,1,0,151,13,396,0,2,440,0,44,0,0,17,1082,3
"Forrest Hill","Forrest Hill Presbyterian Church Hall, Forrest Hill Rd",1,93,1,0,11,0,9,0,67,12,614,2,1,916,1,81,0,0,65,1874,2
"Glenfield","Glenfield Community Centre, Bentley Avenue (cnr Glenfield Road)",0,1,0,0,0,0,0,0,4,1,24,0,0,26,0,5,0,0,0,61,0
,"Glenfield Primary School, 101 Chivalry Road",0,1,0,0,0,0,0,0,4,1,11,0,0,7,0,2,0,0,0,26,0
,"Target Road Primary School, 80 Target Road",0,5,1,0,1,0,0,0,3,2,36,0,0,64,0,8,0,0,4,124,0
"Hauraki","Hauraki School, Jutland Road",0,23,0,1,1,0,3,0,41,12,196,2,1,369,0,29,0,1,14,693,2
,"Takapuna Bible Chapel Hall, 13 Jutland Rd",0,42,0,4,2,1,3,2,55,15,411,0,3,685,0,80,1,0,33,1337,8
,"Takapuna Grammar, Lake Road",0,14,0,0,0,0,1,0,35,6,201,0,0,330,0,30,0,0,14,631,1
"Mairangi Bay","Mairangi Bay Presbyterian Church Hall, 11 Hastings Rd",0,41,0,1,0,0,9,0,46,8,316,1,2,921,0,62,1,0,31,1439,1
,"Mairangi Bay School, Galaxy Drive Entrance",0,43,0,0,2,1,3,0,41,5,277,1,2,761,0,43,0,0,28,1207,1
,"Rangitoto College, 564 East Coast Road",0,28,0,0,0,0,9,1,20,2,140,0,0,292,0,21,0,0,8,521,2
"Milford","Carmel College, 114 Shakespeare Road",0,24,0,0,2,2,3,0,33,7,295,1,1,426,0,50,0,0,18,862,6
,"Milford Baptist Church Hall, Dodson Ave",1,44,0,1,2,0,2,2,34,17,313,1,6,856,1,87,1,0,48,1416,7
,"Milford School, 34 Shakespeare Road",0,49,0,1,1,0,3,0,68,8,597,1,4,1192,1,102,2,0,40,2069,4
"Murrays Bay","Kwang Lim Methodist Church, 539 Beach Road",0,6,0,0,0,0,1,0,5,2,31,0,0,72,0,1,0,0,4,122,0
"Narrow Neck","Vauxhall School, Morrison Avenue",0,22,0,2,1,0,0,0,91,5,309,0,3,405,0,37,1,0,19,895,0
"Northcote","Northcote Intermediate, 145 Lake Road",0,6,0,0,0,0,0,0,2,0,30,0,0,18,0,1,0,0,0,57,0
"Stanley Bay","Stanley Bay School, 15 Russell Street",0,18,0,1,0,0,1,0,66,3,201,0,2,277,0,18,0,0,16,603,3
"Sunnynook","Sunnynook School, Lyford Crescent",2,39,0,1,0,0,5,0,22,4,334,0,1,429,0,36,0,0,28,901,1
,"Wairau Intermediate School, Becroft Drive",0,58,0,6,8,0,12,1,46,15,734,2,5,991,0,125,2,0,51,2056,7
"Takapuna","St Peters Church Hall, Killarney Street",0,20,0,0,0,0,0,0,25,4,109,0,2,483,0,31,0,0,1,675,0
,"Takapuna Methodist Church Hall, Lake Rd",0,29,0,2,0,0,9,0,63,10,350,0,4,648,0,53,0,0,24,1192,2
,"Takapuna Normal Intermediate School, Taharoto Rd",0,21,0,0,0,0,0,0,21,4,142,1,1,225,1,38,0,0,18,472,1
,"Takapuna School (entrance) 23 Auburn Street or Anzac Street",0,40,1,3,1,0,3,0,38,8,294,0,3,575,0,37,1,0,17,1021,2
"Westlake","Westlake Boys High School, Forrest Hill Road",0,29,1,1,0,0,2,0,15,4,219,0,0,338,0,28,0,0,9,646,4
,"Polling places where less than 6 votes were taken",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,"Hospital Votes",1,3,1,0,1,0,0,0,5,4,125,0,3,124,1,20,1,0,3,292,4
,"Ordinary Votes BEFORE polling day",0,121,0,1,3,0,3,1,137,13,678,1,8,1844,0,108,0,0,63,2981,6
,"Special Votes BEFORE polling day",1,12,0,1,0,0,3,0,18,2,165,1,0,266,0,27,1,0,14,511,0
,"Special Votes On polling day",1,60,0,12,2,0,11,0,162,18,789,2,6,1200,1,75,0,0,37,2376,2
,"Overseas Special Votes including defence force",0,22,0,0,0,0,2,0,46,2,258,1,3,458,0,20,0,0,8,820,0
,"Special Votes Allowed for Party Only",1,9,0,5,0,0,5,2,26,3,143,0,16,156,0,16,1,0,2,385,0
,"North Shore Total",11,1144,10,55,53,5,120,10,1940,261,11252,21,106,20125,6,1683,13,1,807,37623,90
,,,,,,,,,,,,,,,,,,,,"Valid Party Votes plus Informal Party Votes",37713
"Electorate Party Valid Votes for North Shore",,"National Party - .5349121548"
"99 MP Party",11,.0002923743
"ACT New Zealand",1144,.0304069319
"Alliance",10,.0002657949
"Aotearoa Legalise Cannabis Party",55,.0014618717
"Christian Heritage NZ",53,.0014087128
"Democrats for Social Credit",5,.0001328974
"Destiny New Zealand",120,.0031895383
"Direct Democracy Party",10,.0002657949
"Green Party",1940,.0515642027
"Jim Anderton's Progressive",261,.0069372458
"Labour Party",11252,.2990723759
"Libertarianz",21,.0005581692
"Mâori Party",106,.0028174255
"National Party",20125,.5349121548
"New Zealand Family Rights Protection Party",6,.0001594769
"New Zealand First Party",1683,.0447332749
"OneNZ Party",13,.0003455333
