Party and Electorate Candidate Votes Recorded at each polling place
"Northcote 34","Party Vote Details"
,,"99 MP Party","ACT New Zealand","Alliance","Aotearoa Legalise Cannabis Party","Christian Heritage NZ","Democrats for Social Credit","Destiny New Zealand","Direct Democracy Party","Green Party","Jim Anderton's Progressive","Labour Party","Libertarianz","Mâori Party","National Party","New Zealand Family Rights Protection Party","New Zealand First Party","OneNZ Party","The Republic of New Zealand Party","United Future New Zealand","Total Valid Party Votes","Informal Party Votes"
"Beachhaven","Birkdale Beachhaven Residents Hall, 336 Rangatira Road",2,32,2,3,3,1,17,1,155,29,906,5,16,690,0,140,1,0,51,2054,4
,"Maria Assumpta Parish Hall, 198 Beachhaven Road",0,12,0,1,4,0,9,1,31,18,404,0,8,225,0,45,0,0,29,787,3
"Birkdale","Birkdale Intermediate School, 200 Birkdale Road",0,11,2,3,3,1,6,1,66,24,759,1,6,442,1,83,0,1,23,1433,4
,"Birkenhead Baptist Church Hall, 25 Birkdale Road",1,35,0,2,2,0,13,1,96,36,699,0,9,621,1,113,0,0,36,1665,4
,"Samoan Church Hall, 211 Birkdale Road",0,11,0,1,1,1,5,0,43,10,364,0,7,200,0,49,0,0,12,704,2
"Birkenhead","All Saint's Hall, 187 Hinemoa Street",1,39,0,3,0,0,2,0,97,19,487,2,3,759,0,58,0,0,28,1498,3
,"Chelsea Primary School, Onetaunga Road",0,76,0,2,1,1,15,0,68,18,474,0,1,1004,0,56,1,0,37,1754,2
,"North Shore Church of Christ, 3 Willow Avenue",0,29,0,2,0,0,3,0,41,10,253,0,1,378,1,23,0,0,23,764,2
,"Zion Hill Methodist Church Hall, 237 Onewa Road (cnr Birkenhead Avenue)",1,51,1,7,0,1,9,1,132,22,697,2,6,876,0,87,1,0,61,1955,7
"Glenfield","Glenfield College, 52 - 60 Kaipatiki Road",0,10,0,0,0,0,2,0,20,12,221,1,1,221,0,28,0,0,15,531,1
,"Glenfield Community Centre, Bentley Avenue (cnr Glenfield Road)",0,29,0,4,1,0,9,3,49,15,513,0,2,394,0,57,0,0,19,1095,9
,"Glenfield Primary School, 101 Chivalry Road",0,22,1,1,0,0,9,0,18,7,314,1,2,296,0,33,0,0,12,716,3
,"Manuka Road Primary School, 34 Manuka Road",0,3,0,2,3,0,0,1,5,5,44,0,0,36,0,3,0,0,0,102,0
,"Target Road Primary School, 80 Target Road",0,0,0,0,0,0,3,0,1,1,21,0,0,20,0,3,0,0,1,50,0
,"Windy Ridge School, Seaview Road",0,23,0,6,1,0,7,1,50,14,404,2,0,485,0,58,0,0,28,1079,1
"Marlborough","Marlborough Park Hall, 13A Chartwell Avenue",0,35,0,1,0,0,7,1,41,18,524,0,3,605,0,94,0,0,42,1371,3
