Party and Electorate Candidate Votes Recorded at each polling place
"Ohariu-Belmont 36","Party Vote Details"
,,"99 MP Party","ACT New Zealand","Alliance","Aotearoa Legalise Cannabis Party","Christian Heritage NZ","Democrats for Social Credit","Destiny New Zealand","Direct Democracy Party","Green Party","Jim Anderton's Progressive","Labour Party","Libertarianz","Mâori Party","National Party","New Zealand Family Rights Protection Party","New Zealand First Party","OneNZ Party","The Republic of New Zealand Party","United Future New Zealand","Total Valid Party Votes","Informal Party Votes"
"Alicetown","Hutt Central School, Railway Avenue",0,3,0,0,0,0,0,0,10,0,45,0,1,52,0,4,0,0,9,124,0
"Belmont","Belmont School, 709 Western Hutt Road",0,12,0,3,0,0,2,0,52,0,252,1,0,302,0,23,1,0,35,683,0
,"Cretney's Garage, 17 Foster Crescent",0,4,0,0,0,0,0,0,48,2,99,0,1,134,0,9,0,0,22,319,0
,"Raphael House, 27 Matuhi Street",0,6,0,0,0,0,0,0,50,1,100,1,0,168,0,11,0,0,9,346,0
"Churton Park","Churton Park School, 90 Churton Drive",0,47,1,4,0,1,5,0,57,9,730,0,1,1276,0,39,0,0,134,2304,5
"City","Wellington Town Hall, 111 Wakefield Street",0,0,1,1,0,0,1,0,21,0,73,0,1,68,0,3,0,0,4,173,0
"Grenada North","Grenada North Club Rooms, Nassau Avenue",1,0,0,0,0,0,2,0,4,0,80,0,0,31,0,8,0,0,3,129,0
"Harbour View","Garage, 36 Viewmont Drive",0,7,0,0,0,0,2,0,18,1,150,0,0,290,0,12,0,0,28,508,0
"Hutt Central","Hutt Hospital, High Street",0,0,0,0,0,0,1,0,4,0,10,0,0,11,0,1,0,0,1,28,1
,"Knox Presbyterian Church Hall, 574 High Street",0,5,0,0,0,0,0,0,7,0,41,0,0,70,0,10,0,0,4,137,0
"Johnsonville","Broderick Road Chapel, 17 Broderick Road",0,15,1,2,1,1,7,0,61,15,621,2,4,493,1,43,0,0,91,1358,5
,"Garage, 6 Glen Alton Avenue",0,2,0,3,0,0,1,0,20,3,153,0,2,124,0,13,0,0,22,343,1
,"Johnsonville School Hall, Morgan Street",1,21,0,3,2,0,7,0,87,12,769,0,8,603,0,55,0,0,102,1670,1
,"Onslow College Hall, Burma Road",0,21,2,4,1,0,4,0,85,20,717,0,6,667,0,41,1,0,99,1668,3
,"West Park School Hall, Broderick Road",0,9,0,0,0,0,6,0,49,6,443,0,2,493,0,25,0,0,76,1109,2
