Party and Electorate Candidate Votes Recorded at each polling place
"Port Waikato 42","Party Vote Details"
,,"99 MP Party","ACT New Zealand","Alliance","Aotearoa Legalise Cannabis Party","Christian Heritage NZ","Democrats for Social Credit","Destiny New Zealand","Direct Democracy Party","Green Party","Jim Anderton's Progressive","Labour Party","Libertarianz","Mâori Party","National Party","New Zealand Family Rights Protection Party","New Zealand First Party","OneNZ Party","The Republic of New Zealand Party","United Future New Zealand","Total Valid Party Votes","Informal Party Votes"
"Aka Aka","Aka Aka School, 809 Aka Aka-Otaua Main Rd",0,2,0,0,0,0,0,0,2,0,22,0,0,122,0,16,0,0,1,165,0
"Ararimu","Ararimu School, cnr of Steel and Ararimu Rds",0,11,0,2,0,0,0,0,18,2,55,0,0,284,0,26,0,0,4,402,0
"Awhitu","District School, Matakawa-Awhitu Rd",0,14,0,4,0,0,1,0,30,0,135,0,6,239,0,53,0,1,10,493,2
"Bombay","Bombay School, 35 Paparata Rd",0,20,0,0,2,0,3,2,21,3,164,1,0,623,0,47,0,0,19,905,1
"Buckland","Buckland School, George Crescent",0,13,0,0,1,1,2,0,16,1,109,0,1,394,0,46,0,0,9,593,4
"Clarks Beach","Church By The Seashore, 14 - 16 Torkar Rd",0,11,2,1,0,0,1,0,18,3,123,0,4,317,0,58,0,2,12,552,4
"Drury","Drury School, Youngs Crescent",0,27,1,2,0,0,4,2,50,17,310,1,10,861,0,120,0,0,44,1449,5
"Glen Murray","Glen Murray Hall, 2271 SH 22",0,1,0,0,0,0,0,0,0,0,14,0,0,72,0,12,0,1,4,104,1
"Glenbrook","Glenbrook Primary School, 459 Main Rd",0,14,0,0,0,0,4,1,31,6,191,2,1,359,0,68,0,1,13,691,3
"Harrisville","Harrisville School, 202 Harrisville Rd",0,10,0,0,1,0,1,0,12,2,113,0,2,257,0,28,0,0,11,437,2
"Hunua","Hunua School, 39 Lockwood Rd",0,17,0,1,0,0,2,0,39,2,125,1,1,330,0,45,0,0,9,572,1
"Kaiaua","Kaiaua School, 1061 East Coast Rd",0,8,0,0,0,0,1,2,25,3,80,0,5,137,0,36,0,0,8,305,2
"Karaka","Karaka School, cnr SH 22 & Blackbridge Rd, ",0,18,0,0,3,0,3,0,13,4,124,0,1,588,0,50,1,2,16,823,2
,"Te Hihi School, 767 Linwood Rd",0,26,0,1,0,0,0,0,16,1,97,0,0,501,0,39,0,0,19,700,0
"Mangatangi","Mangatangi School, 2047 Mangatangi Rd",0,4,0,0,1,0,1,0,7,2,22,0,1,138,0,11,0,0,7,194,0
"Mangatawhiri","Mangatawhiri School, 15 McKenzie Rd",0,6,0,1,1,0,0,4,11,2,46,0,1,154,0,20,0,0,1,247,1
"Maramarua","Maramarua School, 2200 SH 2",0,7,0,1,0,1,2,1,3,4,46,0,0,156,0,33,0,0,2,256,1
"Mauku","Mauku School, 389 Union Rd",0,17,0,0,0,0,1,0,9,1,72,0,1,209,0,17,0,0,8,335,0
"Mercer","Mercer School, 15 Glass Rd",0,4,0,2,0,0,1,0,2,2,20,0,0,48,0,11,0,0,4,94,1
"Meremere","Meremere School, Meremere Lane",0,2,1,0,0,0,0,0,2,3,36,0,3,40,0,14,0,0,2,103,2
"Naike","Naike Hall, SH 22",0,6,0,0,0,0,0,0,4,1,13,0,0,51,0,8,0,0,3,86,0
"Ohinewai","Ohinewai School, SH 1, ",0,4,0,0,0,0,0,0,2,0,32,0,0,80,0,19,0,0,1,138,0
"Onewhero","Onewhero Area School, Hall Rd, ",0,15,0,0,3,0,0,0,12,3,81,0,4,226,0,32,0,0,15,391,1
"Otaua","Otaua School, 53 Maioro Rd",0,4,0,1,0,1,1,1,9,1,37,0,4,159,0,23,0,0,6,247,2
"Paerata","Paerata School, Tuhimata Rd",0,11,0,2,0,0,0,0,11,1,59,0,1,135,0,22,0,0,6,248,0
"Paparimu","Paparimu School, 7 Matheson Rd",0,5,0,1,1,1,0,0,9,2,30,1,1,115,0,18,0,0,3,187,1
"Patumahoe","Patumahoe School, 38 Patumahoe Rd",1,11,0,0,1,0,2,0,19,5,181,1,2,514,1,55,0,0,16,809,2
"Pokeno","Pokeno School, 54 Pokeno Rd",0,15,0,0,2,0,2,0,12,0,123,1,3,318,0,53,0,0,9,538,2
"Port Waikato","Yacht and Motor Boat Clubrooms, Main Rd",0,2,0,1,0,0,2,0,15,0,94,1,2,68,0,23,0,0,3,211,1
"Pukekawa","Pukekawa School, 803 Main Rd",0,20,0,0,0,0,3,0,22,2,108,0,2,347,0,39,0,0,8,551,2
"Pukekohe","Pukekohe East School, Runciman Rd",1,20,0,2,1,0,0,0,13,3,88,0,1,286,1,23,0,0,13,452,0
,"Pukekohe Hill School, cnr Ward St & Green Lane",1,36,0,1,0,0,12,1,19,14,440,1,4,860,0,147,1,0,37,1574,8
,"Pukekohe Intermediate School, Queen St",0,38,2,2,3,0,16,0,57,14,697,1,6,1066,1,214,1,0,35,2153,18
,"Pukekohe North School, Princes St",1,5,0,3,0,1,7,1,20,8,279,0,20,170,0,43,0,0,16,574,6
,"Pukekohe Valley School, East St",1,23,1,0,1,1,7,2,31,6,271,0,3,682,1,81,1,0,30,1142,0
,"St Patrick's Church Hall, 133 Seddon St",1,22,0,3,0,0,5,1,26,16,351,1,2,637,3,110,0,1,48,1227,7
"Pukeoware","Pukeoware School, 479 Baldhill Rd",0,4,0,0,0,0,2,0,20,2,62,0,2,160,0,21,0,0,6,279,0
"Puni","Puni School, 357 Waiuku Rd",0,10,0,1,0,1,2,0,13,1,127,0,5,317,0,29,0,0,7,513,0
"Raglan","Town Hall, 41 Bow St",0,11,0,2,0,0,2,2,157,8,471,0,21,274,0,68,0,0,30,1046,4
"Ramarama","Ramarama School, 126 Ararimu Rd",0,12,1,1,0,0,2,0,13,1,120,1,4,414,0,42,0,0,21,632,1
"Rangiriri","Rangiriri School, 39 Rangiriri Rd",0,3,0,0,0,0,2,0,1,0,24,0,0,82,0,7,0,0,2,121,3
"Ruawaro","Central Districts' Memorial Hall, cnr Hetherington & Waikokawa Rds",0,6,0,0,0,0,0,0,5,2,23,2,1,116,0,11,0,0,5,171,0
"Te Akau","Te Akau School, 953 Te Akau Rd",0,3,0,0,0,0,0,0,2,0,8,0,1,77,0,4,0,0,0,95,0
"Te Kauwhata","Te Kauwhata College, Waerenga Rd",0,19,0,1,0,1,2,1,20,8,215,0,5,423,0,71,0,1,16,783,4
