Party and Electorate Candidate Votes Recorded at each polling place
"Rakaia 43","Party Vote Details"
,,"99 MP Party","ACT New Zealand","Alliance","Aotearoa Legalise Cannabis Party","Christian Heritage NZ","Democrats for Social Credit","Destiny New Zealand","Direct Democracy Party","Green Party","Jim Anderton's Progressive","Labour Party","Libertarianz","Mâori Party","National Party","New Zealand Family Rights Protection Party","New Zealand First Party","OneNZ Party","The Republic of New Zealand Party","United Future New Zealand","Total Valid Party Votes","Informal Party Votes"
"Alford Forest","Alford Forest Hall, cnr Highway 72 and Alford Forest Settlement Rd",0,5,0,1,0,0,0,0,7,1,15,0,1,77,0,7,0,0,4,118,0
"Arthurs Pass","Arthurs Pass Outdoor Education Centre, State Highway 73",0,3,0,0,0,0,0,0,7,0,13,0,1,20,0,1,0,0,2,47,0
"Ashburton","Allenton School Hall, 110 Harrison St",6,62,1,1,3,0,5,0,46,25,635,1,2,1092,0,89,0,0,58,2026,7
,"Ashburton College Auditorium, 27 Walnut Avenue",1,30,1,2,2,0,4,0,27,23,316,0,0,505,0,48,1,0,20,980,2
,"Ashburton Intermediate School, 144 Cass St",2,37,1,6,1,0,4,0,43,33,606,0,2,614,1,94,1,0,31,1476,10
,"Hampstead School, 55 Wellington St",0,23,5,7,2,1,0,0,30,23,483,0,0,365,0,69,0,0,31,1039,7
,"Sinclair Community Centre, 74 Park St",1,24,4,2,2,0,1,0,27,21,307,0,0,491,0,55,2,1,28,966,2
,"St John Rooms, 241 Tancred St",2,10,0,5,1,0,0,0,12,16,243,0,2,261,0,47,0,2,17,618,4
,"Tinwald Scout and Guide Den, Lagmhor Rd",0,15,1,1,0,0,1,0,15,9,217,0,0,306,0,58,1,0,19,643,1
,"Tinwald St James Presbyterian Church Hall, cnr Graham St & Thomson St",0,37,2,2,3,0,0,0,31,22,464,0,3,696,1,68,0,1,28,1358,3
"Broadfield","Broadfield School, cnr Shands Rd & Robinsons Rd",1,8,0,0,0,0,4,0,14,5,79,1,0,234,0,18,0,0,6,370,0
"Brookside","Brookside St Luke's Sunday School Hall, Brookside-Burnham Rd",0,0,0,0,0,0,0,0,4,0,33,0,0,76,0,3,0,0,2,118,1
"Burnham","Burnham School, cnr Chaytor Avenue & Godley Rd",0,10,0,1,0,0,1,0,7,6,135,2,0,256,0,37,0,0,16,471,1
"Carew ","Carew Peel Forest School, Ealing-Montalto Rd",0,5,0,1,0,0,0,0,4,0,18,0,1,110,0,4,0,0,4,147,0
"Chertsey","Chertsey Primary School Library, High St",0,3,0,1,1,0,2,0,4,2,50,0,0,97,0,9,0,0,2,171,0
"Christchurch City ","Christchurch Central Public Library, cnr Gloucester St & Oxford Tce",0,0,1,0,0,0,0,0,2,0,9,0,0,32,0,1,0,0,2,47,0
,"Christchurch Hospital, The Great Escape Cafe",0,1,0,0,0,0,0,0,0,0,7,0,0,10,0,1,0,0,0,19,0
,"The Arts Centre, Hurst Seager Room, cnr Hereford Street & Rolleston Avenue",0,0,0,0,0,0,0,0,1,0,6,0,0,4,0,0,0,0,2,13,0
"Darfield","Darfield High School, McLaughlins Rd",0,17,0,0,1,0,0,0,33,6,182,0,0,387,0,28,1,0,42,697,0
,"Malvern Order of St John, cnr Currie Street & North Terrace",2,16,0,0,0,0,1,0,30,19,231,0,0,337,0,53,1,0,32,722,5
"Dorie","Dorie School, 103 Dorie School Rd",0,2,0,0,1,0,0,0,1,1,12,0,0,86,0,4,0,0,5,112,0
"Dunsandel","Dunsandel Community Hall, cnr Dunsandel-Hororata Road and Browns Rd",0,19,0,0,0,0,1,0,24,6,148,0,0,336,0,27,0,0,25,586,0
"Eiffelton","Eiffelton Hall, cnr Longbeach Rd and Surveyors Rd",0,5,1,1,0,0,0,0,4,1,28,0,0,159,0,4,0,0,1,204,0
"Fairton","Fairton School, Fairfield Road ",0,3,0,1,0,0,1,0,2,2,73,0,0,108,0,13,0,0,6,209,1
"Glentunnel","Glentunnel School, Homebush Rd",0,5,0,4,0,0,1,0,36,8,132,0,1,152,0,24,0,0,18,381,1
"Greendale","Greendale School, cnr Greendale Rd and Bridge Rd",0,10,0,0,0,0,0,0,6,3,30,0,1,85,0,8,0,0,4,147,0
"Greenpark","Greenpark School, Greenpark Rd",0,7,0,0,0,0,0,0,18,4,50,0,1,131,0,10,0,0,6,227,0
"Greenstreet","Greenstreet-Ashburton Forks Hall, cnr Ashburton-Staveley Rd and Driscolls Rd",0,4,0,0,0,0,0,0,4,1,23,0,0,67,1,2,0,0,0,102,0
"Halswell","St Mary's Anglican Church Hall, 329 Halswell Rd",0,6,0,0,0,0,0,0,10,2,30,0,1,46,0,3,0,0,1,99,0
"Harewood","Harewood Playcentre, 719 Harewood Rd",0,0,0,0,0,0,0,0,1,1,24,0,0,36,0,5,0,0,1,68,1
"Hinds","Hinds School, Reed St",0,12,0,1,0,0,0,0,8,5,64,0,0,204,0,19,0,0,4,317,1
"Hornby","Hornby Library, Goulding Avenue",0,1,0,0,0,0,0,0,5,1,36,0,0,24,0,3,0,0,1,71,1
,"South Hornby School, Shands Rd",0,0,0,0,0,0,0,0,0,2,16,0,0,11,0,1,0,0,3,33,0
,"St Columba's Church Hall, 452 Main South Rd",0,0,1,0,0,0,0,0,1,2,18,0,1,19,0,3,0,0,0,45,0
"Hororata","Hororata Primary School, 2548 Bealey Rd",0,9,0,0,0,0,1,0,18,9,93,0,0,233,0,11,0,0,17,391,1
"Irwell","Irwell Hall, cnr Leeston Rd and Selwyn Lake Rd",0,8,0,1,0,1,3,0,5,2,70,0,1,173,0,11,0,1,12,288,2
"Killinchy","Killinchy Community Centre, Leeston-Dunsandel Rd",0,6,1,0,0,0,0,0,6,4,41,0,0,92,0,5,0,0,8,163,0
"Kirwee","Kirwee Model School, School Lane",0,17,0,0,2,0,1,0,25,5,131,0,0,318,0,15,0,1,8,523,3
"Ladbrooks","Ladbrooks School, Barnes Rd",0,7,0,2,0,0,0,0,11,6,64,0,0,204,0,13,0,0,14,321,1
"Laghmor","Laghmor Site, Ashburton Borough School, Tinwald-Westerfield-Mayfield Rd",0,2,0,2,0,0,0,0,4,1,11,0,0,99,0,0,0,0,0,119,0
"Lakeside","Lakeside Community Memorial Hall, cnr Harts Rd and Leeston Taumutu Rd",0,3,0,1,0,0,0,0,8,4,43,0,0,100,1,4,0,0,13,177,0
"Lauriston","Lauriston School, cnr Church St and Coleridge St",0,4,0,0,0,0,0,0,5,1,22,0,0,142,0,4,0,0,0,178,0
"Leeston","Leeston Consolidated School Hall, Selwyn St",0,20,0,1,1,0,1,0,24,18,322,0,4,455,0,46,0,0,70,962,2
"Lincoln","Lincoln High School Hall, 134 North Belt",0,12,3,1,1,0,0,0,54,25,330,0,3,511,0,49,0,0,45,1034,7
,"Lincoln University, Stewart Lecture Block, Ellesmere Junction Rd",0,12,0,0,0,0,0,0,34,3,96,0,1,131,0,17,1,0,18,313,0
