Party and Electorate Candidate Votes Recorded at each polling place
"Rangitikei 44","Party Vote Details"
,,"99 MP Party","ACT New Zealand","Alliance","Aotearoa Legalise Cannabis Party","Christian Heritage NZ","Democrats for Social Credit","Destiny New Zealand","Direct Democracy Party","Green Party","Jim Anderton's Progressive","Labour Party","Libertarianz","Mâori Party","National Party","New Zealand Family Rights Protection Party","New Zealand First Party","OneNZ Party","The Republic of New Zealand Party","United Future New Zealand","Total Valid Party Votes","Informal Party Votes"
"Apiti","Apiti School, 11 Bryce St",0,4,0,1,0,0,0,0,3,2,17,0,0,91,0,5,0,0,1,124,0
"Ashhurst","Village Valley Community Centre, Cambridge Ave/Guildford St",0,21,1,2,1,0,4,0,69,13,579,0,6,543,0,123,0,0,68,1430,7
"Awahou North","Awahou School, Pohangina Valley East Rd",0,0,0,0,1,0,1,0,9,1,42,0,1,75,0,7,0,0,7,144,0
"Awahuri","Awahuri Hall, Rural No 1623, SH 3",0,6,0,0,0,0,1,0,11,2,65,0,2,146,0,19,0,0,7,259,1
"Bulls","Bulls School, Bridge St",0,6,0,0,0,0,0,0,21,8,209,1,1,269,0,59,0,0,26,600,3
,"Clifton School, Clifton St",0,10,0,1,0,0,1,0,12,7,170,0,2,353,0,52,1,0,15,624,3
"Bunnythorpe","Bunnythorpe School, Baring St",0,2,0,3,2,0,0,0,17,0,163,0,4,192,0,43,0,0,21,447,0
"Carnarvon","Carnarvon Hall/Te Kawau Scout Den, State Highway 1, Rongotea",0,1,0,0,0,0,0,0,0,3,3,0,0,70,0,6,0,0,5,88,0
"Cheltenham","Cheltenham School, Cheltenham-Hunterville Highway",0,3,0,0,3,0,0,0,5,0,26,0,0,115,0,13,0,0,2,167,0
"Colyton","Colyton School, 421 Colyton Road, RD5 Feilding",0,5,0,1,0,0,0,0,15,1,70,0,0,187,0,21,0,1,7,308,1
"Feilding","Feilding Intermediate School, East St",0,7,1,1,1,0,0,0,21,5,354,0,3,309,0,62,2,0,25,791,4
,"Lytton St School, cnr Lytton St and Monmouth St",0,13,2,4,4,2,3,0,31,12,458,0,4,411,0,76,0,0,31,1051,3
,"Manchester St School, 160 Manchester St",0,19,0,1,1,2,3,0,47,24,624,1,8,799,0,125,0,1,53,1708,7
,"North St School, 52 North St",0,6,0,3,2,1,4,1,34,11,400,0,9,387,0,87,0,0,36,981,2
,"Rimu Park Hall, 163 Makino Rd",0,3,0,2,0,1,0,0,15,3,137,0,1,142,0,28,0,0,10,342,3
,"St Brigid's Catholic Church Hall, 55 Derby St",0,6,2,2,0,0,2,0,27,5,324,0,9,311,0,63,0,0,33,784,3
,"St Paul's Presbyterian Parish Hall, Church St",0,6,1,3,4,0,8,0,28,17,402,0,5,388,1,89,0,0,30,982,5
"Fordell","Fordell School, Budge Street, RD2",0,0,0,0,0,0,0,0,2,0,4,0,0,33,0,0,0,0,3,42,0
"Glen Oroua","Glen Oroua School, 200 Sansons Road",0,3,0,0,0,0,0,0,11,0,35,0,0,143,0,8,0,0,8,208,0
"Halcombe","Halcombe Primary School, cnr Willoughby and Monteith Sts",0,2,0,2,0,0,1,0,12,3,112,0,2,184,0,25,0,1,6,350,1
