Party and Electorate Candidate Votes Recorded at each polling place
"Rimutaka 45","Party Vote Details"
,,"99 MP Party","ACT New Zealand","Alliance","Aotearoa Legalise Cannabis Party","Christian Heritage NZ","Democrats for Social Credit","Destiny New Zealand","Direct Democracy Party","Green Party","Jim Anderton's Progressive","Labour Party","Libertarianz","Mâori Party","National Party","New Zealand Family Rights Protection Party","New Zealand First Party","OneNZ Party","The Republic of New Zealand Party","United Future New Zealand","Total Valid Party Votes","Informal Party Votes"
"Avalon","Avalon School, 10 Gordon Street",1,16,0,1,2,0,2,0,51,17,605,1,4,484,0,49,1,0,47,1281,13
"Belmont","Belmont School, 709 Western Hutt Road",0,9,1,0,1,0,4,0,25,3,132,0,2,159,0,24,0,0,20,380,0
"Blue Mountains","Progressive Assn Club Rooms, Avian Crescent",0,5,0,0,0,0,5,0,20,1,62,0,0,107,0,14,0,0,18,232,0
"Brown Owl","St Peter Chanel Catholic Centre, cnr Bernadette Street & Fergusson Drive",0,10,0,2,0,1,1,0,30,16,453,0,4,411,1,70,0,0,46,1045,4
"City","Wellington Town Hall, 111 Wakefield Street",0,1,0,2,0,0,0,0,4,1,25,0,1,15,0,0,0,0,1,50,0
"Epuni","Epuni School Hall, 313 Waiwhetu Road",0,0,1,0,0,0,0,0,1,0,17,0,0,11,0,0,0,0,3,33,0
,"Hutt City Musical Theatre Inc, 40 Mitchell Street",0,0,0,1,0,0,0,0,0,0,24,0,0,12,0,0,0,0,1,38,0
"Heretaunga","Shazam's After School Care Hall, 386 - 388 Fergusson Drive",0,6,0,0,0,0,1,0,14,7,102,0,1,195,0,14,0,0,18,358,1
,"St Brendan's School, 56 Palmer Crescent",1,8,0,1,1,0,0,0,16,4,258,0,1,267,0,37,1,0,38,633,3
,"Suzanne Aubert Centre, 3 Perry Street ",0,1,0,0,0,0,1,0,5,6,154,0,3,180,0,19,0,0,18,387,0
"Hutt Central","Eastern Hutt School, 83 Kings Crescent",0,1,0,0,0,0,0,0,2,0,15,0,0,19,0,0,0,0,1,38,0
,"Hutt Hospital, High Street",0,1,0,0,0,0,1,0,5,0,61,0,0,19,0,4,0,0,3,94,0
,"Knox Presbyterian Church Hall, 574 High Street",0,1,1,0,0,0,0,0,6,2,25,1,0,45,0,1,0,0,4,86,0
"Kelson","Kelson School Hall, Taieri Cresent",1,15,1,1,3,1,0,0,51,11,450,2,4,510,0,31,0,0,79,1160,1
"Mangaroa","Mangaroa School, Flux Road",0,6,0,3,0,0,0,0,25,5,84,0,1,166,0,20,0,0,13,323,0
"Manor Park","Former Manor Park School, Ford Road",0,2,0,0,0,0,0,0,13,1,55,1,2,75,0,10,0,0,8,167,0
"Maoribank","Maoribank School, Hillside Drive",0,4,1,3,0,0,2,0,16,5,275,0,2,115,0,28,0,0,28,479,2
"Naenae","Kindergarten, 19 Seddon Street",0,0,0,0,1,0,1,0,5,0,41,0,2,13,1,3,0,0,3,70,0
,"Maota Samoa Hall, 25 Treadwell Street",0,2,0,0,0,0,3,0,13,3,209,0,6,45,0,11,0,0,10,302,1
,"Naenae School, Wheatley Street",0,0,0,0,1,0,0,0,0,0,46,1,0,12,0,3,1,0,2,66,0
