Party and Electorate Candidate Votes Recorded at each polling place
"Tamaki 49","Party Vote Details"
,,"99 MP Party","ACT New Zealand","Alliance","Aotearoa Legalise Cannabis Party","Christian Heritage NZ","Democrats for Social Credit","Destiny New Zealand","Direct Democracy Party","Green Party","Jim Anderton's Progressive","Labour Party","Libertarianz","Mâori Party","National Party","New Zealand Family Rights Protection Party","New Zealand First Party","OneNZ Party","The Republic of New Zealand Party","United Future New Zealand","Total Valid Party Votes","Informal Party Votes"
"Glen Innes","Glenbrae Primary School Hall, 105 Leybourne Circle",0,2,0,0,0,0,0,0,4,1,246,0,3,25,0,8,0,0,3,292,4
,"H I S International Mission, 77 Line Road or Omaru Lane",1,17,0,3,2,0,6,1,19,12,515,0,6,146,5,27,0,0,10,770,7
,"Primary School (library), 38-42 Eastview Road",0,0,0,0,1,0,0,0,12,4,307,0,4,63,1,12,0,1,4,409,6
,"Sacred Heart College Hall, 250 West Tamaki Road",0,19,0,1,0,0,2,0,38,8,294,1,3,434,1,42,0,0,22,865,1
,"Tamaki College Auditorium, cnr Elstree Ave & Taniwha St",0,8,0,0,1,0,9,0,19,10,698,0,11,112,1,31,0,0,7,907,6
"Glendowie","Churchill Park School Hall, 374 Riddell Road",2,33,0,0,0,0,2,0,31,2,141,0,0,571,0,12,0,0,16,810,1
,"Glen Taylor School Classroom, 172 West Tamaki Road",0,28,1,2,0,0,6,0,49,17,379,0,2,398,0,66,0,1,36,985,4
,"Primary School Hall, 217 Riddell Road",0,24,0,5,1,0,0,0,47,7,261,0,2,670,0,41,0,0,29,1087,0
"Kohimarama","Presbyterian Church Hall, 34 Kohimarama Road",0,30,0,1,0,0,0,0,29,1,152,0,0,577,0,39,0,0,14,843,4
,"School Hall, 112 Kohimarama Road",0,45,0,0,0,0,1,0,47,8,198,1,1,1007,0,44,0,0,29,1381,2
,"St Thomas's School Hall, cnr Allum St & Kohimarama Rd",0,85,0,0,2,0,5,0,87,7,544,0,9,1543,0,62,0,0,22,2366,4
