Party and Electorate Candidate Votes Recorded at each polling place
"Tauranga 52","Party Vote Details"
,,"99 MP Party","ACT New Zealand","Alliance","Aotearoa Legalise Cannabis Party","Christian Heritage NZ","Democrats for Social Credit","Destiny New Zealand","Direct Democracy Party","Green Party","Jim Anderton's Progressive","Labour Party","Libertarianz","Mâori Party","National Party","New Zealand Family Rights Protection Party","New Zealand First Party","OneNZ Party","The Republic of New Zealand Party","United Future New Zealand","Total Valid Party Votes","Informal Party Votes"
"Bethlehem","Baptist Church Hall, Bethlehem Road",0,12,0,1,1,1,11,0,19,7,214,1,4,583,0,89,0,0,49,992,2
,"Institute of Education, Elder Lane",0,20,0,1,0,0,14,0,17,3,240,0,1,756,0,98,0,0,76,1226,1
"Maungatapu","Maungatapu School Hall, 164 Maungatapu Road",0,2,0,1,0,0,2,0,9,1,46,1,0,72,0,15,0,0,5,154,0
"Mt Maunganui","Arataki School Hall, 4 Kaimanawa Street",0,4,1,0,0,2,5,0,9,4,176,3,2,117,0,57,0,0,10,390,1
,"Grenada Park Community Hall, Grenada Park, Manowai St",0,0,0,0,0,0,3,0,4,0,34,0,2,39,0,12,0,0,4,98,0
,"Harbourside Netball Pavilion, Maunganui Road",0,0,1,2,0,0,4,0,25,2,155,0,5,251,0,51,0,0,17,513,0
,"Intermediate School, 21 Links Avenue",0,16,0,1,1,1,11,0,38,10,371,1,3,557,0,134,0,0,32,1176,5
,"Mt Maunganui College, Maunganui Road",0,7,0,5,1,0,10,0,47,4,279,0,5,508,0,94,0,0,46,1006,2
,"Primary School, 13 Orkney Road",0,16,0,3,0,0,6,0,57,2,305,0,3,544,0,81,1,0,25,1043,1
,"Senior Citizens' Hall, 345 Maunganui Road",0,6,0,0,0,0,1,0,30,2,175,0,3,291,0,88,0,0,17,613,3
,"St Peter's Church Hall, 11 Victoria Road",0,8,0,0,0,0,0,0,12,1,86,0,1,324,0,39,0,0,18,489,0
"Pyes Pa","Aquinas College, 183 Pyes Pa Road",0,7,0,0,0,0,4,0,6,5,170,0,3,387,0,90,0,0,41,713,2
"Tauranga","Boys' College, Drama Room, Devonport Road",0,14,1,4,0,0,13,1,52,11,571,1,3,773,0,322,0,1,58,1825,7
,"Brookfield School, 20 Millers Road",0,14,0,4,1,2,21,0,84,21,731,0,13,805,0,308,0,0,117,2121,11
,"Dance Education Centre, 228B Levers Road",0,3,0,0,1,0,1,0,14,1,105,0,1,240,0,59,0,0,19,444,1
,"Gate Pa School, 900 Cameron Road",0,12,0,6,3,1,8,0,37,19,470,1,6,329,0,161,1,0,51,1105,3
,"Greenpark School, 13 Lumsden Street",0,4,0,1,0,0,12,0,27,36,379,2,7,441,0,174,0,0,49,1132,9
,"Greerton Village School, Greerton Road",0,12,2,5,1,3,16,0,80,21,930,3,3,613,0,444,0,0,89,2222,19
,"Matua Community Hall, Levers Road",0,19,0,1,1,2,11,0,70,12,514,2,4,1117,0,279,0,0,93,2125,3
,"Merivale School, 26 Kesteven Avenue",0,3,1,2,1,0,9,1,31,7,257,0,3,151,0,95,0,0,41,602,6
,"Otumoetai College, 105 Windsor Road",0,10,0,2,2,1,12,0,38,6,379,0,3,384,0,138,2,0,75,1052,1
,"Otumoetai School, 236 Otumoetai Road",2,21,0,3,1,1,26,0,77,12,779,0,2,1107,0,329,0,0,108,2468,11
,"Pillans Point School, 101 Maxwells Road",0,16,1,0,1,0,6,0,45,12,452,2,1,836,0,201,0,0,41,1614,7
,"Primary School Hall, Fifth Avenue",0,8,0,1,0,0,5,0,50,10,342,2,2,661,0,175,0,0,60,1316,8
,"St Columba Church Hall, 502 Otumoetai Road",0,13,0,1,3,3,9,0,27,7,454,0,3,770,0,287,0,0,60,1637,6
,"St George's Anglican Church Hall, 1 Church Street",0,3,0,1,0,0,9,0,14,3,112,0,2,120,0,50,0,0,17,331,2
,"St Peter's Community Centre, cnr Cameron Rd and Spring St",0,3,0,2,0,0,5,0,33,4,123,1,3,226,0,89,0,1,16,506,3
,"Tauranga Intermediate School, 30 Eighteenth Avenue",1,6,0,0,0,0,0,0,20,9,194,0,4,274,0,96,0,0,25,629,1
,"Tauriko School, SH 29",0,2,0,1,0,0,1,0,3,0,54,0,2,148,0,25,0,0,14,250,2
,"Polling places where less than 6 votes were taken",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,"Hospital Votes",1,3,0,0,0,2,2,0,7,5,195,0,1,224,1,121,1,0,15,578,17
,"Ordinary Votes BEFORE polling day",0,25,0,1,2,0,34,0,76,10,569,0,2,1366,0,282,0,0,185,2552,6
,"Special Votes BEFORE polling day",0,3,0,0,1,0,3,0,19,4,118,0,4,169,0,81,0,0,22,424,2
,"Special Votes On polling day",0,27,0,9,0,5,13,1,164,31,813,1,7,1003,1,214,1,0,111,2401,9
,"Overseas Special Votes including defence force",0,9,0,1,0,0,3,0,19,0,103,0,3,226,0,35,0,1,21,421,1
,"Special Votes Allowed for Party Only",0,1,0,6,1,0,5,0,23,0,160,1,13,147,0,38,1,0,9,405,0
,"Tauranga Total",4,329,7,65,22,24,295,3,1283,282,11055,22,124,16559,2,4851,7,3,1636,36573,152
,,,,,,,,,,,,,,,,,,,,"Valid Party Votes plus Informal Party Votes",36725
"Electorate Party Valid Votes for Tauranga",,"National Party - .4527657015"
"99 MP Party",4,.0001093703
"ACT New Zealand",329,.0089957072
"Alliance",7,.000191398
"Aotearoa Legalise Cannabis Party",65,.0017772674
"Christian Heritage NZ",22,.0006015367
"Democrats for Social Credit",24,.0006562218
"Destiny New Zealand",295,.0080660597
"Direct Democracy Party",3,.0000820277
"Green Party",1283,.0350805239
"Jim Anderton's Progressive",282,.0077106062
"Labour Party",11055,.302272168
"Libertarianz",22,.0006015367
"Mâori Party",124,.0033904793
"National Party",16559,.4527657015
"New Zealand Family Rights Protection Party",2,.0000546852
"New Zealand First Party",4851,.1326388319
"OneNZ Party",7,.000191398
"The Republic of New Zealand Party",3,.0000820277
"United Future New Zealand",1636,.0447324529
