Party and Electorate Candidate Votes Recorded at each polling place
"Te Atatu 53","Party Vote Details"
,,"99 MP Party","ACT New Zealand","Alliance","Aotearoa Legalise Cannabis Party","Christian Heritage NZ","Democrats for Social Credit","Destiny New Zealand","Direct Democracy Party","Green Party","Jim Anderton's Progressive","Labour Party","Libertarianz","Mâori Party","National Party","New Zealand Family Rights Protection Party","New Zealand First Party","OneNZ Party","The Republic of New Zealand Party","United Future New Zealand","Total Valid Party Votes","Informal Party Votes"
"Glen Eden","Glen Eden School Hall, 3 Glenview Road",0,3,1,1,0,0,2,0,3,4,110,0,0,51,2,18,0,0,5,200,0
,"Te Kura Kaupapa Maori o Hoani Waititi Marae, 441 West Coast Road",0,1,0,0,0,0,0,0,2,0,8,0,4,1,0,2,0,0,0,18,0
"Glendene","Glendene School, 60 Barrys Road",0,17,1,3,4,0,15,0,35,16,800,0,4,444,10,91,0,0,33,1473,12
"Henderson","Henderson North School, 14 Norval Road",0,17,1,0,6,0,7,1,24,10,372,0,4,250,2,36,0,0,30,760,5
,"Henderson Primary School, Montel Avenue",0,18,0,4,4,0,5,0,39,12,557,0,4,324,4,71,0,0,44,1086,3
,"Pomaria Primary School, 33a Pomaria Road",0,18,0,1,6,0,6,0,27,13,638,0,7,291,2,45,0,1,65,1120,4
,"Rathgar Kindergarten, 47A Longburn Road",0,5,0,2,1,0,4,0,14,4,263,0,1,97,2,18,0,0,18,429,1
,"Waitakere College, 42 Rathgar Road",1,28,2,4,4,0,13,0,34,19,700,0,9,382,1,55,0,0,40,1292,15
,"Western Heights School, 126 Sturges Road",0,2,0,1,1,0,1,1,5,0,44,0,0,51,0,2,0,0,5,113,1
"Kelston","Kelston Boys High School, Archibald Road",0,10,3,1,5,0,8,1,20,6,583,1,2,241,4,42,0,0,25,952,8
,"Kelston Girls College Music Suite, 1 Archibald Road",0,13,0,0,0,0,5,0,16,11,271,1,6,94,1,18,0,0,17,453,3
,"St Leonards Road School Hall, 15 St Leonards Road",0,12,2,2,1,0,12,1,22,11,532,0,6,206,8,51,1,0,23,890,7
"Massey","Don Buck School, 124 Don Buck Road",0,6,0,2,2,0,5,0,18,9,377,0,4,209,4,35,0,0,22,693,4
,"Lincoln Heights School, 16 Keegan Drive",0,22,0,2,6,0,11,0,51,17,675,0,14,351,7,65,1,0,27,1249,5
,"Massey High School, 274 Don Buck Road",0,19,0,1,3,0,7,2,33,7,570,1,3,348,2,81,0,0,31,1108,13
,"Royal Road School, 112 Royal Road",1,0,0,1,0,0,0,0,5,1,93,0,3,52,0,12,0,0,7,175,0
"New Lynn","Fruitvale School Hall, 9 Croydon Road, New Lynn",0,0,0,0,0,0,1,0,2,0,20,0,0,9,0,0,0,0,1,33,0
,"New Lynn Community Centre, 45 Totara Avenue",0,6,0,0,1,0,1,0,3,1,66,0,0,29,0,2,0,0,2,111,2
,"New Lynn Salvation Army Hall, 32 Delta Avenue",0,1,0,0,0,0,1,0,1,2,25,0,0,21,0,4,1,0,1,57,0
"Ranui","Birdwood School, Karepo Crescent",0,0,0,0,0,0,1,0,2,0,21,0,2,4,0,3,0,0,1,34,0
"Sunnyvale","Sunnyvale Community Hall, 18 Sunnyside Road",0,5,1,2,1,1,5,0,20,8,336,0,5,191,3,43,0,0,19,640,6
,"Sunnyvale Primary School, 34 Ribblesdale Road",1,15,0,2,4,0,8,2,38,15,675,0,1,375,2,104,1,0,35,1278,4
"Te Atatu Peninsula","Matipo Primary School, 63B Matipo Road",0,11,0,5,0,0,7,2,58,13,473,0,8,300,0,76,0,0,35,988,4
,"Peninsula Primary School, 22 Waipani Road",0,6,3,2,0,0,6,1,70,6,445,0,4,331,2,60,0,1,35,972,3
,"Rutherford Primary School, 7 Toru Street",0,15,1,1,6,0,4,0,33,13,414,0,11,263,0,35,0,0,31,827,2
,"Te Atatu Intermediate School, Harbour View Road",1,44,4,1,2,0,18,1,83,27,1107,0,26,800,5,151,0,1,67,2338,9
"Te Atatu South","Flanshaw Road School, 51 Flanshaw Road",0,29,1,1,2,2,9,1,69,17,866,1,11,600,10,102,0,2,35,1758,14
,"Freyberg Community School, 60 Roberts Road",0,35,0,1,2,0,6,0,28,20,611,0,9,465,2,92,1,0,50,1322,6
,"The Order of St John Hall, 247 Edmonton Road",0,33,1,3,6,0,19,2,44,26,791,0,7,549,4,103,0,0,47,1635,8
,"Tirimoana School, 34 Kokiri Street",0,30,1,0,5,0,6,3,54,23,855,1,9,668,3,83,0,1,43,1785,10
,"Polling places where less than 6 votes were taken",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,"Hospital Votes",0,4,0,0,1,0,0,0,7,2,181,0,0,97,3,39,1,0,2,337,0
,"Ordinary Votes BEFORE polling day",0,36,1,2,10,0,12,0,45,14,652,0,4,543,8,106,0,0,72,1505,9
,"Special Votes BEFORE polling day",0,3,0,0,1,0,1,1,12,3,190,0,2,79,0,32,0,0,3,327,2
,"Special Votes On polling day",0,34,1,5,9,1,23,4,99,15,1475,0,23,584,7,118,0,0,76,2474,12
,"Overseas Special Votes including defence force",0,3,0,1,3,0,1,0,25,1,89,0,1,80,1,18,0,0,5,228,1
,"Special Votes Allowed for Party Only",0,3,0,1,1,0,7,0,23,1,324,0,25,86,2,17,0,0,4,494,3
,"Te Atatu Total",4,504,24,52,97,4,237,23,1064,347,16209,5,219,9466,101,1830,6,6,956,31154,176
,,,,,,,,,,,,,,,,,,,,"Valid Party Votes plus Informal Party Votes",31330
"Electorate Party Valid Votes for Te Atatu",,"Labour Party - .5202863196"
"99 MP Party",4,.0001283944
"ACT New Zealand",504,.0161776979
"Alliance",24,.0007703666
"Aotearoa Legalise Cannabis Party",52,.0016691276
"Christian Heritage NZ",97,.0031135649
"Democrats for Social Credit",4,.0001283944
"Destiny New Zealand",237,.0076073698
"Direct Democracy Party",23,.000738268
"Green Party",1064,.0341529178
"Jim Anderton's Progressive",347,.0111382166
"Labour Party",16209,.5202863196
"Libertarianz",5,.000160493
"Mâori Party",219,.0070295949
"National Party",9466,.3038454131
"New Zealand Family Rights Protection Party",101,.0032419593
"New Zealand First Party",1830,.0587404507
"OneNZ Party",6,.0001925916
"The Republic of New Zealand Party",6,.0001925916
"United Future New Zealand",956,.0306862682
