Party and Electorate Candidate Votes Recorded at each polling place
"Waimakariri 55","Party Vote Details"
,,"99 MP Party","ACT New Zealand","Alliance","Aotearoa Legalise Cannabis Party","Christian Heritage NZ","Democrats for Social Credit","Destiny New Zealand","Direct Democracy Party","Green Party","Jim Anderton's Progressive","Labour Party","Libertarianz","Mâori Party","National Party","New Zealand Family Rights Protection Party","New Zealand First Party","OneNZ Party","The Republic of New Zealand Party","United Future New Zealand","Total Valid Party Votes","Informal Party Votes"
"Belfast","Belfast School, 700 Main North Road",0,9,0,4,1,0,3,0,33,16,505,0,4,458,1,67,0,0,27,1128,3
,"Papanui ACC Office, Northwood Supa Centre, 1 Radcliffe Road",0,11,0,0,1,0,2,0,31,16,473,1,1,732,0,71,0,0,45,1384,0
,"Salvation Army Hall, 794 Main North Road",0,3,1,4,1,1,1,0,25,11,467,0,1,265,0,67,0,0,20,867,2
"Bishopdale","Bishopdale School Hall, 465 Greers Road",0,7,0,3,1,0,4,1,14,9,321,0,0,189,1,27,0,0,18,595,1
,"Breens Intermediate School Hall, 85 Breens Road",0,3,0,3,0,0,0,0,9,8,122,0,0,154,0,18,0,0,9,326,0
,"Cotswold School, 50 Cotswold Avenue",0,16,1,6,2,0,1,0,48,26,569,0,2,579,0,58,0,0,66,1374,2
,"Crossroads at Bishopdale, cnr Farrington Ave and Kilburn St",0,0,0,0,0,0,0,0,8,2,95,0,0,56,0,5,0,0,8,174,0
,"Reformed Church, 90 Highsted Road",0,6,0,1,2,0,3,0,17,10,353,0,2,469,0,44,0,0,29,936,2
"Christchurch City ","Christchurch Central Public Library, cnr Gloucester St & Oxford Tce",0,1,0,0,0,0,0,0,6,0,24,0,2,17,0,1,0,0,2,53,0
,"Christchurch Hospital, The Great Escape Cafe",0,0,0,1,0,0,0,0,0,0,15,0,0,10,0,2,0,0,1,29,0
,"The Arts Centre, Hurst Seager Room, cnr Hereford Street & Rolleston Avenue",0,0,0,0,0,0,0,0,3,1,18,0,0,11,0,1,0,0,0,34,0
"Clarkville","Clarkville School, Heywards Road",0,10,0,0,0,0,0,0,23,11,143,0,0,382,0,28,0,0,12,609,1
"Cust","Cust School, 473 Early's Road",0,4,0,0,0,1,2,0,20,5,154,0,0,267,0,26,0,0,12,491,0
"Fernside","Fernside School, O'Rourkes Road",0,7,0,1,1,0,0,0,24,7,118,0,0,363,0,45,1,0,11,578,1
"Harewood","Harewood Playcentre, 719 Harewood Rd",0,5,0,1,1,0,2,0,15,3,101,0,0,156,0,13,0,0,9,306,0
"Kaiapoi","Kaiapoi Community Centre Hall, 24 Sewell Street",1,10,1,8,2,0,0,1,41,24,721,0,1,392,0,100,0,1,29,1332,4
,"Kaiapoi Cooperating Parish, Wesley Centre, 53 Fuller St",0,8,1,10,1,0,7,0,33,26,599,0,2,389,0,107,1,0,32,1216,5
,"Kaiapoi High School Auditorium, Ohoka Road",0,14,0,9,2,3,1,0,48,38,875,1,2,676,0,103,0,0,44,1816,8
,"Kaiapoi North School, 278 Williams Street",0,3,0,1,2,0,1,0,38,17,554,0,1,320,0,65,0,0,23,1025,3
"Mandeville","Eyreton Hall, Cnr Mandeville Road & South Eyre Road ",0,7,1,0,0,0,0,0,18,7,65,0,0,176,0,11,0,0,5,290,0
