Party and Electorate Candidate Votes Recorded at each polling place
"Wairarapa 56","Party Vote Details"
,,"99 MP Party","ACT New Zealand","Alliance","Aotearoa Legalise Cannabis Party","Christian Heritage NZ","Democrats for Social Credit","Destiny New Zealand","Direct Democracy Party","Green Party","Jim Anderton's Progressive","Labour Party","Libertarianz","Mâori Party","National Party","New Zealand Family Rights Protection Party","New Zealand First Party","OneNZ Party","The Republic of New Zealand Party","United Future New Zealand","Total Valid Party Votes","Informal Party Votes"
"Alfredton","Alfredton School (cnr Alfredton Road and SH52)",0,3,0,0,0,0,0,0,1,0,13,0,2,106,0,3,0,0,1,129,0
"Carterton","Carterton Kindergarten, 3 Victoria Street",0,3,1,0,0,0,1,0,31,12,333,0,2,301,0,81,0,0,11,776,5
,"Carterton School, Holloway Street",0,9,2,3,0,0,2,0,52,12,434,1,3,347,0,83,0,1,28,977,6
,"Dalefield School (cnr Dalefield and Thomas Roads)",0,5,0,0,0,0,0,0,23,1,79,0,1,120,0,20,0,0,3,252,1
,"Parkvale Hall, Nix Road",0,7,0,2,2,0,0,0,16,2,95,0,0,177,0,29,0,0,1,331,2
,"South End School, High Street South",1,9,0,3,1,1,1,0,32,9,341,0,0,268,0,79,0,0,17,762,1
,"West Taratahi Hall, Chester Road",0,5,0,0,4,0,3,0,38,1,70,0,0,134,0,26,1,0,3,285,1
"Dannevirke","Dannevirke High School (cnr Grant and King Streets)",0,4,0,3,1,0,2,0,13,2,101,0,1,183,0,36,0,0,7,353,1
,"Dannevirke South School (cnr Stairs and Hunter Streets)",0,8,0,3,1,0,0,1,15,7,187,0,0,319,0,61,0,0,8,610,2
,"Dannevirke Sports Centre, Anderson Street",0,2,0,1,0,3,0,0,3,2,110,0,4,150,0,52,0,0,7,334,2
,"District Court, 5-7 Gordon Street",0,13,1,3,1,0,4,0,16,3,250,0,5,442,0,94,1,0,7,840,6
,"Huia Range School, Cole Street",1,12,0,0,0,0,4,0,15,3,256,0,9,293,0,86,0,1,9,689,6
,"Ruahine School, Maharahara Road",0,0,0,0,0,0,0,0,3,0,27,0,1,165,0,11,0,0,2,209,0
,"Totara College, 3 Ruahine Street",1,0,0,1,0,0,2,0,5,3,70,0,1,141,0,28,1,0,2,255,1
"Eketahuna","Eketahuna School, Albert Street",0,2,3,2,1,0,1,0,12,4,114,0,2,211,0,47,0,0,14,413,1
"Elsthorpe","Elsthorpe School, Kenderdine Road",0,1,0,0,1,0,1,0,8,0,38,0,0,104,0,12,0,0,2,167,0
"Featherston","Community Centre, 14 Wakefield Street",0,5,0,1,2,0,0,0,36,12,194,1,2,129,1,45,0,0,19,447,4
