Party and Electorate Candidate Votes Recorded at each polling place
"Wellington Central 58","Party Vote Details"
,,"99 MP Party","ACT New Zealand","Alliance","Aotearoa Legalise Cannabis Party","Christian Heritage NZ","Democrats for Social Credit","Destiny New Zealand","Direct Democracy Party","Green Party","Jim Anderton's Progressive","Labour Party","Libertarianz","Mâori Party","National Party","New Zealand Family Rights Protection Party","New Zealand First Party","OneNZ Party","The Republic of New Zealand Party","United Future New Zealand","Total Valid Party Votes","Informal Party Votes"
"Brooklyn","Brooklyn Community Centre, Harrison Street",0,27,0,3,1,2,5,0,267,19,613,0,4,453,0,35,0,0,34,1463,7
,"Brooklyn School, Washington Avenue",0,14,1,3,0,1,5,0,110,6,375,1,2,239,0,25,0,0,32,814,1
"Chartwell","Chartwell School Hall, Chartwell Drive",0,5,1,1,0,0,2,0,49,1,172,1,4,182,0,9,0,0,15,442,0
"City","Aro Valley Community Centre, 48 Aro Street",0,26,8,5,2,0,1,1,653,18,851,0,12,250,1,22,0,0,12,1862,6
,"Mount Cook Preschool, 160 Tory Street",0,13,0,1,0,0,1,0,124,8,321,1,1,227,0,6,0,0,6,709,0
,"St Andrew's Church Hall, 30 The Terrace",0,28,2,3,1,0,1,0,132,5,336,1,4,288,0,10,0,0,24,835,2
,"St John's Church Conference Centre, Dixon Street",0,22,0,1,1,0,4,0,164,3,413,1,4,221,0,12,0,1,18,865,2
,"Te Aro School, The Terrace",0,8,1,0,1,1,0,0,65,2,151,1,0,45,0,3,0,0,3,281,0
,"Wellington Central Church, 39 Webb Street",0,3,2,1,0,0,5,0,73,4,337,1,6,136,0,16,0,0,8,592,2
,"Wellington High School, Main Foyer, 249 Taranaki Street",0,5,1,2,0,1,1,0,150,10,362,0,1,123,0,6,0,0,9,671,4
,"Wellington Town Hall, 111 Wakefield Street",0,40,0,8,1,1,3,0,468,18,981,0,14,638,0,31,0,1,38,2242,6
,"Wesley Church New Hall, 75 Taranaki Street",0,8,0,0,2,0,2,0,82,1,285,1,1,200,0,9,0,0,17,608,0
"Crofton Downs","Ngaio Playcentre, Silverstream Road",0,3,0,0,0,0,0,0,34,5,123,0,2,146,0,14,0,0,9,336,0
"Hataitai","Hataitai Bowling Club, Upstairs Lounge, 159 Hataitai Road",0,0,0,0,0,0,0,0,8,0,13,0,0,4,0,0,0,0,0,25,0
,"Port Nicholson Sea Scouts' Hall, Evans Bay Parade",0,1,0,0,0,0,0,0,9,0,13,0,0,12,0,1,0,0,0,36,0
"Karori","Karori Baptist Church, 161-163 Karori Rd",0,19,0,1,1,0,4,0,81,6,295,0,1,313,0,24,0,0,56,801,2
,"Karori Normal School Hall, Donald Street",0,30,0,3,0,0,1,1,137,4,644,0,4,708,0,22,0,0,54,1608,3
,"Karori Playcentre, Campbell Street",1,23,0,2,0,0,0,0,101,7,318,1,2,304,0,18,0,0,37,814,1
,"Karori West School, Allington Road",1,28,3,4,1,0,2,0,127,11,601,3,3,404,0,37,1,0,48,1274,2
,"Karori West Scout Hall, 21 Sunshine Avenue",1,16,1,1,0,0,3,0,53,6,276,0,1,135,0,14,0,1,19,527,0
,"Sprott House, Recreation Lounge, Messines Road",0,6,0,1,0,1,1,0,39,0,175,0,2,302,0,6,0,0,13,546,0
,"St Teresa's Parish Hall, 301 Karori Road",2,20,1,6,0,1,3,0,130,14,506,4,4,522,1,28,0,1,68,1311,5
"Kelburn","Kelburn Normal School Hall, Kowhai Road",0,26,0,0,0,0,0,0,171,5,373,0,2,340,0,6,0,0,24,947,1
,"St Michael's and All Angels Parish Hall, 83 Upland Road",0,34,0,2,0,0,0,0,236,13,527,5,4,419,0,13,0,0,25,1278,1
"Khandallah","St Barnabas Parish Hall, 35 Box Hill",0,0,0,0,0,0,0,0,5,0,5,0,0,9,0,2,0,0,0,21,0
"Makara","Makara School, 399 Makara Rd",0,3,0,0,1,0,0,0,18,4,76,0,1,64,0,17,0,0,6,190,0
"Mt Victoria","Clyde Quay School Hall, Elizabeth Street",0,30,3,6,1,1,0,0,352,13,832,3,10,554,0,37,0,0,26,1868,6
