Party and Electorate Candidate Votes Recorded at each polling place
"Whanganui 60","Party Vote Details"
,,"99 MP Party","ACT New Zealand","Alliance","Aotearoa Legalise Cannabis Party","Christian Heritage NZ","Democrats for Social Credit","Destiny New Zealand","Direct Democracy Party","Green Party","Jim Anderton's Progressive","Labour Party","Libertarianz","Mâori Party","National Party","New Zealand Family Rights Protection Party","New Zealand First Party","OneNZ Party","The Republic of New Zealand Party","United Future New Zealand","Total Valid Party Votes","Informal Party Votes"
"Alton","Alton Hall, Ball Road",0,2,0,0,0,0,0,0,0,0,11,0,0,107,0,5,1,0,1,127,0
"Auroa","Auroa Primary School, 734 Auroa Rd, RD 28",0,1,0,0,0,0,0,0,0,0,1,0,0,15,0,0,0,0,0,17,0
"Brunswick","Brunswick Primary School, Campbell Road",0,0,0,0,0,0,0,0,12,5,55,1,1,111,0,13,1,0,11,210,0
"Eltham","Eltham Primary School, 69 Conway Rd",0,6,1,3,2,2,0,1,25,4,189,3,1,207,0,60,1,0,7,512,0
,"Rawhitiroa School, 596 Rawhitiroa Road",0,6,0,0,0,0,0,0,1,0,8,0,0,92,0,7,0,0,0,114,0
,"St Mark's Church Hall, North High St",1,2,0,1,2,0,11,1,15,12,167,0,3,296,1,52,2,0,14,580,3
"Fordell","Fordell School, Budge Street, RD2",0,3,0,1,0,0,1,0,6,2,51,0,1,101,0,6,0,0,1,173,0
"Hawera","Hawera High School, 13 Camberwell Rd",0,5,1,2,4,2,5,1,15,5,182,0,2,253,0,36,1,0,7,521,0
,"Hawera Primary School, 261 South Road",1,11,0,2,0,0,5,0,18,6,186,2,3,335,1,40,2,0,10,622,5
,"Highland Pipe Band Hall, Collins Street",0,8,1,2,0,0,2,0,14,3,131,0,0,168,0,32,0,0,10,371,3
,"Presbyterian Hall, 35 Argyle Street",0,7,0,2,2,1,2,0,17,9,264,0,3,352,0,65,1,0,8,733,3
,"Public Hospital Conference Room, Hunter Street",1,1,0,0,0,0,0,0,5,1,61,0,0,96,0,15,0,0,3,183,0
,"Ramanui School, 85 Fairfield Road",0,3,1,1,1,2,3,0,16,8,127,1,5,241,0,23,2,0,14,448,2
,"Red Cross Hall, Lower High Street",0,3,0,1,0,0,0,0,9,0,95,0,0,137,0,24,0,0,3,272,2
,"Tawhiti School Library, Galt Street",0,5,2,0,0,1,1,0,11,2,115,0,1,186,0,22,0,0,11,357,4
,"Turuturu School, 194 Glover Road",0,17,0,0,3,1,7,0,16,2,206,0,1,601,0,41,0,0,8,903,2
"Kaitoke","Kaitoke Primary School, Concord Line",0,3,0,0,0,2,1,0,8,1,46,0,0,100,0,13,0,0,9,183,0
"Kakaramea","Kakaramea Primary School, 2193 SH 3",0,0,0,0,0,0,0,0,6,1,22,0,0,75,0,9,0,0,0,113,0
"Kakatahi","Kakatahi Primary School, SH 4",0,3,0,0,0,0,0,0,1,0,9,1,0,32,0,2,1,0,1,50,0
"Kaponga","Kaponga Primary School, 30 Egmont St",0,8,1,1,1,1,1,0,15,0,69,0,1,230,0,32,0,0,5,365,1
"Kohi","Public Hall, Kohi Road, RD1 Waverley",0,0,0,0,0,0,0,0,0,0,5,0,0,40,0,1,0,0,2,48,0
"Manaia","Manaia Primary School, Karaka St",0,14,0,0,1,1,3,0,18,4,163,0,2,245,0,35,1,0,4,491,0
"Mangamahu","Mangamahu Primary School, Kowhai Street",0,0,0,0,1,0,0,0,0,0,15,0,0,30,0,1,0,0,0,47,0
"Manutahi","Public Hall, Muggeridge Road",0,4,0,0,0,0,0,0,0,0,12,0,0,52,0,2,0,0,0,70,0
"Matapu","Matapu Primary School, 495 Hastings Road, RD15",0,5,1,0,0,0,0,0,1,0,14,0,0,179,0,1,0,0,4,205,0
"Maxwell","Maxwell and Districts Pre-School Centre, 1655 SH 3",0,2,0,0,0,0,1,0,4,1,28,0,0,84,0,7,0,0,3,130,0
"Mokoia","Mokoia Primary School, 969A Main South Rd, SH 3, RD12",0,6,0,1,1,0,1,0,0,0,14,0,0,76,0,3,0,0,0,102,0
"Mosston","Mosston Primary School, 211 Mosston Road",0,1,1,0,0,1,4,1,15,5,121,0,3,138,0,17,1,0,8,316,0
"Normanby","Normanby Primary School, 3 Hunter Street",0,7,0,4,2,1,3,0,12,2,132,0,1,283,0,38,2,0,12,499,1
"Ohangai","Ohangai Primary School, 1134 Ohangai Road East, RD 12 Hawera",0,1,0,0,0,1,0,0,4,0,13,1,0,62,0,2,0,0,0,84,0
"Ohawe Beach","Progressive Hall, Ohawe Terrace",0,0,0,0,0,0,0,0,8,0,22,0,1,41,0,10,1,0,3,86,0
"Okoia","Okoia Primary School, No 3 Line, RD 12 Wanganui",0,3,0,1,0,1,1,0,8,0,30,0,1,78,0,12,1,0,3,139,0
"Patea","Patea Area School, Kent Street",0,0,0,0,1,0,5,0,10,0,75,1,5,47,0,12,1,0,2,159,1
,"Patea Kindergarten, 4 Derby Street",0,3,0,1,1,0,4,0,7,2,127,0,7,79,0,19,0,0,3,253,0
,"Whenuakura Primary School, 52 Kaharoa Road, RD 1",0,0,0,0,0,0,0,0,1,0,18,0,0,91,0,7,0,0,0,117,0
"Rapanui","Mowhanau Community Hall, 4 - 6 Mowhanau Drive",0,1,0,0,0,0,0,0,5,1,30,0,1,50,0,4,0,0,3,95,0
"Upokongaro","Upokongaro Primary School, SH 4, RD3",0,4,0,0,0,1,3,0,6,1,66,0,3,88,0,6,0,0,1,179,0
"Waitotara","Waitotara Primary School, Severn Street",0,1,0,0,0,0,1,0,1,1,39,0,3,107,0,19,1,0,2,175,1
"Wanganui","Kai Iwi Primary School, SH 3, RD4",0,2,0,0,0,0,1,0,7,1,43,0,0,101,0,7,0,0,3,165,0
"Wanganui Aramoho","Aramoho School Hall, 2 Mitchell Street",1,2,3,1,0,2,6,0,25,12,269,0,4,150,1,39,0,0,18,533,4
,"Churton School, Burmah Street",0,2,0,1,2,0,6,0,23,9,159,0,0,161,0,17,1,0,16,397,3
