Party and Electorate Candidate Votes Recorded at each polling place
"Whangarei 61","Party Vote Details"
,,"99 MP Party","ACT New Zealand","Alliance","Aotearoa Legalise Cannabis Party","Christian Heritage NZ","Democrats for Social Credit","Destiny New Zealand","Direct Democracy Party","Green Party","Jim Anderton's Progressive","Labour Party","Libertarianz","Mâori Party","National Party","New Zealand Family Rights Protection Party","New Zealand First Party","OneNZ Party","The Republic of New Zealand Party","United Future New Zealand","Total Valid Party Votes","Informal Party Votes"
"Glenbervie","Glenbervie School, Ngunguru Rd",0,20,0,1,1,0,1,0,43,1,202,1,3,376,0,68,0,0,10,727,1
"Hikurangi","Hikurangi School, Swan Ave",0,10,0,2,2,0,4,0,15,12,235,0,4,171,0,76,0,0,7,538,2
"Kamo","Kamo Intermediate School, Hailes Rd",0,16,0,6,0,2,8,0,37,15,346,3,3,465,0,91,0,0,15,1007,2
,"Kamo Primary School, 3 Mile Bush Rd",1,50,1,3,3,0,10,1,87,27,738,2,5,1073,0,203,1,0,35,2240,5
"Kaurihohore","Kaurihohore Hall, Apotu Rd",0,13,0,1,0,2,0,0,15,2,121,0,2,223,0,41,0,0,10,430,0
"Kensington","Anglican Parish Hall, Kamo Rd",0,33,1,1,1,0,3,0,39,14,421,0,6,463,1,118,1,0,20,1122,7
,"Croquet Club, Mill Road",0,14,0,1,0,1,2,0,32,11,325,1,6,324,0,84,0,0,21,822,1
,"St Johns Church Centre, 149 Kamo Rd",1,15,0,0,1,2,9,0,21,13,404,1,4,395,0,110,0,0,20,996,2
,"Table Tennis Club, Western Hills Drive",0,10,0,0,0,0,2,0,24,3,193,0,5,227,0,40,0,1,13,518,0
,"Whau Valley School, 17 Moodys Avenue",0,10,1,2,1,0,3,0,30,21,294,0,8,279,1,65,0,0,13,728,3
"Kokopu","Kokopu School, Kokopu Rd",0,7,0,0,0,0,0,0,6,0,43,0,0,103,0,9,0,0,3,171,0
"Mangapai","Hall (cnr McAlister Rd)",1,14,0,4,0,0,0,0,16,1,87,1,1,154,0,27,0,0,4,310,1
"Mangawhai","Mangawhai Hall, Mangawhai Rd",0,0,0,0,0,0,0,0,4,0,1,0,1,9,0,0,0,0,0,15,0
"Mata","Mata Hall, State Highway 1",0,1,0,2,0,0,1,0,10,1,48,0,2,123,0,16,0,0,5,209,0
"Matapouri","Public Hall",0,2,0,0,0,0,2,0,28,0,58,0,1,52,0,14,0,0,2,159,0
"Maungakaramea","Maungakaramea School, Tangihua Rd",0,11,0,0,0,1,7,0,16,6,124,3,0,227,0,36,0,0,10,441,1
"Maungatapere","Maungatapere School, Maungakahia Rd",0,16,1,0,1,0,4,1,29,4,185,0,2,469,0,73,0,0,9,794,2
"Maunu","Maunu Primary School, Maunu Rd",0,25,0,4,0,0,4,1,36,11,300,1,4,698,0,68,0,0,11,1163,1
,"Selwyn Park Village, Puriri Park Rd",0,11,0,0,0,1,0,0,16,5,145,2,2,252,0,32,0,0,21,487,1
,"Whangarei Area Hospital, Maunu Rd",0,9,1,0,2,0,3,0,29,6,179,0,3,140,0,41,0,0,14,427,6
"Ngararatunua","Regent Training Centre, Ngararatunua, Pipiwai Rd",0,6,0,0,0,0,2,0,9,0,58,0,2,118,0,22,0,0,7,224,1
"Ngunguru","Ngunguru School, Te Maika Rd",0,17,0,0,1,0,1,0,52,12,313,2,1,385,0,66,0,1,9,860,5
"One Tree Point","One Tree Point School, One Tree Point Road",0,9,0,0,4,1,2,0,13,4,157,0,1,251,0,59,0,0,11,512,0
"Onerahi","Onerahi School, Church Rd",0,20,2,2,2,2,1,1,52,14,495,0,13,437,0,92,0,0,22,1155,3
,"Raurimu Avenue School, Raurimu Avenue",0,3,2,1,0,0,4,0,25,5,149,0,6,114,0,22,0,0,6,337,4
,"St James Church, Onerahi Rd",0,31,1,1,5,0,13,0,52,28,523,1,7,591,0,135,1,0,37,1426,3
"Otaika","Morningside School, Morningside Road",0,4,0,2,1,0,3,0,29,7,257,0,5,167,0,60,0,0,3,538,1
,"Otaika Gospel Hall (cnr Tarewa and Otaika Roads)",0,9,0,5,1,2,7,0,22,9,342,0,8,216,1,66,0,1,5,694,3
,"Otaika School, Valley View Rd",0,10,0,2,1,2,2,0,13,3,99,0,0,164,0,25,0,0,9,330,0
"Otangarei","Otangarei School, William Jones Drive",0,3,0,2,0,0,2,0,6,2,150,0,25,11,0,11,0,0,1,213,1
"Parihaka","Riverside Free Kindergarten, 38 Kohe Street",0,13,0,0,0,0,1,0,24,3,143,1,1,156,0,19,0,0,9,370,0
"Parua Bay","Parua Bay School, Whangarei Heads Rd",0,21,0,0,0,0,3,0,68,6,259,0,3,336,0,47,0,0,16,759,2
"Poroti","Poroti School, Maungakahia Rd",0,5,0,0,0,0,2,0,7,0,57,0,1,123,0,23,0,0,2,220,1
"Portland","Portland Primary School, Portland Rd",0,3,0,1,0,2,2,0,9,1,64,0,5,41,0,3,0,0,1,132,0
"Raumanga","Manaia View School Hall, Murdock Cres",0,7,0,1,1,0,9,0,19,9,226,0,7,170,0,58,0,0,6,513,3
,"Northland Polytechnic, Raumanga Valley Road",0,7,0,0,0,0,3,0,12,7,160,0,3,83,0,41,0,0,8,324,0
"Ruakaka","Bream Bay College, Marsden Pt Rd",0,4,0,2,0,0,2,0,26,6,259,0,4,248,0,62,0,0,11,624,2
,"Ruakaka Reserve Camp Hall, 21 Ruakaka Beach Rd",0,5,0,2,0,3,2,0,5,3,134,0,0,133,0,26,0,0,9,322,0
"Ruatangata","Ruatangata Hall, Ruatangata Rd",0,6,0,1,0,0,1,0,9,2,70,0,1,172,0,16,0,0,3,281,0
"Springs Flat","Alive Christian Fellowship, 55 Great North Rd",0,3,0,2,0,0,2,0,6,3,60,0,1,98,0,23,0,0,3,201,1
"Tamaterau","Tamaterau Hall, Whangarei Heads Rd",0,12,0,0,2,0,1,0,21,2,107,1,3,220,0,13,0,0,5,387,0
"Tauraroa","Tauraroa Area School, Omana Rd",0,6,0,0,0,0,1,0,7,0,23,0,0,85,0,14,0,0,3,139,0
"Tikipunga","Tikipunga Community Centre, 83 Paramount Parade",0,17,1,3,1,0,6,0,25,18,390,1,5,329,0,92,0,0,14,902,5
,"Tikipunga High School, Corks Rd",0,11,0,6,0,0,10,0,22,9,308,1,12,232,0,85,0,1,10,707,4
,"Trinity Uniting Church, Kiripaka Road",0,16,0,0,0,0,8,0,30,13,374,0,5,376,0,85,0,0,27,934,4
"Waipu","Waipu Hall, The Centre",0,11,1,5,2,0,3,0,77,11,359,1,3,480,0,132,0,0,25,1110,5
"Whangarei","Allen Motors Northland, Reyburn Street",0,15,0,3,0,0,5,0,37,3,187,0,3,332,0,60,0,0,4,649,0
,"Northland Disability Resource Centre, 40 John St",0,7,0,0,0,0,1,0,19,5,80,0,1,67,0,13,0,0,1,194,1
,"Regent Training Classrooms, Maunu Rd",0,4,0,4,1,1,6,0,21,0,168,0,5,168,0,55,0,0,5,438,1
,"Te Renga Paraoa Marae, Porowini Avenue",0,9,1,0,2,0,8,0,16,1,87,0,5,60,0,15,0,0,5,209,1
,"Whangarei Intermediate, Rust Avenue",0,19,1,0,1,0,6,0,54,12,409,1,4,361,0,109,0,0,4,981,7
"Whangarei Heads","McLeod Bay Hall, Stewart Rd",0,7,0,0,0,0,3,0,57,7,185,4,4,217,0,42,0,0,7,533,1
,"Polling places where less than 6 votes were taken",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,"Hospital Votes",0,2,0,0,1,0,0,0,5,8,137,0,2,112,0,42,1,0,4,314,12
,"Ordinary Votes BEFORE polling day",1,49,3,0,4,1,27,0,86,10,531,1,6,940,0,139,0,0,43,1841,3
,"Special Votes BEFORE polling day",0,4,1,0,0,0,1,0,18,6,93,0,5,142,0,39,0,0,2,311,2
,"Special Votes On polling day",0,38,1,6,2,0,25,0,125,20,753,6,24,786,0,163,0,2,46,1997,4
,"Overseas Special Votes including defence force",0,3,0,0,2,0,1,0,23,3,91,2,1,123,0,13,0,0,2,264,1
,"Special Votes Allowed for Party Only",0,4,0,3,0,0,1,0,14,4,178,2,20,66,0,18,0,0,9,319,1
,"Whangarei Total",4,707,19,81,46,23,240,4,1648,409,12884,39,264,15333,3,3217,4,6,637,35568,117
,,,,,,,,,,,,,,,,,,,,"Valid Party Votes plus Informal Party Votes",35685
"Electorate Party Valid Votes for Whangarei",,"National Party - .4310897436"
"99 MP Party",4,.0001124606
"ACT New Zealand",707,.0198774179
"Alliance",19,.000534188
"Aotearoa Legalise Cannabis Party",81,.0022773279
"Christian Heritage NZ",46,.0012932973
"Democrats for Social Credit",23,.0006466487
"Destiny New Zealand",240,.0067476383
"Direct Democracy Party",4,.0001124606
"Green Party",1648,.0463337832
"Jim Anderton's Progressive",409,.0114991003
"Labour Party",12884,.3622357175
"Libertarianz",39,.0010964912
"Mâori Party",264,.0074224022
"National Party",15333,.4310897436
"New Zealand Family Rights Protection Party",3,.0000843455
"New Zealand First Party",3217,.0904464687
"OneNZ Party",4,.0001124606
"The Republic of New Zealand Party",6,.000168691
"United Future New Zealand",637,.0179093567
