Party and Electorate Candidate Votes Recorded at each polling place
"Ikaroa-Rawhiti 63","Party Vote Details"
,,"99 MP Party","ACT New Zealand","Alliance","Aotearoa Legalise Cannabis Party","Christian Heritage NZ","Democrats for Social Credit","Destiny New Zealand","Direct Democracy Party","Green Party","Jim Anderton's Progressive","Labour Party","Libertarianz","Mâori Party","National Party","New Zealand Family Rights Protection Party","New Zealand First Party","OneNZ Party","The Republic of New Zealand Party","United Future New Zealand","Total Valid Party Votes","Informal Party Votes"
,East Coast
"Frasertown","Frasertown School, Russell Parade, Wairoa",0,0,0,0,0,0,0,0,0,0,38,0,18,2,0,1,0,0,0,59,1
"Gisborne","Awapuni School, 129 Awapuni Road",0,0,0,1,0,0,2,0,3,0,51,0,20,0,1,3,0,0,0,81,0
,"Central School, 7 Central Street",0,0,0,0,0,0,2,0,2,0,35,0,5,5,0,8,0,0,0,57,0
,"Church of Christ Hall, 39 Roebuck Road",0,0,0,0,0,0,1,0,3,0,55,0,23,0,0,4,0,0,1,87,0
,"Cobham School, Lytton Road",1,0,0,1,0,0,5,0,3,0,147,0,65,1,2,3,0,0,0,228,3
,"Elgin School, 2 Knox Street",0,2,0,1,0,0,7,0,4,0,114,0,31,2,0,8,0,0,1,170,3
,"Girls High School, 555 Gladstone Road",0,0,0,0,0,0,2,0,4,0,81,0,42,5,0,0,0,0,0,134,2
,"Gisborne District Council Chambers, Fitzherbert Street",1,0,0,0,0,0,5,0,12,1,86,0,39,7,1,6,0,0,1,159,3
,"Gisborne District Hospital, 421 Ormond Road",0,0,0,0,0,0,1,0,2,0,47,0,16,0,0,1,0,0,0,67,0
,"Ilminster Intermediate, De Lautour Road",0,0,0,1,0,0,18,0,8,0,216,0,91,9,0,13,0,0,0,356,6
,"Kaiti School, Wainui Road",0,0,0,1,0,0,17,0,14,1,313,0,147,4,1,21,0,0,1,520,5
,"Mangapapa Residents Hall, 350 Ormond Road",0,0,0,0,0,0,6,0,3,1,89,0,33,1,0,10,0,0,0,143,3
,"Mangapapa School, Rua Street",0,0,0,0,0,0,6,0,4,0,74,0,23,5,0,10,0,0,1,123,1
,"Riverdale School, 320 Stout Street",0,0,0,1,0,0,5,0,1,1,113,0,26,0,1,4,1,0,0,153,1
,"Rutene Road Kindergarten, 128 Rutene Road",0,0,0,0,0,0,3,0,1,1,35,0,16,0,0,3,0,0,0,59,3
,"St Marys School, Childers Road",1,0,0,1,1,0,6,0,1,2,81,0,31,1,0,9,0,0,0,134,0
,"Te Hapara School, 31 Mill Road",0,0,0,1,0,0,0,0,4,1,63,0,27,3,0,4,0,0,1,104,3
,"Waikirikiri School, 7 Pickering Street",0,0,0,1,1,0,4,0,7,2,191,0,78,1,0,3,0,0,0,288,6
"Hicks Bay","Te Kura O Kawakawa Mai Tawhiti, Wharf Road",0,0,0,0,0,0,1,0,3,0,48,0,29,0,0,0,0,0,0,81,1
"Kotemaori","Kotemaori School, State Highway 2, Wairoa",0,0,0,0,0,0,1,0,0,0,8,0,1,0,0,0,0,0,0,10,0
"Mahia","Mahia School, 457 Eastcoast Road",0,1,0,2,0,0,1,0,7,0,62,0,46,5,0,5,0,0,0,129,1
"Makaraka","Makaraka School, 137 Main Road South, Gisborne",0,0,0,0,0,0,2,0,0,0,40,0,8,2,0,8,0,0,0,60,2
"Makauri","Makauri School, 120 Kings Road, Gisborne",0,0,0,0,0,0,1,0,2,0,10,0,3,3,0,1,0,0,0,20,0
"Manutuke","Manutuke School, 59 Waingake Road",0,0,0,1,0,0,1,0,7,1,81,0,43,1,0,5,0,0,0,140,1
"Matawai","Matawai School, 29 Raumati Street",0,0,1,0,0,0,0,0,1,0,23,0,2,1,0,0,0,0,0,28,1
"Muriwai","Muriwai School, 1684 Wharerata Road, RD 2, Gisborne",0,0,0,0,0,0,0,0,3,1,33,0,27,0,0,3,0,0,0,67,2
"Nuhaka","Nuhaka School, Tamakahu St",0,0,0,0,0,0,4,0,0,0,45,0,50,4,0,8,0,0,0,111,5
"Ormond","Ormond School, 45 Whitmore Road",0,0,0,0,0,0,0,0,2,0,13,0,3,2,0,1,0,0,0,21,0
"Patutahi","Patutahi School, 29 Atkins Street",0,0,0,0,0,0,3,0,0,0,32,0,28,1,0,2,0,0,0,66,4
"Raupunga","Ngati-Pahauwera Society Clubrooms",0,0,0,0,1,0,1,0,0,0,31,0,43,3,0,3,0,0,0,82,1
"Rere","Rere School, Wharekopae Road",0,0,0,0,0,0,0,0,1,0,5,0,2,1,0,0,0,0,0,9,0
"Ruakituri","Ruatikuri School, 1607 Ruakituri Valley Road, RD 5, Wairoa",0,0,0,0,0,0,0,0,0,0,9,0,1,3,0,0,0,0,1,14,0
