Party and Electorate Candidate Votes Recorded at each polling place
"Tainui 64","Party Vote Details"
,,"99 MP Party","ACT New Zealand","Alliance","Aotearoa Legalise Cannabis Party","Christian Heritage NZ","Democrats for Social Credit","Destiny New Zealand","Direct Democracy Party","Green Party","Jim Anderton's Progressive","Labour Party","Libertarianz","Mâori Party","National Party","New Zealand Family Rights Protection Party","New Zealand First Party","OneNZ Party","The Republic of New Zealand Party","United Future New Zealand","Total Valid Party Votes","Informal Party Votes"
,Auckland Central
"Waiheke Island","Blackpool Lions Blackpool Hall, Nikau Road",0,0,0,0,0,0,0,0,0,0,15,0,9,0,0,1,0,0,0,25,0
,"Matiatia Oneroa Ratepayers - Morra Hall, 115 Ocean View Rd",0,0,0,0,0,0,0,0,3,0,11,0,6,1,0,1,0,0,0,22,0
,"Onetangi Residents Assn Hall, cnr Waiheke Rd & Third Ave",0,0,0,0,0,0,0,0,2,0,9,0,2,1,0,2,0,0,0,16,0
,"Ostend War Memorial Hall, cnr Belgium St & Ostend Rd",0,0,0,0,0,0,0,0,10,0,17,0,11,2,0,5,0,0,1,46,1
,"Palm Beach Hall, 64 Palm Road",0,0,0,0,0,0,0,0,2,0,3,0,2,1,0,0,0,0,0,8,0
,"Rocky Bay, Omiha Memorial Hall, 2 Glenbrooke Road",0,0,0,0,0,0,0,0,0,0,6,0,3,0,0,0,0,0,0,9,0
,"Te Huruhi School Hall, 7 Donald Bruce Road, Surfdale",0,0,0,0,0,0,0,0,0,0,9,0,4,0,0,0,0,0,1,14,0
,Clevedon
"Alfriston","Alfriston School, cnr Mill and Alfriston Roads",0,0,0,1,0,0,0,0,0,0,9,0,5,2,0,1,0,0,0,18,0
"Ardmore","Ardmore School, 599 Papakura-Clevedon Road",0,0,0,0,0,0,0,0,0,0,4,0,0,2,0,2,0,0,0,8,0
"Beachlands","Beachlands School, 18 Bell Road, disabled access from Wakelin Road",0,0,0,1,0,0,2,1,0,0,8,0,10,4,0,2,0,0,0,28,0
"Clevedon","Clevedon School, North Road",0,0,0,0,0,0,0,0,1,0,15,0,5,2,0,4,0,0,0,27,0
"Flat Bush","Old Flat Bush School Hall, cnr Murphy's Rd & Flat Bush School Rd",0,0,0,0,0,0,0,0,0,0,2,1,1,1,0,3,0,0,0,8,1
"Kawakawa Bay","Kawakawa Bay Public Hall, Kawakawa - Orere Road",0,0,0,0,0,0,0,0,0,0,10,0,3,0,0,1,0,0,0,14,1
"Maraetai","Maraetai Beach School, 154 Maraetai Drive",0,0,0,0,0,0,3,0,2,0,8,0,1,2,0,1,0,0,0,17,0
"Orere","Orere School, Orere Point Road",0,0,0,0,0,0,0,0,0,0,7,0,3,0,0,0,0,0,0,10,0
"Papakura","Cosgrove School, 10 Cosgrove Road",0,0,1,1,0,0,8,0,1,1,118,0,51,3,0,12,0,0,0,196,0
,"Kelvin Road School, 74-76 Kelvin Road",0,0,0,2,1,0,0,0,2,0,152,0,119,8,1,15,0,0,2,302,5
,"Nga Puawai o Wikitoria Te Kohanga Reo, 32 Old Wairoa Road",0,0,0,0,0,0,6,0,1,0,33,0,30,1,0,6,0,0,0,77,1
,"Opaheke School, 12A Tasman Drive",0,0,0,1,0,0,1,0,1,0,33,0,23,4,0,12,0,0,0,75,0
,"Papakura Central School, 23 Ray Small Drive",0,0,0,0,0,0,2,0,1,0,31,0,11,5,0,5,0,0,2,57,0
,"Papakura Christ Church Hall, 40 Coles Crescent",0,0,0,1,0,0,0,0,1,0,25,0,17,3,0,2,0,0,0,49,2
,"Papakura District Court, cnr Great South Road and Wood Street",0,0,0,1,0,0,0,0,1,0,60,0,29,1,0,4,0,0,0,96,2
,"Papakura High School, 11 Willis Road",1,0,1,2,0,0,5,0,9,1,66,0,48,4,0,14,0,0,2,153,10
,"Papakura Normal School, cnr Walters & Porchester Road",0,0,0,0,0,0,1,0,1,0,92,0,50,6,0,13,0,0,0,163,3
,"Papakura South School, 58 Beach Road",0,1,0,1,0,0,0,0,1,1,39,0,14,2,0,9,0,0,0,68,4
,"Redhill School, Redcrest Avenue",1,0,0,1,0,0,3,0,3,1,49,0,37,1,0,7,0,2,0,105,4
,"Rosehill Intermediate, 5 Jupiter Street",0,0,0,0,0,0,1,0,1,0,77,0,35,4,0,7,0,0,1,126,1
"Takanini","Conifer Grove School, Evanda Crescent, Hall entry from 70 Walter Strevens Drive",0,0,0,1,1,0,0,0,1,0,22,0,21,4,0,4,0,0,0,54,0
,"Takanini Church of Christ Hall, 160 Great South Road",0,0,0,2,0,0,3,0,2,1,40,0,24,2,0,5,0,0,0,79,5
,"Takanini School, 39 Takanini School Road",0,1,0,4,0,0,0,0,1,2,98,0,57,6,0,18,0,0,0,187,1
"Whitford","Whitford Hall, 35 Whitford- Maraetai Road",0,0,0,0,0,0,0,0,0,0,5,0,1,4,0,4,0,0,0,14,0
,Coromandel
"Coromandel","Coromandel Area School, Woollams Avenue",0,0,0,0,0,0,1,0,7,0,29,0,36,7,0,2,0,0,0,82,1
"Hikutaia","Hikutaia School, Main Road",0,0,0,0,0,0,0,0,1,0,4,0,1,0,0,4,0,0,0,10,0
"Kaihere","Kaihere School, State Highway 27",0,0,0,0,0,0,1,0,0,0,3,0,2,0,0,1,0,0,0,7,0
"Kennedy Bay","Te Kura Kaupapa Maori O Harataunga School, Kennedy Bay Road",0,0,0,1,0,0,0,0,1,1,13,0,23,3,0,0,0,0,0,42,1
"Kerepehi","Kerepehi School, McGowan Avenue",0,0,0,0,0,0,0,0,0,0,24,0,7,1,0,2,0,0,0,34,0
"Kopuarahi","Kopuarahi School, State Highway 25",0,0,0,0,0,0,2,0,0,0,5,0,0,0,0,1,0,0,0,8,0
"Manaia","Manaia School, Goldfields Road",0,0,0,0,1,0,2,0,1,0,22,0,25,0,0,4,0,0,0,55,1
"Netherton","Netherton School, 7 School Road",0,0,0,0,0,0,0,0,0,0,2,0,3,0,0,0,0,0,0,5,1
"Ngatea","Ngatea School, 52 Orchard Road",0,0,0,1,0,0,0,0,3,0,13,0,5,2,0,1,0,0,0,25,2
"Opoutere","Opoutere School, State Highway, Tawa Tawa",0,0,0,0,0,0,0,0,1,0,7,0,5,1,0,3,0,0,0,17,0
"Paeroa","Miller Ave School, Miller Ave",0,0,0,0,0,0,3,0,2,0,35,0,20,3,0,6,0,0,0,69,0
,"Paeroa Memorial Hall, Normanby Road",0,0,0,2,0,0,2,0,7,1,115,0,59,8,0,18,0,0,0,212,8
"Puriri","Puriri School, Puriri Valley Road",0,0,0,0,0,0,0,0,0,0,7,0,1,1,0,0,0,0,0,9,0
"Tairua","Tairua School, 110 Main Rd",0,0,0,0,0,0,0,0,2,0,15,0,4,0,0,1,0,0,0,22,0
"Tapu","Tapu School, State Highway 25",0,0,0,1,0,0,0,0,2,0,15,0,2,4,0,3,0,0,0,27,0
"Te Puru","Thames Coast Community Centre, 4 West Crescent",0,0,1,0,0,0,1,0,1,0,15,0,10,2,0,4,0,0,0,34,0
"Te Rerenga","Te Rerenga School, State Highway 25",0,0,0,0,0,0,1,0,1,0,5,0,2,0,0,0,0,0,0,9,0
"Thames","Moanataiari School, 101 Kuranui Street",0,0,0,1,0,0,0,0,1,0,14,0,1,2,0,1,0,0,0,20,0
