Party and Electorate Candidate Votes Recorded at each polling place
"Te Tai Tokerau 67","Party Vote Details"
,,"99 MP Party","ACT New Zealand","Alliance","Aotearoa Legalise Cannabis Party","Christian Heritage NZ","Democrats for Social Credit","Destiny New Zealand","Direct Democracy Party","Green Party","Jim Anderton's Progressive","Labour Party","Libertarianz","Mâori Party","National Party","New Zealand Family Rights Protection Party","New Zealand First Party","OneNZ Party","The Republic of New Zealand Party","United Future New Zealand","Total Valid Party Votes","Informal Party Votes"
,Auckland Central
"Great Barrier Island","G.B.I. Community Health Trust, 80 Hector Sanderson Road",0,0,0,0,0,0,1,0,0,0,7,0,6,0,0,0,0,0,0,14,0
,"Okiwi School",0,0,0,0,0,0,0,0,0,0,10,0,3,0,0,0,0,0,0,13,0
,"Port Fitzroy Aotea Center (Nurses Cottage)",0,0,0,0,0,0,0,0,0,0,3,0,1,0,0,2,0,0,0,6,0
,"Tryphena Mulberry Grove School",0,0,0,1,0,0,0,0,0,0,8,0,2,0,0,2,0,0,0,13,0
,East Coast Bays
"Browns Bay","Browns Bay Red Cross Centre, 5 Glencoe Close",0,0,0,0,0,0,0,0,0,0,6,0,5,3,0,4,0,0,0,18,0
,"Browns Bay School, Masterton Road",0,0,0,0,0,0,0,0,0,0,6,0,2,3,0,0,0,0,0,11,0
,"Browns Bay Senior Citizens Hall, 9 Inverness Road",0,0,0,0,0,0,0,0,1,0,12,0,4,3,0,5,0,0,0,25,0
,"Salvation Army Hall, 5 Bayview Road",0,0,0,0,0,0,0,0,0,0,3,0,2,5,0,1,0,0,1,12,0
"Glenfield","Bayview Primary School, 60 Bayview Road",1,0,0,0,0,0,0,0,0,1,22,0,12,2,0,6,0,0,0,44,1
,"Manuka Road Primary School, 34 Manuka Road",0,0,0,0,0,0,2,0,1,0,25,0,9,2,0,5,0,0,0,44,0
,"Meadowood Community House, 55 Meadowood Drive",0,0,0,0,0,0,0,0,1,0,15,0,6,4,0,6,0,0,0,32,1
,"Target Road Primary School, 80 Target Road",0,0,0,1,0,0,1,0,7,0,28,0,8,7,0,10,0,0,1,63,0
"Long Bay","Long Bay Baptist Church, 282 Glenvar Road",0,0,0,0,0,0,0,0,0,0,3,0,1,0,0,2,0,0,0,6,0
,"Long Bay College, Ashley Avenue",0,0,0,0,0,0,0,0,0,0,4,0,1,0,0,1,0,0,0,6,0
"Mairangi Bay","Rangitoto College, 564 East Coast Road",0,0,0,0,0,0,0,0,1,0,9,0,1,1,0,0,0,0,1,13,0
"Murrays Bay","Kwang Lim Methodist Church, 539 Beach Road",0,0,0,0,0,0,0,0,1,0,8,0,1,1,0,3,0,0,0,14,1
"Northcross","Sherwood Primary School, 40 Sartors Avenue",0,0,0,0,0,0,0,0,2,0,9,0,0,2,0,1,0,0,0,14,0
"Pinehill","Pinehill School, cnr Hugh Green Drive and Spencer Road",0,1,0,0,0,0,1,0,0,0,7,0,1,5,0,2,0,0,1,18,0
"Rosedale","Pinehurst School, 75 Bush Road",0,0,0,0,0,0,0,0,1,0,6,0,1,6,1,3,0,0,0,18,0
"Torbay","Glamorgan School, Glamorgan Drive",0,0,0,0,0,0,0,0,2,0,14,0,1,1,0,1,0,0,0,19,0
,"Senior Citizens Hall, Torbay Shopping Centre, 37 Watea Road",0,0,0,0,0,0,1,0,1,0,8,0,1,1,0,1,0,0,0,13,0
,"Torbay Primary School, Deep Creek Road",0,0,0,0,0,0,0,0,1,0,6,0,5,6,0,1,0,0,0,19,2
"Unsworth","Westminster Christian School, 31 Westminster Gardens (off Unsworth Drive)",0,0,0,1,0,0,0,0,0,0,2,0,2,1,0,1,0,0,0,7,0
,Helensville
"Albany","Albany Community Hall, 3/21 Library Lane",0,1,0,0,0,0,0,0,0,0,18,0,5,6,0,2,0,0,0,32,0
,"Albany School, 6 Bass Road",0,0,0,0,0,0,2,0,0,0,9,0,1,3,0,1,0,0,1,17,0
,"Massey University, Building 84, Gate 4, Old Albany Highway ",0,0,0,0,0,0,0,0,0,0,4,0,3,2,0,3,0,0,0,12,0
"Greenhithe","Greenhithe School, Isobel Road",0,1,0,0,0,0,0,0,3,0,10,0,3,3,0,1,0,0,0,21,0
,"St Michael's Church Hall, 12 Greenhithe Rd",0,0,0,0,0,0,0,0,1,0,6,0,1,2,0,1,0,0,0,11,0
"Haranui","Haranui Marae, Haranui Road, RD1 Helensville ",0,0,0,0,0,0,0,0,0,0,6,0,16,0,0,2,0,0,0,24,0
"Helensville","Helensville Primary School Hall, Rata Street",0,0,0,0,0,0,4,0,3,0,62,0,30,7,0,13,0,0,0,119,3
"Herald Island","Herald Island Community Hall, Herald Island Domain, Ferry Parade",0,0,0,0,0,0,0,0,0,0,5,0,1,1,0,1,0,0,0,8,0
"Hobsonville","Hobsonville Primary School, 104 Hobsonville Road",0,0,0,1,0,0,0,0,0,0,10,0,1,7,0,6,0,0,0,25,0
,"Hobsonville Public Hall, 397 Hobsonville Road",0,1,0,0,0,0,0,0,0,0,17,0,5,6,0,6,0,2,0,37,0
"Huapai","Huapai District School Hall, 40 Station Road",0,1,0,0,0,0,0,0,1,1,11,0,1,8,0,1,0,0,0,24,1
"Kaukapakapa","Kaukapakapa School Hall, 977 Kaipara Coast Highway",0,0,0,1,0,0,2,0,1,0,14,0,20,5,0,4,0,0,0,47,0
"Kumeu","Kumeu Baptist Youth Hall, Access Road",0,0,0,0,0,0,0,0,0,0,17,0,5,6,0,8,0,0,0,36,1
"Massey","Colwill School, Kintara Drive",0,0,0,1,0,0,1,0,2,1,33,0,19,2,0,2,0,0,0,61,1
,"Royal Road School, 112 Royal Road",0,0,1,0,0,0,4,0,5,1,92,0,55,5,0,10,0,0,0,173,1
"Massey East","West Harbour Alliance Church, 145 Moire Road",0,0,0,0,0,0,1,0,2,0,20,0,13,6,0,6,1,0,1,50,0
"Muriwai","Muriwai Fire Station, cnr Coast and Motutara Roads",0,0,0,0,0,0,0,0,1,0,11,0,2,1,0,1,0,0,0,16,0
"Parakai","Parakai School, 10 Fordyce Road",0,0,0,0,1,0,1,0,2,0,26,0,15,4,0,1,0,0,1,51,1
