Party and Electorate Candidate Votes Recorded at each polling place
"Te Tai Tonga 68","Party Vote Details"
,,"99 MP Party","ACT New Zealand","Alliance","Aotearoa Legalise Cannabis Party","Christian Heritage NZ","Democrats for Social Credit","Destiny New Zealand","Direct Democracy Party","Green Party","Jim Anderton's Progressive","Labour Party","Libertarianz","Mâori Party","National Party","New Zealand Family Rights Protection Party","New Zealand First Party","OneNZ Party","The Republic of New Zealand Party","United Future New Zealand","Total Valid Party Votes","Informal Party Votes"
,Aoraki
"Arowhenua","Arowhenua Maori School, Huirapa Street",0,0,0,0,0,0,0,0,3,0,23,0,11,2,0,5,0,0,0,44,1
"Fairlie","Fairlie Primary School",0,0,0,0,0,0,0,0,0,1,2,0,0,3,0,0,0,0,2,8,0
"Geraldine","Geraldine High School",0,0,0,0,0,0,0,0,2,0,3,0,1,1,0,0,0,0,0,7,0
,"Primary School, Wilson Street",0,0,0,0,0,0,0,0,0,0,3,0,2,0,0,3,0,0,0,8,0
"Glenavy","Glenavy School",0,0,0,0,0,0,0,0,0,0,4,0,0,3,0,2,0,0,1,10,0
"Lake Tekapo","Lake Tekapo School",0,0,0,0,0,0,0,0,0,0,5,0,1,2,0,0,0,0,0,8,0
"Morven","Morven School",0,0,0,1,0,0,0,0,2,0,7,0,1,1,0,3,0,0,0,15,0
"Omarama","Omarama School",0,0,0,0,0,0,0,0,1,1,2,0,2,2,0,1,0,0,0,9,0
"Pareora East","Timaru South School, Paeroa Campus",0,0,0,0,0,0,0,0,0,1,3,0,0,0,0,1,0,0,0,5,1
"Pleasant Point","Pleasant Point Hall, Halstead Rd",0,0,0,1,0,0,0,0,1,0,1,0,0,6,0,0,0,0,1,10,0
"Temuka","Opihi College, 83 Richard Pearse Drive",0,0,0,0,0,0,0,0,1,0,4,0,1,1,0,2,0,0,0,9,0
,"Presbyterian Church Complex, Hally Terrace",0,0,0,0,0,0,0,0,0,2,8,0,2,0,0,1,0,0,0,13,0
,"Primary School, 9 Hayhurst Street",0,0,0,1,0,0,0,0,0,0,13,0,2,0,0,2,0,0,0,18,0
,"St John Ambulance Hall, King Street",0,0,0,0,0,1,0,0,3,0,6,0,4,1,0,0,0,0,0,15,0
"Timaru","Aoraki International College, Grey Road",0,0,0,1,0,0,0,0,0,0,7,0,2,0,0,0,0,0,0,10,1
,"Bluestone School, Raymond Street",0,1,0,0,0,0,0,0,2,0,8,0,2,0,0,2,0,0,1,16,1
,"Caroline Bay Community Lounge",0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,2,0,0,0,9,0
,"Courthouse, 12 North Street",0,0,0,0,0,0,0,0,0,0,7,0,2,2,0,1,0,0,0,12,0
,"Gleniti School, 22 Heath Street",0,0,0,0,0,0,0,0,0,0,4,0,0,2,0,0,0,0,0,6,0
,"Grantlea Downs School, 65 Grants Road",0,0,0,0,0,0,0,0,2,0,17,0,1,1,0,2,0,0,0,23,0
,"Highfield School, Rimu Street",0,0,0,0,0,0,0,0,0,0,10,0,0,1,0,4,0,0,0,15,0
,"Kensington-Otipua Parish Hall, 11 Otipua Road",0,0,0,1,0,0,0,0,0,0,4,0,0,2,0,0,0,0,0,7,0
,"Methodist Church Hall, 4 Woodlands Road",0,0,0,1,0,0,1,0,0,0,9,0,4,1,0,4,0,0,0,20,0
,"Oceanview Heights School, Selwyn Street",0,0,0,1,0,0,0,0,1,0,6,0,2,3,0,0,0,0,0,13,0
,"South School, 44 Queen Street",0,0,0,0,0,0,1,0,0,0,15,0,1,0,0,2,0,0,0,19,0
,"St John's Church Hall, Wai-iti Road",0,0,0,0,0,0,0,0,0,0,6,0,2,0,0,0,0,0,0,8,0
,"St Josephs School, 50 Kelvin Street",0,0,0,1,0,0,0,0,1,0,1,0,1,0,0,2,0,0,0,6,0
,"St Mary's Church Hall, 24 Church Street",0,0,0,0,0,0,0,0,2,0,4,0,0,1,0,1,0,0,0,8,2
,"St Stephen's Church Hall, 349 Wai-iti Road",0,1,0,0,0,0,0,0,1,0,5,0,1,3,0,0,0,0,0,11,0
,"Trinity Church Hall, College Road",0,0,0,0,0,0,1,0,0,0,7,0,1,1,0,0,0,0,0,10,0
,"Trinity West, Presbyterian Church Hall, Church Street",0,0,0,1,0,0,0,0,0,0,9,0,1,2,0,0,0,0,0,13,0
,"Waimataitai Kindergarten, 69 Evans Street",0,0,0,0,0,0,0,0,1,0,2,0,0,2,0,2,0,0,0,7,0
,"Waimataitai School Library, Trafalgar Street",0,1,0,1,0,1,0,0,2,1,12,0,2,4,0,1,0,0,0,25,0
"Twizel","Twizel Area School",0,0,0,0,0,0,0,0,3,0,12,0,2,1,0,1,0,0,0,19,0
"Waimate","Main School Hall, John Street",0,0,0,0,0,0,0,0,2,1,3,0,0,0,0,0,0,0,0,6,0
,Banks Peninsula
"Banks Peninsula","Akaroa Gaiety Hall, Rue Jolie",0,0,0,0,0,0,0,0,5,0,12,0,2,1,0,0,0,0,0,20,0
,"NZ Post Agency, Main Road, Little River",0,0,0,0,0,0,0,0,5,0,5,0,1,2,0,0,0,0,0,13,0
"Beckenham","Thorrington School Hall, Colombo Street South",0,0,0,2,0,0,0,0,3,0,7,0,2,1,0,1,0,0,2,18,0
"Cashmere","Cashmere Primary School, 135 Hackthorne Road",0,0,0,0,0,0,0,0,1,0,4,0,0,3,0,0,0,0,0,8,0
,"Landsdowne Community Centre, Landsdowne Terrace",0,0,0,1,0,0,0,0,0,0,4,0,1,0,0,1,0,0,0,7,0
,"Princess Margaret Hospital Day Hospital, Cashmere Road",0,0,0,0,0,0,0,0,0,0,3,0,0,2,0,2,0,0,1,8,0
"Cass Bay","Navy League, TS Steadfast, Governors Bay Road",0,0,0,0,0,0,0,0,2,1,9,0,4,0,0,1,0,0,0,17,0
"Diamond Harbour","Diamond Harbour Community Centre, Waipapa Ave",0,0,0,0,0,0,0,0,2,0,5,0,1,0,0,0,0,0,0,8,0
