Party and Electorate Candidate Votes Recorded at each polling place
"Clevedon 7","Party Vote Details"
,,"99 MP Party","ACT New Zealand","Alliance","Aotearoa Legalise Cannabis Party","Christian Heritage NZ","Democrats for Social Credit","Destiny New Zealand","Direct Democracy Party","Green Party","Jim Anderton's Progressive","Labour Party","Libertarianz","Mâori Party","National Party","New Zealand Family Rights Protection Party","New Zealand First Party","OneNZ Party","The Republic of New Zealand Party","United Future New Zealand","Total Valid Party Votes","Informal Party Votes"
"Alfriston","Alfriston School, cnr Mill and Alfriston Roads",0,29,1,0,1,0,4,0,23,11,223,1,7,609,1,39,0,0,32,981,1
"Ardmore","Ardmore School, 599 Papakura-Clevedon Road",1,26,0,1,0,1,2,0,18,5,95,0,2,371,0,43,0,0,11,576,2
"Beachlands","Beachlands School, 18 Bell Road, disabled access from Wakelin Road",0,14,1,3,1,0,0,3,62,13,354,1,0,744,0,125,0,0,33,1354,6
"Botany Downs","Holy Word Church of Auckland, 10 Dana Place",0,17,0,0,0,0,0,1,8,2,66,0,0,185,0,9,0,0,5,293,2
,"St Columba, 480 Ti Rakau Drive",0,14,0,0,0,0,2,0,7,1,58,2,1,191,0,12,0,0,7,295,1
"Brookby","Brookby School, cnr Brookby Road & West Road",0,7,0,0,0,0,2,0,9,0,37,2,0,158,0,14,0,0,3,232,1
"Clevedon","Clevedon School, North Road",0,36,1,2,2,0,8,1,44,2,177,0,2,696,1,52,0,0,17,1041,3
"Drury","Drury School, Youngs Crescent",0,4,0,0,0,0,0,0,11,1,88,0,0,217,0,21,0,0,8,350,1
"East Tamaki Heights","Point View School, 25 Kilkenny Drive",1,103,2,0,1,1,19,2,37,24,526,1,2,1569,0,77,0,0,55,2420,6
,"Willowbank School, cnr Middlefield & Gracechurch Drs",0,79,0,2,1,0,1,0,15,5,379,0,2,931,0,49,0,0,22,1486,0
"Flat Bush","Baverstock Oaks School, 21 Baverstock Road",0,29,0,0,0,0,3,0,13,4,274,0,1,397,0,19,0,0,12,752,2
,"Old Flat Bush School Hall, cnr Murphy's Rd & Flat Bush School Rd",0,13,0,0,1,0,9,0,9,1,157,1,0,330,0,26,0,0,9,556,1
"Howick","Cockle Bay School, Sandspit Road",0,21,0,3,1,0,3,0,25,4,252,0,1,636,0,49,0,0,17,1012,4
,"Meadowlands Methodist Community Church, 128 Whitford Road",0,53,0,1,0,0,7,1,15,8,250,0,2,707,0,66,0,0,30,1140,5
,"Our Lady Star of the Sea School, 14 Oakridge Way",0,9,0,0,1,0,2,0,2,0,52,0,0,137,0,5,0,0,1,209,0
,"Shelly Park School, Sunnyview Avenue",0,25,0,0,2,0,1,0,28,9,224,0,1,581,0,44,0,0,23,938,2
"Kawakawa Bay","Kawakawa Bay Public Hall, Kawakawa - Orere Road",0,3,0,0,0,0,0,0,15,3,112,0,2,164,1,26,0,0,7,333,0
"Manurewa","Elmwood Home and Hospital, 131 Hill Road",0,2,0,0,0,0,2,0,3,5,66,0,0,140,0,9,0,0,7,234,0
,"The Gardens School, 101 Charles Prevost Drive",0,30,0,0,2,1,4,0,17,16,321,0,2,603,0,51,0,0,33,1080,1
"Maraetai","Maraetai Beach School, 154 Maraetai Drive",0,11,0,0,1,0,8,0,34,8,248,1,3,512,1,73,0,0,17,917,3
"Orere","Orere School, Orere Point Road",0,3,0,2,1,0,1,0,9,5,87,0,3,72,1,19,0,0,1,204,0
"Papakura","Cosgrove School, 10 Cosgrove Road",0,32,0,1,3,0,12,1,33,23,641,0,13,467,0,145,0,1,29,1401,7
,"Kelvin Road School, 74-76 Kelvin Road",0,7,1,3,1,0,4,1,14,20,388,0,21,184,0,71,0,0,16,731,8
,"Nga Puawai o Wikitoria Te Kohanga Reo, 32 Old Wairoa Road",0,2,0,2,0,0,10,1,7,3,133,0,4,106,0,31,0,0,9,308,1
,"Opaheke School, 12A Tasman Drive",1,15,0,4,3,0,3,0,40,3,414,1,6,600,1,83,0,0,26,1200,4
,"Papakura Central School, 23 Ray Small Drive",0,26,0,4,1,0,5,0,23,18,496,0,4,704,2,155,0,0,43,1481,5
,"Papakura Christ Church Hall, 40 Coles Crescent",0,11,1,0,2,0,2,0,19,9,299,0,2,324,1,77,0,0,22,769,9
,"Papakura District Court, cnr Great South Road and Wood Street",0,14,1,0,0,2,1,0,23,16,340,0,11,300,0,88,0,0,17,813,8
,"Papakura High School, 11 Willis Road",0,12,0,1,0,0,4,0,13,7,505,1,5,314,1,104,0,0,16,983,9
,"Papakura Normal School, cnr Walters & Porchester Road",1,17,0,1,1,0,7,3,13,11,392,0,6,382,2,65,0,1,14,916,3
,"Papakura South School, 58 Beach Road",0,9,0,0,2,0,9,0,20,7,206,0,6,277,0,38,1,0,12,587,4
,"Redhill School, Redcrest Avenue",0,10,0,5,0,0,4,1,17,12,247,0,5,255,0,71,0,1,14,642,3
,"Rosehill Intermediate, 5 Jupiter Street",0,8,0,6,1,0,9,0,24,9,348,0,4,209,0,64,0,0,22,704,5
"Takanini","Conifer Grove School, Evanda Crescent, Hall entry from 70 Walter Strevens Drive",0,34,1,1,3,0,8,0,47,17,511,0,7,978,0,100,2,0,40,1749,3
,"Takanini Church of Christ Hall, 160 Great South Road",0,15,1,2,0,1,2,0,6,13,210,0,5,166,2,46,0,0,10,479,2
,"Takanini School, 39 Takanini School Road",0,11,0,6,2,0,6,0,20,9,349,0,8,233,1,63,0,0,16,724,5
"Whitford","Whitford Hall, 35 Whitford- Maraetai Road",0,23,0,2,0,0,2,0,26,7,152,0,2,682,0,46,1,0,14,957,0
,"Polling places where less than 6 votes were taken",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,"Hospital Votes",0,1,0,0,0,0,2,0,6,1,123,0,0,167,0,46,0,0,4,350,5
,"Ordinary Votes BEFORE polling day",0,43,0,2,3,0,12,0,40,12,507,0,2,970,1,167,0,0,59,1818,5
,"Special Votes BEFORE polling day",0,29,0,2,5,0,7,0,17,7,245,2,1,571,0,57,0,0,19,962,2
,"Special Votes On polling day",1,44,0,7,4,1,27,0,74,40,995,3,31,1306,1,142,0,0,46,2722,8
,"Overseas Special Votes including defence force",0,8,1,1,1,0,0,0,22,1,97,0,2,252,0,21,0,0,9,415,0
,"Special Votes Allowed for Party Only",0,4,0,4,1,0,4,1,16,9,222,0,23,130,0,15,0,0,1,430,3
,"Clevedon Total",5,903,11,68,48,7,218,16,924,381,11866,16,199,19527,17,2523,4,3,808,37544,140
,,,,,,,,,,,,,,,,,,,,"Valid Party Votes plus Informal Party Votes",37684
"Electorate Party Valid Votes for Clevedon",,"National Party - .5201097379"
"99 MP Party",5,.0001331771
"ACT New Zealand",903,.0240517792
"Alliance",11,.0002929896
"Aotearoa Legalise Cannabis Party",68,.0018112082
"Christian Heritage NZ",48,.0012784999
"Democrats for Social Credit",7,.0001864479
"Destiny New Zealand",218,.0058065203
"Direct Democracy Party",16,.0004261666
"Green Party",924,.0246111229
"Jim Anderton's Progressive",381,.0101480929
"Labour Party",11866,.3160558278
"Libertarianz",16,.0004261666
"Mâori Party",199,.0053004475
"National Party",19527,.5201097379
"New Zealand Family Rights Protection Party",17,.000452802
"New Zealand First Party",2523,.0672011506
"OneNZ Party",4,.0001065417
"The Republic of New Zealand Party",3,.0000799062
"United Future New Zealand",808,.0215214149
