Party and Electorate Candidate Votes Recorded at each polling place
"Auckland Central 1","Party Vote Details"
,,"ACT New Zealand","Alliance","Aotearoa Legalise Cannabis Party","Democrats for Social Credit","Family Party","Green Party","Jim Anderton's Progressive","Kiwi Party","Labour Party","Libertarianz","Maori Party","National Party","New Zealand First Party","New Zealand Pacific Party","RAM - Residents Action Movement","The Bill and Ben Party","The Republic of New Zealand Party","United Future","Workers Party","Total Valid Party Votes","Informal Party Votes"
"Auckland City","Auckland High Court, Waterloo Quadrant (corner Parliament Street)",86,0,7,0,8,300,10,8,619,0,18,875,28,1,1,5,1,16,0,1983,3
,"Liston House, 30-32 Hobson Street",62,0,6,0,4,86,2,4,314,0,6,527,18,1,0,2,0,6,0,1038,2
,"Methodist Church Hall, 78 Pitt Street",41,1,6,2,2,161,9,2,435,1,9,342,20,0,0,3,0,12,0,1046,5
,"Open Polytechnic NZ, 120 Mayoral Drive",32,0,3,2,1,70,4,0,262,2,1,298,8,0,3,7,0,5,2,700,1
"Freemans Bay","Freemans Bay School, 95 Wellington Street",67,1,6,0,0,216,3,1,510,1,10,599,41,2,0,4,0,10,1,1472,8
"Grafton","Auckland City Hospital, Park Road",1,0,1,0,0,14,0,0,49,0,0,58,1,0,0,0,0,1,0,125,0
,"St David's Presbyterian Church Hall, 70 Khyber Pass Road",10,0,0,0,0,36,0,1,96,0,2,127,1,0,0,0,0,1,0,274,0
"Great Barrier Island","G.B.I. Community Health Centre, 80 Hector Sanderson Road, Claris",8,0,0,0,1,21,2,2,49,0,1,56,10,0,0,0,0,1,0,151,1
,"Okiwi School, Aotea Road",1,0,0,0,0,8,0,0,4,0,0,11,2,0,0,0,0,0,0,26,0
,"Port Fitzroy Aotea Centre (Nurses Cottage)",2,0,0,0,0,7,0,1,7,0,1,14,0,0,0,0,0,0,0,32,0
,"Tryphena Mulberry Grove School, Shoal Bay Road",4,0,2,0,0,32,0,1,51,1,0,51,13,0,1,0,0,0,0,156,0
"Grey Lynn","Grey Lynn Community Centre, 510 Richmond Road",44,0,4,0,4,318,13,0,541,0,11,445,29,6,0,7,0,7,0,1429,2
,"Grey Lynn Library Hall, 474 Great North Road",34,0,3,0,0,225,10,1,582,0,13,274,28,17,0,3,0,7,0,1197,2
