Party and Electorate Candidate Votes Recorded at each polling place
"Epsom 12","Party Vote Details"
,,"ACT New Zealand","Alliance","Aotearoa Legalise Cannabis Party","Democrats for Social Credit","Family Party","Green Party","Jim Anderton's Progressive","Kiwi Party","Labour Party","Libertarianz","Maori Party","National Party","New Zealand First Party","New Zealand Pacific Party","RAM - Residents Action Movement","The Bill and Ben Party","The Republic of New Zealand Party","United Future","Workers Party","Total Valid Party Votes","Informal Party Votes"
"Auckland City","Auckland High Court, Waterloo Quadrant (corner Parliament Street)",15,0,3,0,0,33,0,0,47,0,2,76,0,0,1,2,0,2,0,181,0
,"Open Polytechnic NZ, 120 Mayoral Drive",1,0,1,0,0,3,0,0,10,0,0,12,0,0,0,0,0,0,0,27,0
"Balmoral","Balmoral Scout Group, 1a Waitomo Avenue (in Pollard Park)",0,0,1,0,0,0,0,1,4,0,0,7,0,0,0,0,0,0,0,13,0
"Epsom","Auckland Grammar School, 85 Mountain Road",82,0,5,0,6,105,5,1,292,3,2,832,14,0,4,4,0,10,1,1366,1
,"Epsom Girls Grammar School, 14 Silver Road",64,0,4,0,6,82,6,2,417,0,11,899,22,1,1,5,0,12,0,1532,4
,"Epsom Methodist Church Hall, 12 Pah Road",34,0,0,1,0,31,2,2,177,0,4,414,20,0,1,1,0,4,0,691,1
,"Epsom Normal School, 41 The Drive",95,0,0,0,5,70,3,9,366,0,5,1031,27,1,2,7,0,8,0,1629,4
,"Sacred Heart Parish Hall, 19 Banff Avenue",57,0,0,0,1,36,4,1,154,3,1,614,14,0,1,4,0,7,0,897,1
,"St Andrew's Anglican Church Hall, 100 St Andrew's Road",107,0,3,0,2,72,2,1,267,0,5,888,16,1,3,5,1,8,0,1381,3
,"St George's Church Hall, 19 Ranfurly Road",67,0,2,0,4,67,8,9,240,0,8,764,30,0,0,3,0,10,0,1212,4
"Grafton","Auckland City Hospital, Park Road",14,0,0,0,0,39,0,0,85,0,1,136,3,0,0,2,0,6,0,286,0
,"St David's Presbyterian Church Hall, 70 Khyber Pass Road",16,0,1,0,2,58,7,0,129,0,10,222,5,1,0,0,0,3,0,454,5
"Greenlane","Cornwall Park District School, Greenlane West & Wheturangi Roads",58,2,2,0,2,43,8,3,172,0,2,574,18,1,0,1,0,5,1,892,1
"Kingsland","Kowhai Intermediate School Hall, 26 Onslow Road",4,0,0,0,0,24,0,0,34,0,1,20,2,0,0,1,0,0,0,86,0
"Meadowbank","Meadowbank Primary School, 68 Waiatarua Road",4,0,0,0,0,7,1,0,23,0,0,113,1,0,0,0,0,3,0,152,0
"Mechanics Bay","Auckland Marine Rescue Centre, 3 Solent Street",1,0,0,0,0,1,0,0,5,0,2,16,0,0,0,0,0,0,0,25,0
"Mt Eden","Auckland Normal Intermediate, Poronui Street",58,0,0,0,0,74,0,0,183,0,2,370,5,0,0,3,0,3,1,699,1
,"Auckland Provincial Guide Centre, 132 Grange Road",26,0,3,0,2,48,3,0,176,0,5,269,14,1,0,1,0,5,1,554,2
