Party and Electorate Candidate Votes Recorded at each polling place
"Hamilton West 14","Party Vote Details"
,,"ACT New Zealand","Alliance","Aotearoa Legalise Cannabis Party","Democrats for Social Credit","Family Party","Green Party","Jim Anderton's Progressive","Kiwi Party","Labour Party","Libertarianz","Maori Party","National Party","New Zealand First Party","New Zealand Pacific Party","RAM - Residents Action Movement","The Bill and Ben Party","The Republic of New Zealand Party","United Future","Workers Party","Total Valid Party Votes","Informal Party Votes"
"Cambridge","Cambridge Primary School, Wilson Street",2,0,0,0,1,0,0,0,0,0,0,5,0,0,0,0,0,0,0,8,1
"Chartwell","Hukanui School, corner Hukanui Road & Pickering Crescent",5,0,0,0,2,2,0,0,16,0,0,21,1,0,0,0,0,0,0,47,0
,"St Albans Church Hall, corner Comries Road & Belmont Avenue",0,0,0,0,0,3,0,0,13,0,1,15,1,0,0,0,0,0,1,34,0
"Claudelands","St Aidans Parish Hall, 24 Thames Street",1,0,0,0,0,8,0,0,16,1,0,20,2,0,0,0,0,0,0,48,0
"Deanwell","Deanwell School, Deanwell Avenue",34,0,4,1,4,42,6,12,471,0,10,373,49,1,0,12,0,15,1,1035,7
"Dinsdale","Aberdeen School, Aberdeen Drive",80,1,10,0,4,75,17,12,683,2,16,1124,82,1,0,9,0,19,1,2136,10
,"St Clare's Co-operating Parish Hall, 97 Tuhikaramea Road",27,0,3,3,2,37,12,3,215,0,3,291,35,1,0,4,0,7,0,643,0
"Forest Lake","Forest Lake School, Storey Avenue",42,0,2,1,5,72,7,2,420,2,9,583,39,0,1,7,0,8,1,1201,5
"Frankton","Frankton School Hall, Massey Street",53,1,4,1,8,100,7,17,721,1,26,686,111,2,1,14,0,17,0,1770,10
,"Rhode Street School, 7 Rhode Street",19,1,3,0,2,38,2,7,302,1,8,201,47,1,0,4,0,2,0,638,5
,"St Columba Parish Hall, Rifle Range Road",25,0,5,1,5,37,4,8,240,2,8,307,35,0,0,4,0,12,0,693,7
,"Westside Presbyterian Church Hall, 11 King Street",21,0,1,1,4,30,2,1,216,0,10,228,29,1,0,3,0,11,0,558,5
"Glenview","Glenview Primary School, Bruce Avenue",40,0,5,0,4,78,4,8,487,1,6,646,54,0,0,6,1,34,0,1374,4
"Hamilton East","Hamilton East Primary School, Dawson Street",0,0,1,0,0,11,0,1,11,0,0,14,0,0,0,1,0,0,0,39,1
,"Knox Presbyterian Hall, 50 Albert Street",4,0,0,0,0,4,0,0,12,0,0,14,1,0,0,1,0,1,0,37,0
,"Marian Catholic School, corner Firth & Clyde Streets",4,0,1,0,0,4,1,2,22,0,2,16,0,0,0,2,0,1,0,55,0
"Hamilton West","Hamilton West School, 36 Hammond Street",74,0,6,2,7,115,11,7,515,0,7,735,34,2,0,13,0,11,0,1539,7
,"Waikato Hospital, Pembroke Street, Level B5, main entrance foyer",7,1,0,0,1,20,3,3,104,0,3,122,4,0,0,1,0,0,1,270,0
"Hillcrest","Hillcrest Normal School, 218 Cambridge Road",1,0,2,0,1,4,0,0,18,0,0,17,1,0,0,1,0,0,0,45,1
,"Knighton Normal School, Knighton Road",1,0,0,0,1,5,0,0,12,0,0,12,1,0,0,0,0,0,0,32,0
"Koromatua","Koromatua School, 355 Koromatua Road",1,0,0,0,0,0,0,0,10,0,5,34,0,0,0,0,0,5,0,55,0
"Maeroa","Maeroa Intermediate School, 57 Churchill Avenue",33,0,4,1,2,49,7,9,311,0,10,301,28,1,0,13,0,13,1,783,1
"Melville","Melville Intermediate, 29 Mountview Road",19,0,3,0,0,21,5,4,220,1,3,234,16,0,0,5,0,2,0,533,5
,"Melville Methodist Church Hall, corner Bader Street & Normandy Avenue",34,1,4,1,4,66,6,10,465,1,10,399,55,3,0,12,0,16,1,1088,6
,"Melville Primary School, 101 Ohaupo Road",26,0,6,0,3,45,5,6,367,1,5,313,42,2,0,11,0,10,0,842,9
"Nawton","Crawshaw School, Crawshaw Drive",5,0,3,0,1,19,3,4,224,2,2,93,14,3,0,1,0,2,1,377,5
,"Hamilton's Fraser High School, 72 Ellicott Road",18,1,2,2,1,26,5,5,239,0,6,293,16,0,0,9,0,8,0,631,2
,"Nawton School, 58 Livingstone Avenue",40,0,5,1,5,34,4,4,552,0,13,437,65,0,0,11,0,5,0,1176,13
,"St Marks Hall, corner Dominion Road & Breckons Avenue",39,2,7,0,10,46,10,12,590,0,20,496,57,2,0,9,0,11,0,1311,9
"Pukete","Pukete School, 100 Pukete Road",62,0,4,1,2,70,7,3,368,5,5,631,34,0,0,12,0,13,1,1218,7
,"Te Rapa Primary School, 61 Ashurst Avenue",59,0,3,1,4,42,7,4,229,4,8,365,24,0,0,6,0,9,0,765,1
"Raglan","Raglan Town Hall, 41 Bow Street",1,0,0,0,0,5,0,1,16,0,1,10,1,0,0,0,0,0,0,35,0
"Rotokauri","Rotokauri School, 462 Rotokauri Road",37,0,1,0,1,15,1,2,85,0,3,388,14,0,0,1,0,8,0,556,1
"Rukuhia","Rukuhia School Hall, Rukuhia Road",4,0,0,0,0,3,0,0,5,0,0,28,0,0,0,1,0,0,0,41,0
"St Andrews","All Saints Hall, corner Cecil Street & Sandwich Road",53,0,6,1,5,41,9,4,350,2,6,729,48,0,0,3,0,15,0,1272,5
,"St Andrews Middle School, 90 Heath Street",22,0,2,1,4,29,3,3,245,0,7,357,39,1,0,2,0,11,0,726,3
,"Vardon School, 36 Cunningham Road",37,1,5,0,1,53,4,1,299,0,3,617,37,0,0,7,0,4,0,1069,7
"Te Kowhai","Te Kowhai School, 605 Horotiu Road",58,1,1,0,0,23,2,1,101,0,2,449,35,0,0,4,0,6,0,683,5
"Templeview","Church College of New Zealand (reception foyer), 435 Tuhikaramea Road",11,0,0,1,6,7,3,3,103,0,18,149,46,0,0,3,0,20,1,371,0
"Whatawhata","Whatawhata School, 9 Kura Street ",20,0,1,1,0,11,1,2,71,0,4,225,17,0,0,1,0,5,0,359,1
"Whitiora","Whitiora School, 38 Willoughby Street",34,0,3,1,4,32,5,3,271,0,8,356,26,0,0,8,1,10,0,762,3
,"Polling places where less than 6 votes were taken",0,0,0,0,0,0,0,0,3,0,1,3,0,0,0,0,0,0,0,7,0
,"Hospital Votes",1,0,0,0,0,6,0,1,95,0,0,101,21,0,0,2,0,2,2,231,14
,"Ordinary Votes BEFORE polling day",114,2,11,1,4,177,11,21,1026,1,37,1627,178,7,0,13,0,28,2,3260,11
,"Special Votes BEFORE polling day",10,0,3,0,1,11,3,1,137,2,3,142,13,3,0,2,0,2,2,335,2
,"Special Votes On polling day",68,0,18,2,7,144,10,6,842,2,28,1009,72,1,0,36,1,21,1,2268,10
,"Overseas Special Votes including defence force",11,0,0,0,0,33,0,2,94,0,0,179,5,0,0,0,0,8,0,332,3
,"Votes Allowed for Party Only",6,0,11,0,4,26,2,1,236,0,43,146,20,0,0,10,1,6,0,512,2
,"Hamilton West Total",1263,12,150,25,120,1719,189,196,12048,31,360,15541,1449,32,2,264,4,378,17,33800,188
,,,,,,,,,,,,,,,,,,,,"Valid Party Votes plus Informal Party Votes",33988
"Electorate Party Valid Votes for Hamilton West",,"National Party - .4597928994"
"ACT New Zealand",1263,.0373668639
"Alliance",12,.0003550296
"Aotearoa Legalise Cannabis Party",150,.0044378698
"Democrats for Social Credit",25,.000739645
"Family Party",120,.0035502959
"Green Party",1719,.0508579882
"Jim Anderton's Progressive",189,.005591716
"Kiwi Party",196,.0057988166
"Labour Party",12048,.3564497041
"Libertarianz",31,.0009171598
"Maori Party",360,.0106508876
"National Party",15541,.4597928994
"New Zealand First Party",1449,.0428698225
"New Zealand Pacific Party",32,.0009467456
"RAM - Residents Action Movement",2,.0000591716
"The Bill and Ben Party",264,.0078106509
"The Republic of New Zealand Party",4,.0001183432
"United Future",378,.011183432
"Workers Party",17,.0005029586
