Party and Electorate Candidate Votes Recorded at each polling place
"Ilam 18","Party Vote Details"
,,"ACT New Zealand","Alliance","Aotearoa Legalise Cannabis Party","Democrats for Social Credit","Family Party","Green Party","Jim Anderton's Progressive","Kiwi Party","Labour Party","Libertarianz","Maori Party","National Party","New Zealand First Party","New Zealand Pacific Party","RAM - Residents Action Movement","The Bill and Ben Party","The Republic of New Zealand Party","United Future","Workers Party","Total Valid Party Votes","Informal Party Votes"
"Avonhead","Avonhead Kindergarten, 49 Staveley Street",27,4,1,0,0,60,10,5,213,0,4,334,26,0,0,4,0,11,0,699,3
,"Avonhead Primary School Hall, 55 Avonhead Road",51,1,4,1,4,82,23,13,346,0,4,562,22,0,0,5,0,15,0,1133,2
,"Merrin School Hall, 41 Merrin Street",57,0,4,0,2,97,26,8,327,0,2,695,32,1,0,3,0,12,0,1266,5
,"St Christopher's Anglican Church, Warren Hall, 244 Avonhead Road",23,1,0,0,1,35,15,9,169,0,5,372,14,0,0,2,0,18,0,664,1
,"St Mark's Presbyterian Church, Sports Hall, 150 Withells Road",5,0,2,0,1,20,6,1,84,0,1,210,16,0,0,0,0,5,0,351,2
"Bishopdale","Bishopdale School Hall, 465 Greers Road",10,0,1,0,0,14,8,1,157,0,2,161,18,0,0,1,0,1,0,374,3
,"Breens Intermediate School Hall, 85 Breens Road",26,0,2,0,1,48,26,4,396,0,4,512,52,2,0,7,0,21,1,1102,5
,"CCS Disability Action, corner Farrington Avenue & Kilburn Street",14,0,2,0,1,39,15,10,369,0,5,336,24,0,0,5,0,13,1,834,6
,"Cotswold School, 44 Cotswold Avenue",35,1,5,0,0,50,18,12,395,0,7,555,38,0,0,7,0,16,0,1139,3
,"Isleworth School Hall, 59a Farrington Avenue",20,1,1,0,0,46,11,9,291,0,6,303,36,1,0,7,0,14,0,746,3
,"Reformed Church of Bishopdale, Church Hall, 90 Highsted Road",10,0,1,0,0,20,4,4,114,0,0,147,9,0,0,1,0,3,0,313,1
"Bryndwr","Aorangi School Temporary Hall, 36 Colwyn Street",17,0,1,0,4,43,13,3,165,0,7,166,12,0,0,3,0,8,0,442,1
,"St Matthew's Church Main Hall, 108 Jeffreys Road",37,0,1,0,0,58,9,0,155,1,3,392,20,1,0,5,0,11,0,693,4
,"St Stephen's Presbyterian Church Hall, corner Ilam & Aorangi Roads",14,1,5,0,2,68,9,4,211,0,5,296,13,0,0,2,0,8,0,638,4
,"Wairakei School Hall, 250 Wairakei Road",34,1,2,0,2,117,14,0,400,0,12,534,38,1,0,2,1,21,1,1180,5
"Burnside","Burnside Elim Community Church, 193 Grahams Road",25,0,3,0,3,47,18,11,226,1,1,322,25,1,0,6,0,14,0,703,1
,"Burnside High School, J Block, 180 Memorial Avenue",20,0,0,0,1,55,9,3,168,2,2,308,12,0,0,2,0,7,0,589,0
,"Kendal School Hall, 53 Kendal Avenue",31,0,5,1,6,76,24,6,366,0,7,473,24,0,0,5,0,20,1,1045,5
,"Roydvale School Hall, 117 Roydvale Avenue",23,0,1,0,0,52,14,1,202,2,3,430,19,0,0,4,0,11,0,762,0
"Christchurch City","ANZ Building, ground floor, 9 Cathedral Square",3,0,0,0,1,11,1,0,25,0,0,33,1,0,0,0,0,2,0,77,0
,"Christchurch Art Gallery, corner Worcester Boulevard & Montreal Streets",4,0,0,0,0,16,0,0,17,0,0,30,0,0,0,0,0,1,0,68,0
,"Christchurch Public Hospital, Great Escape Cafe, Riccarton Avenue",0,0,0,0,0,5,0,0,8,1,0,16,1,0,0,0,0,0,0,31,0
"Fendalton","Christchurch Boys' High School, Big Room, Straven Road at Te Kura Street",68,0,2,0,0,78,6,1,139,1,2,529,12,0,0,4,0,14,0,856,0
,"Fairleigh Kindergarten, 27a Garden Road",36,1,1,0,0,28,0,0,52,0,1,485,6,0,0,2,0,5,0,617,3
,"Fendalton Open Air School, Staff Room, 168 Clyde Road",58,2,3,0,1,87,13,2,243,0,6,806,29,1,0,9,0,15,1,1276,2
,"Medbury School Hall, corner Clyde & Creyke Roads",45,0,2,0,0,68,7,2,128,1,7,530,5,0,0,10,0,14,0,819,1
,"St Barnabas Church Hall, corner Fendalton Road & Tui Street",60,1,2,0,0,61,11,3,125,0,5,666,7,0,0,2,0,4,0,947,3
"Harewood","Harewood Playcentre, 719 Harewood Road",18,0,1,0,0,20,7,1,67,0,3,177,7,0,0,0,0,2,0,303,1
"Ilam","College of Education, Jack Mann Auditorium Foyer, Solway Avenue",25,0,1,0,2,61,14,6,177,0,3,362,21,0,0,5,0,13,0,690,4
,"Ilam School Hall, 66 Ilam Road",70,1,7,0,6,213,19,10,555,2,13,878,33,1,0,20,0,27,0,1855,10
,"Westburn School Hall, 257 Waimairi Road",57,1,7,0,5,95,18,4,386,0,3,887,27,2,0,6,0,16,0,1514,2
"Merivale","Heaton Intermediate School, Centre for Performing Arts Foyer, 125-133 Heaton Street",38,3,2,0,0,70,3,1,138,1,6,496,15,0,0,3,0,6,0,782,1
,"Rangi Ruru Girls' School, Dodds Common Room, 59 Hewitts Road",52,2,6,0,0,145,6,5,240,1,9,794,20,0,0,5,0,8,0,1293,4
"Papanui","Papanui Methodist Church Hall, 68 Harewood Road (corner Chapel Street)",21,1,1,0,1,47,15,4,242,1,3,299,27,0,0,3,0,14,0,679,2
,"St Paul's Anglican Church Parish Hall, 1 Harewood Road",8,1,0,0,1,20,2,4,104,1,2,114,6,0,0,1,0,18,0,282,3
,"Waimairi School Hall, 1 Tillman Avenue",36,3,0,1,0,105,14,5,265,1,6,500,25,0,0,3,0,17,0,981,1
"Riccarton","NZ Blood Donor Service, 87 Riccarton Road",21,0,2,1,0,35,2,3,81,0,2,146,7,0,0,0,0,1,0,301,2
,"St Ninian's Presbyterian Church Hall, 9 Puriri Street",25,0,1,0,0,51,8,4,102,0,4,241,12,0,0,1,0,9,0,458,0
