Party and Electorate Candidate Votes Recorded at each polling place
"Bay of Plenty 2","Party Vote Details"
,,"ACT New Zealand","Alliance","Aotearoa Legalise Cannabis Party","Democrats for Social Credit","Family Party","Green Party","Jim Anderton's Progressive","Kiwi Party","Labour Party","Libertarianz","Maori Party","National Party","New Zealand First Party","New Zealand Pacific Party","RAM - Residents Action Movement","The Bill and Ben Party","The Republic of New Zealand Party","United Future","Workers Party","Total Valid Party Votes","Informal Party Votes"
"Bethlehem","Baptist Church Hall, 90 Bethlehem Road",4,0,0,0,0,13,0,1,23,2,1,96,7,1,0,0,0,1,0,149,0
"Kaimai","Kaimai School, Room 1, 1853 State Highway 29",17,0,1,0,0,23,1,4,31,0,2,227,23,0,0,2,0,0,0,331,2
"Matakana Island","Te Kura O Te Moutere O Matakana, 183 Opureora Road ",0,0,0,0,0,1,0,0,4,0,1,1,6,0,0,0,0,0,0,13,0
"Matapihi","Matapihi School, Room 3, 398 Matapihi Road",9,0,1,0,0,4,0,10,76,0,6,131,63,0,0,1,0,1,0,302,1
"Maungatapu","Maungatapu Free Kindergarten, 187 Te Hono Street",11,0,4,0,2,32,1,15,145,1,6,425,82,1,0,2,0,4,0,731,0
,"Maungatapu School Hall, 164 Maungatapu Road",26,0,2,0,3,53,5,41,242,0,8,573,116,0,0,2,0,2,0,1073,3
"Mt Maunganui","Arataki Community Centre, Grenada Park, Monowai Street",21,1,4,0,4,36,1,17,204,0,7,381,121,0,0,3,0,8,0,808,2
,"Arataki School Hall, 4 Kaimanawa Street",34,2,5,0,0,52,7,29,419,1,8,689,175,0,0,4,0,11,0,1436,2
,"Harbourside Netball Pavilion, Maunganui Road",2,0,0,0,0,1,0,0,14,0,1,35,2,0,0,1,0,0,0,56,0
,"Mt Maunganui College, Maunganui Road",7,1,2,0,1,13,4,7,63,0,4,212,26,0,0,1,0,2,0,343,0
,"Mt Maunganui Intermediate School, 21 Links Avenue",3,0,0,0,0,1,0,1,14,0,1,48,15,0,0,0,0,0,0,83,1
,"Mt Maunganui Primary School, 13 Orkney Road",3,0,0,0,0,2,0,4,7,0,1,41,1,0,0,0,0,2,0,61,0
,"Senior Citizens' Hall, 345 Maunganui Road",2,0,0,0,0,5,2,2,15,0,0,55,11,0,0,0,0,0,0,92,0
,"St Peter's Church Hall, 11 Victoria Road",2,0,0,0,0,3,0,0,3,0,0,28,0,0,0,1,0,0,0,37,0
"Ohauiti","Ohauiti Settlers' Hall, 459 Ohauiti Road",41,1,6,0,2,56,4,38,180,0,6,841,75,0,1,2,0,9,0,1262,3
"Omokoroa","Omokoroa No. 1 School, Corner of Plummers Point & Emeny Roads",17,0,1,0,0,26,2,0,41,0,5,276,25,1,0,3,0,2,0,399,1
,"Omokoroa Point School, 37 Hamurana Road",28,1,1,1,3,82,12,10,203,1,4,760,81,0,0,1,0,10,0,1198,6
"Oropi","Oropi School Computer Room, 1334 Oropi Road",23,0,0,1,0,26,0,9,80,0,2,304,25,0,0,2,0,5,0,477,2
"Pahoia","Pahoia School, Room 1, 29 Esdaile Road",30,0,2,0,1,64,3,9,91,1,5,406,46,0,0,2,0,4,0,664,1
"Papamoa","Papamoa Community Centre and Library, Tohora Room, 15 Gravatt Road",62,2,11,0,4,105,12,27,486,3,18,1427,188,0,0,11,0,20,0,2376,5
,"Papamoa Primary School Hall, 312 Dickson Road",38,0,2,1,0,81,7,15,336,0,14,856,88,0,0,11,0,4,0,1453,6
,"Papamoa Sports & Recreation Centre, Gordon Spratt Reserve, 127 Parton Road",17,0,3,0,2,27,4,10,97,0,4,286,33,0,0,5,0,9,0,497,0
,"Tahatai Coast School Hall, 45 Evans Road",67,0,14,1,1,79,13,33,472,0,10,1213,168,0,0,7,0,9,0,2087,0
,"Te Akau Ki Papamoa School Hall, 29 Doncaster Drive",25,2,4,0,2,40,4,13,251,0,3,510,76,1,1,4,0,3,0,939,3
"Pyes Pa","Aquinas College, 183 Pyes Pa Road",14,0,1,0,0,16,0,10,44,0,1,227,16,0,0,2,0,5,0,336,0
,"Pyes Pa School Hall, 968 Pyes Pa Road",17,0,5,0,0,32,0,12,58,0,4,340,39,0,0,1,0,2,0,510,1
"Tauranga","Greenpark School, 13 Lumsden Street",7,0,0,0,1,13,0,2,51,0,1,110,18,0,0,5,0,1,0,209,1
,"Greerton Community Hall, 1247 Cameron Road",2,0,1,0,1,15,4,10,69,0,3,111,31,0,0,0,0,2,0,249,1
,"Matua Community Hall, Levers Road",0,0,1,0,1,2,0,0,4,0,0,21,3,0,0,0,0,0,0,32,0
,"Otumoetai School, 236 Otumoetai Road",1,0,1,0,0,3,0,1,5,0,0,23,3,0,0,1,0,0,0,38,0
,"St Peter's Community Centre, 130 Spring Street",2,0,0,0,0,1,0,3,13,1,1,21,5,1,0,0,0,2,0,50,0
,"Tauranga Boys' College Youth Theatre, Devonport Road",1,0,2,0,0,8,0,2,18,0,0,77,13,0,0,0,0,0,0,121,0
,"Tauranga Girls' College Hall, 930 Cameron Road",6,1,1,1,0,11,0,1,26,0,0,43,3,0,0,0,0,1,0,94,2
,"Tauranga Intermediate School, 30 Eighteenth Avenue",2,0,0,0,0,6,1,3,16,0,0,12,5,0,0,0,0,1,0,46,0
,"Tauranga Primary School Hall, 31 Fifth Avenue",1,0,1,0,0,12,0,5,20,0,0,67,10,0,0,1,0,1,0,118,0
"Tauriko","Settlers' Hall, State Highway 29",30,0,0,0,6,30,2,15,96,2,1,394,43,0,0,1,0,5,0,625,0
