Party and Electorate Candidate Votes Recorded at each polling place
"Manukau East 23","Party Vote Details"
,,"ACT New Zealand","Alliance","Aotearoa Legalise Cannabis Party","Democrats for Social Credit","Family Party","Green Party","Jim Anderton's Progressive","Kiwi Party","Labour Party","Libertarianz","Maori Party","National Party","New Zealand First Party","New Zealand Pacific Party","RAM - Residents Action Movement","The Bill and Ben Party","The Republic of New Zealand Party","United Future","Workers Party","Total Valid Party Votes","Informal Party Votes"
"Botany South","Sancta Maria College, 319 Te Irirangi Drive",3,0,0,0,0,0,1,0,10,0,0,14,0,0,0,0,0,0,0,28,0
"Clover Park","St Peter Chanel Hall, 44 Boundary Road",1,0,0,0,3,1,0,2,30,0,1,8,0,7,0,0,0,0,0,53,0
"Dannemora","Little Learners Childcare Centre, 491 Te Irirangi Drive",3,0,0,0,0,0,1,0,3,0,0,6,0,0,0,0,0,0,0,13,0
"Flat Bush","Dawson Primary School, Haumia Way",1,0,0,0,5,1,2,0,84,0,3,12,0,8,0,0,0,2,0,118,2
"Mt Wellington","Panama Road School Hall, 139 Panama Road",33,0,5,0,19,28,8,3,724,0,11,291,51,55,4,2,1,5,2,1242,16
"Otahuhu","Fairburn School, 10 Pukeora Road",3,0,1,0,2,14,8,1,364,1,2,122,16,24,1,1,0,7,0,567,8
,"McAuley High School, 26 High Street",17,0,3,0,10,22,25,7,670,0,6,176,42,47,0,1,0,3,0,1029,19
,"Middlemore Hospital, Hospital Road",1,0,0,0,0,2,2,0,62,0,1,28,4,7,0,0,0,2,0,109,2
,"Otahuhu College, 74-78 Mangere Road",17,0,2,0,5,16,3,1,312,0,8,119,24,36,0,1,0,4,3,551,10
,"Otahuhu Intermediate School, 22-24 Luke Street",15,0,1,0,5,19,16,3,579,1,4,188,52,21,1,4,0,5,0,914,12
,"Otahuhu Primary School, 41 Station Road",10,0,1,0,2,14,3,2,436,0,2,138,29,22,0,3,0,3,2,667,13
"Otara","Bairds Mainfreight Primary School, 12 Edward Avenue",6,0,1,0,2,3,2,3,415,0,4,38,17,35,0,3,1,0,1,531,2
,"East Tamaki Primary School, 196 Preston Road",2,0,2,0,2,5,0,0,283,0,5,18,7,21,0,0,0,1,0,346,4
,"Ferguson Intermediate School, 20-40 Ferguson Road",1,0,8,0,18,9,11,5,667,0,14,43,14,102,0,0,0,1,1,894,14
,"Flat Bush School, 20 Flat Bush Road",2,0,1,0,5,1,0,1,350,0,1,14,5,48,0,1,0,0,0,429,8
,"Mayfield School, 12 Pearl Baker Drive",1,0,3,1,6,4,5,7,584,0,7,39,11,85,0,2,0,2,0,757,12
,"Nga Taonga Kohanga Reo O Otara, 183 Bairds Road",3,1,2,0,9,2,3,2,266,0,5,18,8,39,0,0,0,0,0,358,2
