Party and Electorate Candidate Votes Recorded at each polling place
"Mt Roskill 27","Party Vote Details"
,,"ACT New Zealand","Alliance","Aotearoa Legalise Cannabis Party","Democrats for Social Credit","Family Party","Green Party","Jim Anderton's Progressive","Kiwi Party","Labour Party","Libertarianz","Maori Party","National Party","New Zealand First Party","New Zealand Pacific Party","RAM - Residents Action Movement","The Bill and Ben Party","The Republic of New Zealand Party","United Future","Workers Party","Total Valid Party Votes","Informal Party Votes"
"Avondale","Avondale Baptist Church, corner Blockhouse Bay & New North Roads",15,2,1,1,7,53,2,3,209,0,3,178,14,4,0,0,0,6,0,498,4
,"Avondale Primary School, Crayford Street West",2,0,0,0,0,4,1,0,26,0,0,15,0,0,0,0,0,2,0,50,1
,"Liberty Christian Church, 96 Lansford Crescent",0,0,0,0,0,3,2,0,25,0,0,32,5,0,0,1,0,0,0,68,0
"Balmoral","Balmoral School Hall, 19 Brixton Road",4,0,0,0,1,9,0,0,25,0,1,35,2,0,0,1,0,1,0,79,1
,"Balmoral Scout Group, 1a Waitomo Avenue (in Pollard Park)",33,0,3,0,0,47,2,0,136,1,7,223,16,0,0,8,0,6,0,482,1
"Blockhouse Bay","Bay Roskill Sports Club, 231 Whitney Street",9,0,0,0,1,7,1,0,61,0,1,81,12,0,0,0,0,0,0,173,0
,"Blockhouse Bay Primary School, 584 Blockhouse Bay Road",6,0,2,0,1,11,0,2,66,0,1,100,7,0,0,1,0,3,0,200,1
,"Glenavon School, 340 Blockhouse Bay Road",15,0,1,0,5,28,9,4,399,0,4,196,26,14,1,1,1,6,0,710,10
,"Iona Presbyterian Church, 38 Donovan Street",7,0,0,0,0,2,2,0,42,0,0,58,2,0,0,0,0,1,0,114,0
"Epsom","Epsom Methodist Church Hall, 12 Pah Road",0,0,0,0,0,2,0,0,8,0,0,15,1,1,0,0,0,1,0,28,0
,"Sacred Heart Parish Hall, 19 Banff Avenue",2,0,0,0,0,0,0,0,9,0,0,8,0,0,0,0,0,0,0,19,0
,"St Andrew's Anglican Church Hall, 100 St Andrew's Road",11,0,1,0,2,7,1,1,18,0,0,49,5,0,0,0,0,0,0,95,0
"Hillsborough","Hillsborough Baptist Church, 179 Hillsborough Road",24,0,1,0,2,34,9,9,188,0,9,471,19,0,0,1,0,17,0,784,3
,"St David's Church, 202 Hillsborough Road",37,0,1,1,1,43,9,2,256,0,9,499,40,2,0,6,0,8,0,914,2
,"St Margaret's Church, 102 Hillsborough Road",25,0,1,0,2,17,6,4,140,0,0,245,22,2,0,4,0,15,0,483,0
,"Waikowhai Primary School, 381 Hillsborough Road",22,0,2,0,3,34,8,8,239,0,5,399,25,4,0,3,0,2,0,754,3
"Lynfield","Halsey Drive School, 106 Halsey Drive",45,0,2,0,3,31,11,6,319,0,3,690,20,0,0,1,0,15,1,1147,1
,"Lynfield Tennis Club, 18 The Avenue",54,1,3,0,4,39,14,5,397,0,5,660,38,4,0,5,0,23,1,1253,13
"Mt Eden","Auckland Provincial Guide Centre, 132 Grange Road",1,0,0,0,0,9,0,0,25,0,0,32,0,0,0,0,0,0,0,67,0
,"Good Shepherd Parish Hall, 30 Telford Avenue",11,0,0,0,0,12,2,3,62,0,5,63,7,1,0,0,0,5,0,171,0
,"Maungawhau School, 43 Ellerton Road",99,1,6,0,1,164,5,4,390,0,5,740,29,0,2,4,0,12,0,1462,1
,"St Albans Church Hall, 443 Dominion Road",2,0,0,0,0,3,1,0,27,0,1,22,2,0,0,0,0,0,0,58,0
"Mt Roskill","Christ The King Parish, 288 Richardson Road",28,0,4,0,4,13,3,18,491,0,4,340,34,21,0,1,1,11,2,975,8
,"Hay Park School, 670 Richardson Road",46,0,2,0,6,36,6,1,754,0,3,553,35,23,0,5,0,26,1,1497,11
,"Lynfield College School, 191 White Swan Road (main entrance)",22,0,3,0,1,25,9,1,303,1,3,367,14,0,0,3,0,5,0,757,6
,"Marshall Laing Primary School, 39 Marshall Laing Avenue",32,0,1,0,1,27,10,14,508,1,2,555,31,2,0,0,1,5,0,1190,2
,"May Road School, 504 Richardson Road",50,2,2,0,7,48,24,6,1059,1,7,693,55,31,0,7,0,10,3,2005,14
,"Mt Roskill Intermediate School, 62 Denbigh Avenue",23,1,2,0,6,21,9,9,509,0,3,460,16,3,3,1,1,13,0,1080,8
,"St Giles Presbyterian Church, 1207 Dominion Road",37,3,4,1,4,38,12,5,520,0,2,569,57,16,0,2,0,9,0,1279,13
,"St John's Presbyterian Church, 422 Mt Albert Road",38,1,0,0,4,37,8,2,423,0,3,367,27,14,1,4,0,8,1,938,5
,"Sunnydene School, 48 Smallfield Avenue",14,0,1,0,0,23,4,2,279,0,2,113,13,3,0,0,0,4,0,458,7
,"Tri-Star Gymnasium Club Inc., 55 Arundel Street",12,1,1,2,0,22,0,1,125,0,2,235,9,1,0,2,0,4,0,417,2
,"Wesley Intermediate School, 798 Sandringham Road",12,1,1,0,8,35,9,2,1011,0,3,208,34,49,0,1,0,1,0,1375,13
"New Lynn","New Lynn Salvation Army Hall, 32 Delta Avenue",0,0,0,0,0,3,1,1,22,0,0,10,3,0,0,1,0,0,0,41,0
"New Windsor","New Windsor School, 185 New Windsor Road (use 64 Peter Buck Road entrance)",84,2,6,0,9,60,17,19,810,2,4,693,45,12,1,4,0,16,0,1784,12
"Onehunga","Onehunga High School, 24 Pleasant Street",38,0,0,0,3,14,4,0,78,0,2,124,14,0,1,0,0,4,0,282,0
"Oranga","Te Papapa School, 219 Mt Smart Road",0,0,0,0,0,0,0,0,4,0,0,5,0,1,0,0,0,1,0,11,0
"Owairaka","Owairaka District School Hall, 113 Richardson Road",6,0,1,0,1,3,1,2,153,1,4,68,15,7,1,1,0,0,0,264,2
"Royal Oak","Royal Oak Intermediate, 74 Symonds Street (use Trafalgar Street entrance)",6,0,0,0,0,11,0,1,40,0,0,53,11,0,0,1,0,1,0,124,3
,"Royal Oak School, Chandler Avenue (use 663 Manukau Road entrance)",4,0,0,0,0,6,0,0,27,0,1,47,2,0,0,0,0,1,0,88,0
"Sandringham","Christian Family Church Hall, 631 Sandringham Road",2,0,1,0,0,6,1,0,25,0,0,14,3,4,0,0,0,1,0,57,1
,"Edendale Primary School Hall, 419 Sandringham Road",1,0,1,0,1,6,0,0,54,0,0,28,3,0,0,0,0,0,0,94,0
,"Salvation Army Community Church Hall, Duncan Avenue",6,0,0,0,0,9,2,1,140,0,0,49,6,3,0,3,0,3,0,222,0
