Party and Electorate Candidate Votes Recorded at each polling place
"Botany 3","Party Vote Details"
,,"ACT New Zealand","Alliance","Aotearoa Legalise Cannabis Party","Democrats for Social Credit","Family Party","Green Party","Jim Anderton's Progressive","Kiwi Party","Labour Party","Libertarianz","Maori Party","National Party","New Zealand First Party","New Zealand Pacific Party","RAM - Residents Action Movement","The Bill and Ben Party","The Republic of New Zealand Party","United Future","Workers Party","Total Valid Party Votes","Informal Party Votes"
"Botany Downs","Botany Downs Primary  School, 35 Mirrabooka Avenue",77,0,4,1,3,39,15,1,301,3,4,862,44,0,0,4,0,17,0,1375,0
,"Botany Downs Secondary College, 575 Chapel Road",137,2,3,0,21,59,16,8,660,0,5,1834,48,0,1,13,0,17,3,2827,8
,"Elim Christian Centre, 159 Botany Road",76,1,4,1,15,33,12,12,298,4,5,1102,40,1,0,3,0,20,0,1627,5
,"St Columba Presbyterian Church, 480 Ti Rakau Drive",101,1,2,0,7,40,12,9,392,0,10,1159,63,1,1,2,0,15,1,1816,5
"Botany South","Sancta Maria College, 319 Te Irirangi Drive",40,0,3,0,6,21,7,3,329,0,7,554,19,10,0,3,0,10,1,1013,2
"Chapel Downs","Chapel Downs Primary School, corner Chapel & Dawson Roads",15,0,3,0,1,9,7,2,372,0,3,224,9,19,0,2,0,3,0,669,4
"Clover Park","St Peter Chanel Hall, 44 Boundary Road",3,0,0,0,3,7,4,0,272,0,2,57,11,49,0,2,1,2,0,413,14
"Cockle Bay","Cockle Bay Playcentre, 17 Pah Road",46,0,0,0,1,40,3,0,102,0,2,511,17,0,0,1,0,4,0,727,1
"Dannemora","Little Learners Childcare Centre, 491 Te Irirangi Drive",14,0,1,0,2,4,2,0,98,1,0,220,5,0,0,0,1,4,0,352,4
,"Point View Primary School, 25 Kilkenny Drive",146,0,4,0,6,51,8,1,341,0,2,1637,40,2,0,6,0,9,0,2253,10
,"Willowbank School, corner Middlefield & Gracechurch Drives",103,0,3,0,9,25,20,9,387,0,7,1288,21,0,0,3,1,15,1,1892,7
"Flat Bush","Baverstock Oaks School, 21 Baverstock Road",65,1,2,0,8,24,18,2,316,0,1,859,8,0,2,3,0,7,0,1316,8
,"Dawson Primary School, Haumia Way",6,0,4,0,10,8,10,1,656,0,9,68,12,89,0,0,0,1,0,874,14
,"St Pauls Anglican Church Hall, 141 Chapel Road",7,0,0,0,0,5,3,0,30,0,0,78,6,2,0,0,0,0,0,131,0
"Highland Park","Rockabye Early Learning Centre, 122 Aviemore Drive",26,0,6,0,0,18,6,6,134,0,0,387,10,0,0,5,0,6,0,604,2
"Howick","Cockle Bay School, 24 Sandspit Road",90,0,3,0,4,47,1,5,212,0,4,931,38,0,1,6,0,11,0,1353,4
,"Howick Intermediate School, 1 Botany Road",36,0,1,0,4,25,5,3,146,0,1,371,16,0,0,3,0,5,1,617,3
,"Owairoa  Primary School, corner Wellington & Nelson Streets",15,0,3,0,0,9,1,0,52,0,1,135,15,0,0,0,0,0,0,231,2
,"Shelly Park School, 11-13 Sunnyview Avenue",44,0,0,0,1,33,4,2,99,0,2,450,13,0,0,8,0,8,0,664,1
"Manukau","Redoubt North School, 47 Diorella Drive",0,0,0,0,6,1,1,0,30,0,0,9,0,2,0,0,0,0,0,49,0
"Meadowlands","Meadowlands Methodist Community Church, 128 Whitford Road",95,1,2,0,5,34,8,17,287,0,3,1223,57,2,0,6,0,19,0,1759,0
"Northpark","Our Lady Star of the Sea School, 14 Oakridge Way",66,0,2,0,1,27,1,10,165,0,5,751,24,0,0,8,1,5,0,1066,6
"Otara","East Tamaki Primary School, 196 Preston Road",2,0,0,0,3,3,3,0,111,0,3,19,4,15,0,0,0,0,0,163,3
,"Flat Bush School, 20 Flat Bush Road",0,0,1,0,1,1,0,0,64,0,0,5,4,12,0,0,0,0,1,89,2
"Pakuranga","Eastgate Christian Centre, 5 Ben Lomond Crescent",8,0,0,0,0,3,1,0,46,0,1,146,7,0,0,0,0,1,0,213,1
,"Riverhills Primary School, 13 Waikaremoana Place",3,0,0,0,0,6,1,0,39,0,0,68,1,0,0,0,0,1,0,119,0
"Papatoetoe","Papatoetoe East Primary School, 138 Tui Road",0,0,0,0,0,0,1,0,4,0,0,5,0,0,0,0,0,0,0,10,0
"Somerville","Somerville Intermediate School, 39 Somerville Road",40,1,0,0,3,23,3,3,129,0,2,494,5,0,0,3,0,4,0,710,0
"Whitford","Whitford Hall, 1 Whitford-Maraetai Road",1,0,0,0,0,0,0,0,7,0,0,31,1,0,0,0,0,2,0,42,0
,"Polling places where less than 6 votes were taken",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,"Hospital Votes",9,0,0,0,1,6,2,1,63,0,0,105,14,0,0,1,0,1,0,203,5
,"Ordinary Votes BEFORE polling day",135,0,1,0,15,58,18,18,614,1,3,1809,64,20,0,5,1,16,2,2780,9
,"Special Votes BEFORE polling day",12,0,1,0,4,13,4,1,120,0,1,237,13,5,0,0,1,3,0,415,3
,"Special Votes On polling day",93,0,5,0,16,55,17,9,820,1,7,1271,37,45,1,8,1,6,2,2394,7
,"Overseas Special Votes including defence force",11,0,1,0,4,19,2,1,73,0,0,282,5,4,0,0,0,7,0,409,0
