Party and Electorate Candidate Votes Recorded at each polling place
"New Plymouth 31","Party Vote Details"
,,"ACT New Zealand","Alliance","Aotearoa Legalise Cannabis Party","Democrats for Social Credit","Family Party","Green Party","Jim Anderton's Progressive","Kiwi Party","Labour Party","Libertarianz","Maori Party","National Party","New Zealand First Party","New Zealand Pacific Party","RAM - Residents Action Movement","The Bill and Ben Party","The Republic of New Zealand Party","United Future","Workers Party","Total Valid Party Votes","Informal Party Votes"
"Bell Block","Bell Block School Library, 957 Devon Road",37,1,3,1,3,42,6,3,257,1,5,510,45,0,0,10,0,4,0,928,2
,"Fred Tucker Memorial Community Centre, 130 Parklands Ave",30,0,5,0,2,22,2,4,282,0,5,432,41,1,0,5,0,12,0,843,3
,"Puketapu School Hall, 2 Dillon Drive",25,1,3,2,4,16,5,4,242,1,6,367,28,1,0,8,0,1,1,715,3
"Egmont Village","Egmont Village Community Centre, 1299 Egmont Road",23,0,1,0,1,30,0,2,66,1,3,219,15,0,0,2,0,2,0,365,3
"Glen Avon","Glen Avon Hall, 23 Alberta Road",13,0,0,0,2,19,0,2,88,0,2,178,20,0,0,7,0,4,0,335,0
"Hillsborough","Hillsborough Public Hall, 373 Egmont Road",24,0,1,0,0,18,2,0,39,0,1,232,15,0,0,7,0,0,1,340,0
"Hurworth","Hurworth Public Hall, 940 Carrington Road",10,2,0,0,1,14,0,0,48,0,1,124,11,0,0,1,0,1,0,213,1
"Inglewood","Inglewood High School, Kelly Street entrance",6,0,0,1,2,6,0,0,14,0,0,46,1,0,0,1,0,0,0,77,0
"Lepperton","Lepperton School, corner Richmond Road & Whitcombe Street",26,0,0,2,2,15,3,4,60,0,2,270,10,0,0,5,0,2,0,401,1
"Mangorei","Mangorei School Hall, 496 Mangorei Road",41,1,1,1,3,44,4,1,190,2,1,541,25,0,0,7,0,7,0,869,3
"Mokau","Mokau Primary School, corner Rangi Street & Aria Terrace",3,0,0,0,0,1,1,0,13,0,0,27,1,0,0,0,0,0,0,46,0
"New Plymouth","Air Training Corps Rooms, 367a Carrington Street",13,0,3,0,6,48,4,0,140,0,4,309,23,0,0,7,0,7,0,564,0
,"Blind Foundation, 131 Vivian Street",18,1,4,0,4,35,3,1,122,1,6,185,23,0,0,1,0,1,0,405,1
,"Boys' High School, Pridham Hall, 97 Eliot Street",22,2,2,2,2,36,5,0,151,1,7,316,14,0,1,4,0,2,0,567,3
,"Central School Hall, 49 Pendarves Street entrance",37,2,2,0,1,71,16,1,292,2,7,475,33,0,0,10,0,4,2,955,3
,"Fitzroy Hall, 45 Sackville Street",43,2,7,1,1,99,8,1,455,0,11,688,64,0,0,8,0,8,0,1396,5
,"Frankleigh Park Kindergarten, 147a Govett Avenue",29,0,1,0,2,46,3,2,191,0,3,432,31,0,0,11,0,8,0,759,0
,"Frankley School, 357 Tukapa Street",22,0,0,0,1,39,3,2,183,0,4,362,16,0,0,3,0,8,0,643,1
,"Girls' High School 7th Form Study, main entrance, 42 Mangorei Road",16,1,7,3,12,38,4,3,197,0,3,361,17,0,0,8,0,6,0,676,1
,"Holy Trinity Church Hall, 8 Henui Street",19,1,5,2,5,29,5,0,141,0,5,359,27,3,0,4,0,6,0,611,2
,"Marfell School Hall, 92a Omata Road entrance",3,1,3,1,2,15,0,0,174,2,3,116,14,0,0,6,0,2,1,343,1
,"Merrilands School Hall, 7 Kauri Street",42,0,3,2,6,46,5,1,461,0,8,818,41,0,0,12,0,10,0,1455,11
,"Moturoa School, 43 Pioneer Road",12,0,3,0,2,30,5,1,137,0,1,158,24,0,0,4,0,2,0,379,0
,"Onuku Taipari Hall, 134 Ngamotu Road",9,0,7,3,2,20,2,3,247,1,2,219,41,4,0,5,0,2,0,567,5
,"Spotswood College Library, 129 South Road",16,1,5,0,4,49,4,1,252,1,9,293,21,0,0,5,0,4,0,665,1
,"Spotswood Primary School Hall, 177 South Road",27,1,2,0,6,48,7,1,279,1,6,446,28,0,0,8,0,13,0,873,4
,"St Chad's Church Hall, 12 Omata Road",29,1,1,4,4,48,12,4,419,0,6,464,76,1,0,2,0,9,0,1080,5
,"St James Presbyterian Hall, 24 Lawry Street",10,0,3,1,3,33,4,2,292,1,5,285,32,1,0,5,0,5,0,682,1
,"St John Rooms, 318 St Aubyn Street",25,0,2,0,2,58,7,0,171,0,6,257,14,0,0,9,0,3,1,555,2
,"St Joseph’s Community Centre, 147 Devon Street West",21,0,1,0,0,32,5,0,150,1,6,249,18,0,0,5,1,3,0,492,2
,"St Pius X School, 120 Brooklands Road",25,0,3,2,1,51,8,4,199,0,6,306,27,1,0,8,0,6,1,648,3
,"Taranaki Base Hospital, Clinical Skills Lab., Lyn Street entrance",7,0,0,0,5,21,4,0,115,0,2,133,17,0,0,3,0,3,0,310,2
,"Taranaki Disability Resource Centre, 28 Young Street",7,0,3,0,0,14,3,0,75,1,1,79,9,0,0,4,0,1,0,197,1
,"Vogeltown School Hall, 35 Huatoki Street",37,1,8,1,2,84,9,2,366,0,10,549,45,3,0,5,0,9,0,1131,6
,"Welbourn School Hall, Welbourn Terrace entrance",21,2,4,0,1,72,8,3,320,1,7,460,41,1,0,6,0,0,0,947,7
,"West End School, 12 Davies Lane",20,1,1,1,3,37,5,0,179,0,6,230,15,0,0,4,0,3,0,505,2
,"Westown School Hall, 41 Sanders Avenue",40,1,10,2,9,86,11,3,613,0,16,790,69,0,1,12,0,15,2,1680,7
,"Woodleigh School Hall, 93 Brois Street",22,0,9,0,5,65,1,1,218,0,6,346,18,0,0,9,0,3,0,703,1
"Oakura","Oakura School, 16 Donnelly Street",37,0,4,0,3,126,1,2,226,0,2,568,19,0,0,5,1,8,0,1002,5
"Okato","Coastal Taranaki School, 88 Carthew Street",14,0,3,0,0,75,2,0,87,0,2,246,14,0,0,5,0,2,0,450,1
"Omata","Omata School Hall, 3 Holloway Road",23,1,3,0,0,38,2,0,70,0,5,203,16,0,0,3,0,2,1,367,2
"Urenui","Urenui School (old room 2), Takiroa Street",2,0,0,0,0,3,0,0,14,0,0,25,1,0,0,0,0,0,0,45,0
"Waitara","Owae Marae, 16 North Street",1,0,0,0,0,4,1,0,34,0,4,27,6,0,0,1,0,0,0,78,0
,"Waitara Central School Hall, 18 Cracroft Street",30,1,6,2,4,39,9,3,372,1,9,421,76,1,0,5,0,3,1,983,17
,"Waitara High School Hall, 16 Princess Street",13,1,5,4,5,26,6,3,315,1,9,369,57,3,0,8,0,2,0,827,5
,"Waitara West Kindergarten, 16 Wood Street",7,0,3,2,0,11,1,3,238,0,8,190,35,0,0,5,0,0,0,503,3
,"Polling places where less than 6 votes were taken",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,"Hospital Votes",5,0,2,1,0,11,2,2,195,1,2,278,18,0,0,0,0,0,0,517,15
,"Ordinary Votes BEFORE polling day",80,2,8,2,4,165,13,5,687,1,17,1417,89,0,0,7,0,14,2,2513,13
,"Special Votes BEFORE polling day",6,0,1,0,0,29,6,1,159,2,1,177,18,0,0,0,0,0,0,400,5
,"Special Votes On polling day",45,2,12,0,10,161,11,1,492,2,12,710,32,2,0,35,0,14,0,1541,7
,"Overseas Special Votes including defence force",13,0,0,0,0,49,3,2,89,0,0,197,2,0,0,1,0,6,0,362,0
,"Votes Allowed for Party Only",0,1,6,0,4,16,1,0,85,1,7,53,11,1,0,5,0,0,0,191,9
,"New Plymouth Total",1106,31,166,43,141,2230,232,78,10901,27,260,17512,1404,23,2,301,2,227,13,34699,175
,,,,,,,,,,,,,,,,,,,,"Valid Party Votes plus Informal Party Votes",34874
"Electorate Party Valid Votes for New Plymouth",,"National Party - .5046831321"
"ACT New Zealand",1106,.0318741174
"Alliance",31,.0008933975
"Aotearoa Legalise Cannabis Party",166,.0047839995
"Democrats for Social Credit",43,.0012392288
"Family Party",141,.0040635177
"Green Party",2230,.0642669818
"Jim Anderton's Progressive",232,.0066860716
"Kiwi Party",78,.0022479034
"Labour Party",10901,.3141589095
"Libertarianz",27,.0007781204
"Maori Party",260,.0074930113
"National Party",17512,.5046831321
"New Zealand First Party",1404,.0404622612
"New Zealand Pacific Party",23,.0006628433
"RAM - Residents Action Movement",2,.0000576385
"The Bill and Ben Party",301,.0086746016
"The Republic of New Zealand Party",2,.0000576385
"United Future",227,.0065419753
"Workers Party",13,.0003746506
