Party and Electorate Candidate Votes Recorded at each polling place
"North Shore 32","Party Vote Details"
,,"ACT New Zealand","Alliance","Aotearoa Legalise Cannabis Party","Democrats for Social Credit","Family Party","Green Party","Jim Anderton's Progressive","Kiwi Party","Labour Party","Libertarianz","Maori Party","National Party","New Zealand First Party","New Zealand Pacific Party","RAM - Residents Action Movement","The Bill and Ben Party","The Republic of New Zealand Party","United Future","Workers Party","Total Valid Party Votes","Informal Party Votes"
"Bayswater","Bayswater School, Bayswater Avenue",111,0,7,0,5,142,21,3,457,0,15,806,58,0,0,9,0,19,0,1653,6
"Belmont","Belmont Primary School, 3a Harrison Avenue",61,0,2,0,2,67,2,0,200,0,5,445,28,0,2,1,1,5,0,821,4
"Browns Bay","Browns Bay Red Cross Centre, 5 Glencoe Close",3,0,0,0,1,1,0,0,8,0,0,26,4,0,0,1,0,0,0,44,0
"Campbells Bay","Campbells Bay Methodist Church Hall, 218 Beach Road",114,0,1,1,9,45,6,2,146,0,0,737,28,0,0,6,0,5,0,1100,1
,"Campbells Bay School Hall, 77 Aberdeen Road",83,0,1,0,3,48,1,2,171,0,2,701,15,0,1,2,0,11,0,1041,3
"Castor Bay","Presbyterian Church Hall, corner Seaview Road & Katui Street",131,1,2,0,7,53,5,1,196,2,6,859,21,0,0,2,0,14,2,1302,3
"Devonport","Devonport Community House, 32 Clarence Street",70,4,2,0,1,156,9,2,345,1,16,548,29,0,0,5,0,10,0,1198,0
,"Devonport Holy Trinity Parish Hall, 20 Church Street",76,0,0,0,4,152,6,0,293,2,7,609,34,0,0,3,0,9,1,1196,2
,"Devonport Presbyterian Church Hall, Cnr Victoria and Albert Streets",73,0,4,0,0,164,4,2,335,0,14,491,28,0,0,3,0,14,1,1133,1
"Forrest Hill","Forrest Hill Presbyterian Church Hall, 151 Forrest Hill Road",136,2,9,1,26,67,6,9,471,2,7,1164,56,0,0,2,0,25,0,1983,6
"Glenfield","Glenfield Community Centre, 411 Glenfield Road (corner Bentley Avenue)",0,0,1,0,0,1,1,0,12,0,0,34,2,1,0,0,0,1,0,53,0
,"Glenfield Primary School, 101 Chivalry Road",3,0,0,0,0,2,0,0,10,1,0,19,1,0,0,1,0,0,0,37,0
,"Target Road Primary School, 80 Target Road",5,0,0,0,2,3,0,0,24,0,0,38,4,0,0,3,0,3,0,82,0
"Hauraki","Takapuna Bible Chapel Hall, 13 Jutland Road",166,0,6,0,9,117,10,2,406,4,7,1074,89,0,0,4,0,14,0,1908,9
,"Takapuna Grammar School, Lake Road",50,0,4,0,0,52,3,0,129,2,4,338,8,1,0,1,0,8,0,600,1
"Mairangi Bay","Mairangi Bay Presbyterian Church Hall, 11 Hastings Road",144,2,1,0,8,62,9,4,215,0,6,980,32,0,0,2,0,9,0,1474,2
,"Mairangi Bay School, Galaxy Drive entrance",118,0,2,1,6,66,1,6,195,1,3,781,34,0,0,3,0,16,0,1233,1
,"Rangitoto College, 564 East Coast Road",39,0,2,0,7,22,0,2,71,0,3,275,10,0,0,4,0,4,0,439,1
"Milford","Carmel College, 114 Shakespeare Road",63,0,1,0,5,28,5,4,175,0,6,475,34,0,2,1,0,10,0,809,3
,"Milford Baptist Church Hall, 3 Dodson Avenue",147,0,1,0,4,60,5,7,277,0,10,1009,50,0,0,3,0,18,0,1591,10
,"Milford School, 34 Shakespeare Road",132,3,3,0,5,105,3,6,430,3,10,1210,73,0,0,2,1,13,0,1999,7
