Party and Electorate Candidate Votes Recorded at each polling place
"Northcote 33","Party Vote Details"
,,"ACT New Zealand","Alliance","Aotearoa Legalise Cannabis Party","Democrats for Social Credit","Family Party","Green Party","Jim Anderton's Progressive","Kiwi Party","Labour Party","Libertarianz","Maori Party","National Party","New Zealand First Party","New Zealand Pacific Party","RAM - Residents Action Movement","The Bill and Ben Party","The Republic of New Zealand Party","United Future","Workers Party","Total Valid Party Votes","Informal Party Votes"
"Beachhaven","Birkdale Beachhaven Residents Hall, 336 Rangatira Road",94,2,16,1,8,190,35,10,727,4,24,856,96,6,0,8,1,14,1,2093,14
,"Maria Assumpta Parish Hall, 198 Beachhaven Road",42,0,2,0,3,41,10,6,380,0,7,287,34,11,0,5,0,8,1,837,1
"Birkdale","Birkdale Intermediate School, 200 Birkdale Road",60,0,5,0,1,108,5,4,568,1,13,566,53,4,1,11,1,11,0,1412,11
,"Birkdale North School, 213 Birkdale Road",30,0,6,0,0,30,4,0,237,0,6,251,30,6,0,3,0,4,0,607,1
,"Birkenhead Baptist Church Hall, 25 Birkdale Road",79,1,11,0,9,118,19,10,520,1,11,730,60,4,0,5,1,23,0,1602,4
"Birkenhead","All Saints Hall, 187 Hinemoa Street",93,0,2,1,0,153,7,2,381,2,7,839,27,0,1,2,0,20,1,1538,2
,"Chelsea Primary School, 2 Onetaunga Road",133,1,4,1,3,101,10,6,363,2,8,1063,47,0,1,11,0,19,0,1773,1
,"North Shore Church of Christ, 3 Willow Avenue",72,0,0,1,1,74,5,0,205,0,4,414,10,0,0,1,0,6,0,793,1
,"Zion Hill Methodist Church Hall, 237 Onewa Road (corner Birkenhead Avenue)",106,0,9,1,9,147,15,6,494,4,12,936,57,3,0,8,0,26,0,1833,6
"Glenfield","Glenfield College, 52-60 Kaipatiki Road",23,0,1,0,3,30,10,2,181,0,4,272,16,0,0,3,0,3,0,548,1
,"Glenfield Community Centre, 411 Glenfield Road (corner Bentley Avenue)",55,0,1,2,4,58,15,16,428,0,6,494,47,1,0,3,0,8,1,1139,3
,"Glenfield Primary School, 101 Chivalry Road",32,0,3,0,8,37,6,3,230,0,2,345,33,1,1,3,0,7,0,711,2
,"Manuka Road Primary School, 34 Manuka Road",3,0,2,0,0,2,2,0,30,0,0,47,1,0,0,2,0,1,0,90,0
,"Meadowood Community House, 55 Meadowood Drive",0,0,0,0,0,0,0,1,7,0,0,13,1,2,0,1,0,0,0,25,0
,"Target Road Primary School, 80 Target Road",5,0,0,0,1,1,0,1,15,0,1,35,2,0,0,1,0,0,0,62,0
,"Windy Ridge School, 50 Seaview Road",50,0,6,0,14,58,9,7,337,0,1,607,32,1,1,13,1,10,0,1147,2
"Mairangi Bay","Rangitoto College, 564 East Coast Road",0,0,0,0,1,4,1,0,8,0,0,23,2,0,0,0,0,1,0,40,0
"Marlborough","Marlborough Park Hall, 13a Chartwell Avenue",63,0,1,0,7,50,16,7,370,0,8,645,52,0,0,4,2,10,1,1236,3
"Milford","North Shore Hospital, Shakespeare Road",0,0,0,0,0,2,0,0,22,0,0,26,4,0,0,0,0,1,0,55,1
"Northcote","Northbridge Retirement Village Hall, 45 Akoranga Drive",39,0,1,0,3,40,9,3,163,1,6,402,33,1,0,4,0,10,0,715,2
,"Northcote Intermediate, 145 Lake Road",119,0,3,1,14,112,18,23,777,0,14,976,79,5,0,9,0,20,1,2171,8
,"Northcote Primary School, 2 Lake Road (corner Onewa Road)",93,0,6,1,7,127,12,3,427,3,7,858,22,3,0,8,0,14,1,1592,5
,"Onewa Masonic Lodge, 14 Rodney Road",74,1,2,0,0,97,9,1,224,2,4,674,31,0,0,2,0,6,0,1127,4
,"Sunnybrae Normal School, 36 Sunnybrae Road",88,0,5,0,14,87,14,4,415,1,7,997,76,1,0,5,0,12,0,1726,10
,"Willow Park School, 13 Compton Street",141,1,5,0,11,136,21,22,587,2,15,1384,82,0,2,9,0,51,0,2469,2
"Sunnynook","Wairau Intermediate School, Becroft Drive",3,0,0,0,1,2,1,0,15,0,0,31,1,0,0,0,0,1,0,55,0
"Takapuna","Takapuna School, 23 Auburn Street or Anzac Street entrance",4,0,1,0,0,6,0,0,23,0,0,40,2,0,0,2,0,3,0,81,0
,"Polling places where less than 6 votes were taken",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,"Hospital Votes",0,0,0,0,0,11,2,3,84,0,0,97,10,0,0,0,0,3,0,210,6
,"Ordinary Votes BEFORE polling day",206,1,13,1,5,212,34,18,1089,8,15,1952,101,12,2,7,0,34,1,3711,8
,"Special Votes BEFORE polling day",18,0,3,0,2,32,1,6,169,0,7,193,12,1,0,0,0,2,0,446,2
,"Special Votes On polling day",118,1,22,0,12,194,5,14,728,5,17,1198,46,8,0,27,0,17,1,2413,6
,"Overseas Special Votes including defence force",21,0,1,2,2,77,3,0,159,0,2,394,5,0,0,1,0,1,0,668,1
,"Votes Allowed for Party Only",13,0,7,1,5,31,1,4,154,1,19,182,14,2,0,1,0,2,0,437,0
,"Northcote Total",1877,8,138,13,148,2368,299,182,10517,37,227,17827,1118,72,9,159,6,348,9,35362,107
,,,,,,,,,,,,,,,,,,,,"Valid Party Votes plus Informal Party Votes",35469
"Electorate Party Valid Votes for Northcote",,"National Party - .5041287258"
"ACT New Zealand",1877,.0530795769
"Alliance",8,.0002262315
"Aotearoa Legalise Cannabis Party",138,.0039024942
"Democrats for Social Credit",13,.0003676263
"Family Party",148,.0041852836
"Green Party",2368,.0669645382
"Jim Anderton's Progressive",299,.0084554041
"Kiwi Party",182,.0051467677
"Labour Party",10517,.2974096488
"Libertarianz",37,.0010463209
"Maori Party",227,.0064193202
"National Party",17827,.5041287258
"New Zealand First Party",1118,.0316158588
"New Zealand Pacific Party",72,.0020360839
"RAM - Residents Action Movement",9,.0002545105
"The Bill and Ben Party",159,.004496352
"The Republic of New Zealand Party",6,.0001696737
"United Future",348,.0098410723
"Workers Party",9,.0002545105
