Party and Electorate Candidate Votes Recorded at each polling place
"Northland 34","Party Vote Details"
,,"ACT New Zealand","Alliance","Aotearoa Legalise Cannabis Party","Democrats for Social Credit","Family Party","Green Party","Jim Anderton's Progressive","Kiwi Party","Labour Party","Libertarianz","Maori Party","National Party","New Zealand First Party","New Zealand Pacific Party","RAM - Residents Action Movement","The Bill and Ben Party","The Republic of New Zealand Party","United Future","Workers Party","Total Valid Party Votes","Informal Party Votes"
"Ahipara","Ahipara School, Main Road",17,0,1,0,1,24,0,2,106,0,4,172,23,0,0,0,0,2,0,352,1
"Arapohue","Arapohue A&P Hall, Mititai Road",5,1,0,3,0,6,0,0,13,0,1,106,6,0,0,0,0,1,0,142,1
"Awanui","Awanui School, Main Road",9,0,1,0,3,13,1,3,84,0,5,182,28,1,0,3,0,1,0,334,1
"Awarua","Te Hurihi Marae, Mangakahia Road",0,0,0,0,1,0,0,0,7,0,2,4,3,0,0,0,0,0,0,17,0
"Baylys Beach","Presbyterian Church Hall, Seaview Road",13,0,1,3,2,19,1,0,34,0,0,102,17,0,0,2,0,0,0,194,1
"Broadwood","Broadwood Area School, Main Road",4,0,1,0,0,4,2,0,19,0,4,49,11,0,0,1,0,0,0,95,2
"Dargaville","Dargaville Primary School, Portland Street",10,2,4,1,5,39,13,2,197,1,5,415,53,1,0,5,0,13,1,767,2
,"Selwyn Park School, 38 Onslow Street",11,1,3,1,1,12,5,1,113,0,4,149,30,0,0,1,0,4,1,337,1
,"The Lighthouse Church (Hall), Normanby Street",44,2,2,3,14,49,8,5,250,2,5,540,78,2,0,4,0,6,1,1015,10
"Fairburn","Fairburn Hall, Main Fairburn-Peria Road",1,0,1,1,0,7,1,0,24,0,2,39,7,0,0,1,0,2,0,86,1
"Herekino","Herekino School, Kaitaia-Awaroa Road",1,0,0,0,0,6,1,2,20,0,0,22,5,0,0,0,0,0,0,57,1
"Hikurangi","Hikurangi School, Swan Avenue",11,0,0,0,0,14,3,0,40,0,3,100,16,0,0,0,0,3,0,190,1
"Horeke","Horeke School, Horeke Road",0,0,0,0,0,4,1,0,19,0,2,8,4,0,0,0,0,0,0,38,0
"Hukerenui","Hukerenui School, 9 Crows Nest Road",5,0,1,0,2,7,3,0,30,0,1,142,8,0,0,0,0,1,0,200,0
"Kaeo","Kaeo Primary School, State Highway 10",14,0,5,0,1,45,4,0,130,1,6,184,25,0,0,1,0,6,0,422,2
"Kaihu","Kaihu  Hall, Wood Road",12,0,0,0,1,16,3,1,39,0,4,102,14,0,0,0,0,1,0,193,1
"Kaikohe","Kaikohe East School, 36 Mangakahia Road",8,0,0,0,6,12,3,4,110,0,7,119,45,0,0,0,0,0,0,314,7
,"Kaikohe Intermediate School, 11 Park Road",13,0,3,0,2,16,0,9,159,0,13,155,39,0,0,1,0,1,0,411,3
"Kaingaroa","Kaingaroa School, State Highway 10",5,1,1,0,0,10,1,0,41,0,1,82,9,0,0,0,0,4,0,155,0
"Kaitaia","Kaitaia College, Redan Road",21,1,6,0,2,34,6,3,174,0,13,266,41,0,0,1,0,9,0,577,1
,"Kaitaia Intermediate School, 45 North Road",26,0,4,1,4,38,5,5,308,0,13,447,87,2,1,10,0,10,0,961,4
,"Victoria Valley War Memorial Hall, Victoria Valley Road",1,0,0,0,0,6,0,0,21,0,0,47,7,0,0,1,0,1,0,84,0
"Kaiwaka","Kaiwaka School, 33 Mangawhai Road",31,0,3,1,2,70,11,6,137,0,4,285,25,0,0,2,0,2,0,579,2
"Kamo","Kamo Primary School, 3 Mile Bush Road",1,0,0,0,0,1,0,0,5,0,2,17,5,0,0,0,0,0,0,31,0
"Kawakawa","Karetu School, Kura Road",0,0,0,0,1,5,0,0,14,0,0,31,4,1,0,0,0,0,0,56,0
,"Kawakawa Primary School, 31-39 Albert Street",6,1,2,1,5,20,4,1,137,0,8,182,38,0,0,4,0,1,0,410,2
"Kerikeri","Kerikeri Primary School, Hone Heke Road",102,2,4,3,3,171,9,11,503,1,20,1091,94,1,0,3,1,6,0,2025,4
,"Riverview School, Riverview Road",62,0,2,1,4,76,3,5,224,4,6,584,42,0,0,2,0,4,0,1019,0
"Kohukohu","Kohukohu Primary School, Beach Road",0,0,0,0,0,36,2,0,42,0,9,40,6,0,0,0,0,0,0,135,2
"Mangamuka","Mangamuka School, 37 School Road",0,0,0,0,0,1,1,0,6,0,1,10,1,0,0,0,0,0,0,20,0
"Mangawhai","Mangawhai Hall, Mangawhai Road",84,2,7,1,1,111,18,2,308,0,13,798,86,2,0,1,0,7,0,1441,4
"Mangonui","Mangonui School, 19 Colonel Mould Drive",31,2,1,0,3,61,8,3,175,0,5,441,46,0,0,6,0,4,0,786,3
"Maromaku","Maromaku School, Maromaku School Road",4,0,1,0,1,2,0,0,11,0,4,71,10,0,0,1,0,1,0,106,0
"Marua","Marua Hall, Marua Road",4,0,0,2,0,1,0,0,12,0,0,44,16,0,0,0,0,0,0,79,0
"Matauri Bay","Matauri Bay School, Wainui Road",1,0,0,0,0,5,0,1,21,0,3,38,5,1,0,0,0,0,0,75,0
"Matawaia","Matawaia Kohanga Reo, Matawaia Road",0,0,0,0,0,0,0,0,4,0,0,1,1,0,0,0,0,0,0,6,0
"Maungaturoto","Maungaturoto Community Centre, View Street",35,0,3,2,21,41,4,9,181,0,8,363,40,1,0,3,0,3,1,715,0
"Maunu","Maunu Primary School, 13 Austins Road",0,0,0,0,0,0,0,0,5,0,0,8,1,0,0,1,0,0,0,15,0
,"Whangarei Area Hospital, Maunu Road",0,0,0,0,0,3,0,0,10,0,1,7,1,0,0,0,0,0,0,22,0
"Moerewa","Moerewa School, Otiria Road",2,0,1,0,0,3,0,2,102,0,9,41,23,0,0,0,0,1,0,184,2
"Ngataki","Ngataki School, Far North Road",2,0,0,0,0,4,0,0,7,0,1,24,1,0,0,0,0,0,0,39,0
"Oakura","Oakura Hall, Oakura Road",4,0,0,1,0,9,1,0,30,0,4,37,9,0,0,0,0,1,0,96,0
"Ohaeawai","Ohaeawai School, Tennyson Street",9,0,2,0,0,7,0,0,37,0,5,90,10,0,0,1,0,0,0,161,1
"Okahu","Mr J Blackwell's Garage, 2081 Mititai Road",1,0,0,0,0,1,0,0,5,1,0,24,1,0,0,0,0,1,0,34,0
"Okaihau","Okaihau Primary School, Settlers Way",11,0,1,0,0,22,2,6,77,0,2,166,27,0,0,1,0,3,1,319,0
"Omana","Omana Settlers' Hall, Girls High School Road",9,0,0,0,0,0,4,0,0,0,0,8,0,0,0,0,0,0,0,21,0
"Omapere","Opononi Area School, 263 State Highway 12",2,0,0,0,0,26,2,3,86,0,3,72,18,0,0,0,0,2,0,214,4
"Opua","Opua School, Franklin Street",13,1,2,1,0,37,8,0,87,1,5,153,32,1,0,3,0,2,0,346,2
"Opuawhanga","Opuawhanga Hall, North Road",7,0,0,0,1,7,1,0,13,0,0,37,5,0,0,2,0,0,0,73,1
"Oromahoe","Oromahoe School, Te Aute Road",5,0,0,0,0,13,0,2,14,0,0,41,9,0,0,1,0,0,0,85,1
"Otaika","Lifesway Bible Church, corner Tarewa & Otaika Roads",0,0,0,0,0,0,0,0,3,0,0,4,0,0,0,0,0,0,0,7,0
"Paihia","Paihia School, School Road",32,0,4,0,1,50,5,2,229,0,12,576,56,0,0,4,1,5,0,977,4
"Pakaraka","Pakaraka School, State Highway 10",10,1,0,0,1,12,2,0,37,0,2,106,9,0,0,2,0,0,0,182,1
"Pakotai","Pakotai School, Ruddell Road (off Mangakahia Road)",6,0,1,0,0,0,1,0,7,0,0,28,7,0,0,0,0,1,0,51,0
"Pamapuria","Pamapuria School, 6970 State Highway 1",6,0,1,0,0,18,4,1,38,1,5,101,14,0,0,3,0,0,0,192,2
"Panguru","Panguru Development Trust Board, Panguru Road",0,0,0,0,0,2,1,0,22,0,4,5,2,0,0,0,0,0,0,36,0
"Paparoa","Paparoa School, Franklin Road",33,0,7,3,1,22,4,19,105,0,6,319,25,0,0,2,0,3,0,549,1
"Pawarenga","Te Kura o Hata Maria, Te Riha Road",0,0,0,0,0,4,0,0,2,0,0,1,2,0,0,0,0,0,0,9,0
"Peria","Peria School, 1430 Oruru Road",0,0,0,1,0,33,3,0,44,0,3,45,5,0,0,1,0,3,0,138,1
"Pipiwai","Te Horo School, 3239 Pipiwai Road",0,0,0,0,0,3,0,0,6,0,1,15,0,0,0,0,0,0,0,25,1
"Port Albert","Port Albert Hall, 980 Port Albert Road",20,1,2,0,3,15,2,2,35,0,3,169,22,0,0,0,0,1,0,275,0
"Pouto","Rangitane Community Centre, Pouto Road",1,0,0,0,0,2,1,2,8,0,2,14,6,0,0,0,0,0,0,36,1
"Pukenui","Pukenui School, Lamb Road",7,0,1,0,1,16,2,0,83,0,1,175,25,0,0,2,0,0,0,313,1
"Pukepoto","Pukepoto School, 818 Awaroa Road",2,0,0,0,1,5,0,0,12,0,2,37,1,0,0,0,0,1,0,61,0
"Punaruku","Whangaruru School, Old Russel Road",0,0,1,0,0,2,0,0,15,0,1,7,7,0,0,1,0,0,0,34,0
"Rawene","Rawene School, Marmon Street",7,0,1,0,1,32,2,2,85,0,9,49,7,0,0,0,1,0,1,197,0
"Rawhiti","Rawhiti Kohanga Reo, Te Rawhiti Marae",0,0,0,0,0,3,0,0,10,0,4,5,2,0,0,0,0,0,0,24,0
"Ruatangata","Ruatangata Hall, Ruatangata Road",11,0,0,0,0,5,0,0,11,1,0,62,3,0,0,0,0,1,0,94,0
"Ruawai","Ruawai Primary School, Main Road",30,2,1,0,4,15,4,2,117,0,5,261,33,0,0,4,0,2,1,481,1
"Russell","Russell School, Baker Street",13,0,0,0,1,74,4,2,167,0,13,296,50,0,0,6,0,4,0,630,2
"Springs Flat","Alive Christian Fellowship, 55 Great North Road",3,0,0,0,0,0,0,0,1,0,0,7,0,0,0,0,0,0,0,11,0
"Taheke","Taheke Resource Centre, State Highway 12",4,0,0,0,0,7,0,0,30,0,2,25,13,0,0,0,0,1,0,82,0
"Taipa","Taipa Area School, 578 State Highway 10",19,0,0,0,0,35,4,3,149,0,20,286,38,0,0,3,0,1,0,558,5
"Taipuha","Taipuha Hall, Taipuha Station Road",2,0,0,0,0,1,0,0,5,0,1,48,5,0,0,0,0,1,0,63,0
"Takahue","Takahue Community Hall, Takahue Saddle Road",11,0,0,0,0,9,1,1,12,0,2,43,7,0,0,2,1,2,0,91,0
"Tangiteroria","Tangiteroria Primary School, 3078 State Highway 14",7,0,1,3,3,13,4,0,32,0,2,84,7,0,0,2,0,1,0,159,0
"Tangowahine","Tangowahine Primary School, Tangowahine Valley Road",7,0,0,0,0,11,2,0,24,0,1,83,10,0,0,0,0,0,0,138,0
"Taupo Bay","Taupo Bay Holiday Park, Taupo Bay Road",2,0,1,0,0,0,0,0,17,0,1,34,4,0,0,0,0,0,0,59,1
"Tautoro","Tautoro School, Mangakahia Road",0,0,0,0,2,4,0,0,9,0,2,15,0,0,0,0,0,0,0,32,0
"Te Hapua","Te Hapua School, 14 Waharua Road",0,0,0,0,0,0,0,0,1,0,1,4,3,0,0,0,0,0,0,9,0
"Te Iringa","Te Iringa Marae, Waimatenui Road",3,0,1,0,0,0,0,0,10,0,0,8,0,0,0,0,0,0,0,22,2
