Party and Electorate Candidate Votes Recorded at each polling place
"Papakura 39","Party Vote Details"
,,"ACT New Zealand","Alliance","Aotearoa Legalise Cannabis Party","Democrats for Social Credit","Family Party","Green Party","Jim Anderton's Progressive","Kiwi Party","Labour Party","Libertarianz","Maori Party","National Party","New Zealand First Party","New Zealand Pacific Party","RAM - Residents Action Movement","The Bill and Ben Party","The Republic of New Zealand Party","United Future","Workers Party","Total Valid Party Votes","Informal Party Votes"
"Alfriston","Alfriston School, corner Mill & Alfriston Roads",56,0,0,0,0,18,8,3,85,0,5,462,21,0,0,3,0,3,0,664,2
"Ardmore","Ardmore School, 559 Papakura Clevedon Road",62,0,1,0,0,15,3,1,44,0,3,345,24,0,0,5,0,2,0,505,1
"Clarks Beach","Church By The Seashore, 14-16 Torkar Road",41,0,1,0,0,22,5,2,99,0,4,301,30,0,1,2,0,5,0,513,0
"Drury","Drury School, 23-25 Youngs Crescent",130,1,6,0,3,46,7,4,197,0,12,1015,59,0,1,5,0,7,0,1493,10
"Karaka","Karaka School, corner Blackbridge Road & State Highway 22",48,0,1,0,2,5,3,4,69,0,1,346,8,0,0,0,0,3,1,491,2
,"Te Hihi School, corner Linwood & Batty Roads",68,0,3,0,0,24,4,2,68,0,2,432,19,1,0,6,0,5,0,634,1
"Manurewa","Alfriston College, 550 Porchester Road",53,0,1,0,10,32,22,4,525,0,6,553,54,25,0,8,0,16,0,1309,10
,"Clayton Park School, corner Coxhead & Wattle Farm Roads",140,2,7,0,11,52,22,1,778,1,20,1261,121,13,2,11,0,15,0,2457,15
,"Elmwood Village, 131 Hill Road",34,0,1,0,5,16,3,0,120,0,1,280,20,1,0,2,0,2,1,486,2
,"Greenmeadows Intermediate, Ferguson Road entrance",1,0,0,0,0,1,0,0,7,0,1,4,0,0,0,0,0,0,0,14,0
,"Manurewa Central School, corner Great South & Hill Roads",5,0,0,0,0,4,0,0,44,0,2,35,1,2,0,3,0,1,0,97,4
,"Manurewa East School, Scotts Road",1,0,1,0,1,2,0,0,47,0,4,14,6,2,0,2,0,0,0,80,1
,"Manurewa Library, 7 Hill Road",12,0,0,0,2,5,4,1,129,0,2,117,7,6,1,1,0,3,0,290,6
,"The Gardens School, 101 Charles Prevost Drive",83,0,4,0,5,27,11,1,246,0,6,836,36,5,0,1,1,18,0,1280,3
"Papakura","Cosgrove School, 10 Cosgrave Road",65,1,10,1,13,45,12,4,430,0,16,594,103,9,4,10,0,18,0,1335,9
,"Kelvin Road School, 74-76 Kelvin Road",21,0,3,1,3,23,11,5,360,0,12,228,44,12,2,6,0,7,0,738,3
,"Nga Puawai o Wikitoria Te Kohanga Reo, 32 Old Wairoa Road",20,0,3,0,2,9,1,0,133,0,5,117,26,0,0,3,0,11,0,330,4
,"Opaheke School, 12a Tasman Drive",103,1,7,0,4,61,6,1,298,0,11,663,60,4,0,11,0,8,0,1238,6
,"Papakura Anglican Church, 40 Coles Crescent",49,3,1,0,3,23,3,2,300,0,4,367,73,3,0,6,0,8,1,846,7
,"Papakura Central School, 23 Ray Small Drive",107,1,7,0,2,44,12,2,421,1,10,853,94,4,0,12,0,20,0,1590,8
,"Papakura District Court, corner Great South Road & Wood Street",32,0,4,0,3,28,7,2,247,2,4,299,66,2,0,7,0,8,0,711,4
,"Papakura High School, 11 Willis Road",32,0,6,0,2,23,13,4,390,1,6,346,61,6,0,4,1,4,1,900,11
,"Papakura Normal Primary School, corner Walters & Porchester Roads",65,1,2,0,6,42,9,4,390,1,10,622,41,6,0,4,0,6,0,1209,8
,"Papakura South School, 58 Beach Road",49,0,1,0,4,19,0,0,208,0,6,378,45,4,0,2,0,9,0,725,4
,"Redhill School, School Hall, 54 Redcrest Avenue (Mack Place entrance)",48,1,6,0,5,24,4,5,218,0,14,285,34,6,0,7,0,7,1,665,2
