Party and Electorate Candidate Votes Recorded at each polling place
"Christchurch Central 4","Party Vote Details"
,,"ACT New Zealand","Alliance","Aotearoa Legalise Cannabis Party","Democrats for Social Credit","Family Party","Green Party","Jim Anderton's Progressive","Kiwi Party","Labour Party","Libertarianz","Maori Party","National Party","New Zealand First Party","New Zealand Pacific Party","RAM - Residents Action Movement","The Bill and Ben Party","The Republic of New Zealand Party","United Future","Workers Party","Total Valid Party Votes","Informal Party Votes"
"Addington","Addington School, 22 Brougham Street",0,0,0,0,0,4,1,0,6,0,0,8,0,0,0,0,0,0,0,19,1
,"Sacred Heart Parish Library, 40 Spencer Street",0,0,0,0,0,1,0,0,4,0,0,1,0,0,0,0,0,0,0,6,0
"Avonside","Avonside Early Childhood Centre, 43 Woodham Road",7,0,1,1,2,52,7,0,157,0,2,101,13,0,0,1,1,4,1,350,2
,"Avonside Scout Den, 11 Retreat Road",16,1,7,1,0,85,18,2,260,0,9,224,13,0,0,0,0,3,0,639,0
,"Christchurch Amateur Radio Club, 27 Galbraith Avenue",1,1,0,0,0,19,2,1,49,0,1,43,7,0,0,2,0,3,0,129,0
,"Holy Trinity Anglican Church Hall, 168 Stanmore Road",8,0,1,0,0,65,9,6,218,0,3,111,11,0,0,2,0,2,1,437,1
"Bishopdale","Bishopdale School Hall, 465 Greers Road",0,1,0,0,0,5,3,2,70,0,1,53,3,2,0,1,0,3,2,146,1
,"CCS Disability Action, corner Farrington Avenue & Kilburn Street",0,0,1,0,0,5,0,0,10,0,0,7,0,0,0,1,0,1,0,25,0
"Burwood","Burwood School Hall, 255 New Brighton Road",2,0,0,0,0,4,0,1,11,0,0,17,0,0,0,1,0,0,0,36,0
"Christchurch City","ANZ Building, ground floor, 9 Cathedral Square",22,1,12,0,1,91,12,7,228,0,4,181,14,0,0,4,0,5,3,585,2
,"Cathedral College, corner Barbadoes Street and Moorhouse Avenue",5,0,0,0,0,14,2,0,42,0,0,50,3,0,0,0,0,0,0,116,1
,"Christchurch Art Gallery, corner Worcester Boulevard & Montreal Streets",9,0,1,0,0,102,7,3,186,0,5,233,7,0,0,7,0,5,0,565,0
,"Christchurch East School, 311 Gloucester Street",31,2,5,0,1,151,13,4,393,1,4,237,27,0,0,4,0,1,2,876,1
,"Christchurch Public Hospital, Great Escape Cafe, Riccarton Avenue",3,0,0,0,0,20,1,1,48,0,0,32,2,0,0,0,0,0,0,107,2
,"Disability Information Service, Disabled Persons Centre, 314 Worcester Street",1,1,0,0,0,11,2,0,50,0,2,29,8,0,0,0,0,0,0,104,0
,"District Court, Family Court Building, 85 Armagh Street",10,0,1,0,0,24,0,1,72,0,0,110,5,0,0,0,0,1,0,224,0
,"Hagley Community College, 510 Hagley Avenue",3,0,0,0,0,14,2,0,36,0,0,29,0,0,0,1,0,2,0,87,1
,"HMNZS Pegasus, 419 Montreal Street",17,1,0,0,0,35,5,1,89,0,4,212,11,0,0,0,0,2,0,377,2
,"St Luke's Church, 250 Manchester Street",18,0,1,0,0,94,6,1,145,0,4,159,9,0,0,3,0,1,0,441,0
,"St Mary's Parish Hall, 375 Manchester Street",17,1,2,0,1,45,11,4,123,1,1,218,13,0,0,2,0,3,1,443,0
"Dallington","Banks Avenue School Hall, 71 Banks Avenue",1,0,0,0,0,18,3,0,33,0,1,31,6,0,0,0,0,1,0,94,1
,"St Paul's School, School Hall, 21 Gayhurst Road",2,0,1,0,1,18,1,3,60,0,0,47,6,0,0,0,0,0,0,139,0
"Fendalton","Christchurch Boys' High School, Big Room, Straven Road at Te Kura Street",2,0,0,0,0,2,0,0,7,0,0,19,2,0,0,1,0,0,0,33,0
"Ilam","Ilam School Hall, 66 Ilam Road",1,0,0,0,0,9,0,0,19,1,0,18,1,0,0,0,0,1,0,50,0
