Party and Electorate Candidate Votes Recorded at each polling place
"Rangitikei 42","Party Vote Details"
,,"ACT New Zealand","Alliance","Aotearoa Legalise Cannabis Party","Democrats for Social Credit","Family Party","Green Party","Jim Anderton's Progressive","Kiwi Party","Labour Party","Libertarianz","Maori Party","National Party","New Zealand First Party","New Zealand Pacific Party","RAM - Residents Action Movement","The Bill and Ben Party","The Republic of New Zealand Party","United Future","Workers Party","Total Valid Party Votes","Informal Party Votes"
"Aokautere","Aokautere School Hall, 196 Fitzherbert East Road",31,1,3,0,4,64,6,2,135,0,6,320,25,0,0,3,0,6,0,606,1
"Apiti","Apiti School, 11 Bryce Street",22,0,2,0,0,3,1,1,18,0,1,83,3,0,0,1,0,2,0,137,0
"Ashhurst","Ashhurst School Hall, 96 Cambridge Avenue",50,3,2,0,6,120,16,7,491,0,4,604,93,1,0,16,0,19,0,1432,4
"Awahou North","Awahou School, Pohangina Valley East Road",9,1,0,0,0,16,0,1,37,0,1,86,1,0,0,3,0,4,0,159,1
"Awahuri","Awahuri Hall, Rural No 1623, State Highway 3",31,2,2,0,0,14,0,1,54,0,2,135,11,0,0,2,0,1,0,255,0
"Bulls","Bulls School, Bridge Street",25,0,0,0,0,32,7,2,191,1,4,338,34,0,0,5,0,7,0,646,3
,"Clifton School, Clifton Street",24,0,1,1,2,13,1,2,149,2,3,279,36,0,0,12,0,7,0,532,4
"Bunnythorpe","Bunnythorpe School, 5 Baring Street",24,0,1,0,0,27,6,0,149,0,4,215,37,1,0,1,0,8,0,473,2
"Cheltenham","Cheltenham School, Cheltenham-Hunterville Highway",15,0,0,0,0,5,3,0,20,0,0,101,2,0,0,1,0,5,0,152,0
"Colyton","Colyton School, 421 Colyton Road",16,0,0,0,0,17,6,0,50,0,1,216,26,0,0,0,0,2,0,334,1
"Feilding","Feilding Fire Station Lounge, 201 Kimbolton Road",28,1,4,1,2,30,11,4,251,0,4,399,38,0,0,7,0,11,0,791,2
,"Feilding Intermediate School, 95 East Street",25,1,0,0,3,28,6,0,292,0,3,299,41,0,0,5,0,12,1,716,3
,"Industrial, Agricultural & Pastoral Association Hall, Rata Street",12,0,2,1,1,18,1,1,76,0,1,232,11,0,0,1,0,5,0,362,0
,"Lytton St School, corner Lytton & Monmouth Streets",35,2,8,2,6,50,13,9,390,1,8,504,60,1,0,11,0,12,1,1113,5
,"Manchester St School, 160 Manchester Street",62,1,9,2,0,80,16,5,501,1,13,819,80,1,1,5,1,24,0,1621,5
,"North Street School, 52 North Street",41,0,8,1,0,66,16,6,452,0,10,521,56,0,0,18,1,8,0,1204,5
