Party and Electorate Candidate Votes Recorded at each polling place
"Rimutaka 43","Party Vote Details"
,,"ACT New Zealand","Alliance","Aotearoa Legalise Cannabis Party","Democrats for Social Credit","Family Party","Green Party","Jim Anderton's Progressive","Kiwi Party","Labour Party","Libertarianz","Maori Party","National Party","New Zealand First Party","New Zealand Pacific Party","RAM - Residents Action Movement","The Bill and Ben Party","The Republic of New Zealand Party","United Future","Workers Party","Total Valid Party Votes","Informal Party Votes"
"Avalon","Avalon School, 10 Gordon Street",22,0,3,0,4,46,8,7,512,1,4,503,37,2,0,7,0,27,2,1185,9
,"Dyer Street School, Dyer Street",0,0,0,0,1,2,2,1,19,0,0,29,5,0,0,0,0,1,0,60,0
"Belmont","Belmont School, 709 Western Hutt Road",35,2,2,0,0,79,9,3,319,1,5,463,31,0,0,7,0,19,0,975,1
,"Cretney's Garage, 17 Foster Crescent",16,0,1,0,0,75,1,3,72,0,2,132,10,0,0,1,0,4,0,317,0
"Blue Mountains","Blue Mountains Progressive Association, Avian Crescent",21,0,3,0,0,24,4,6,60,0,0,114,7,0,0,1,0,7,0,247,0
"Brown Owl","St Peter Chanel Catholic Centre, corner Bernadette Street & Fergusson Drive",23,1,3,1,0,68,14,5,362,0,2,476,51,0,0,12,0,10,0,1028,0
"Epuni","Congregational Christian Church Hall of Samoa, 37 Mitchell Street",1,0,0,0,0,2,0,0,15,0,0,9,2,0,0,0,0,1,0,30,0
,"Epuni School Hall, 313 Waiwhetu Road",1,0,0,0,0,2,0,0,16,0,0,4,1,0,0,1,0,0,0,25,0
"Heretaunga","Shazam's After School Care Hall, 386-388 Fergusson Drive",22,0,1,0,0,16,1,3,111,0,3,202,10,0,0,2,0,11,1,383,1
,"St Brendan's School, 56 Palmer Crescent",22,0,1,0,1,26,8,5,227,0,3,299,18,0,0,3,0,8,1,622,4
,"Suzanne Aubert Centre, 3 Perry Street",7,0,0,0,0,13,8,5,121,0,0,190,21,0,0,2,0,7,0,374,0
"Hutt Central","Eastern Hutt School, 83 Kings Crescent",0,0,1,0,1,5,0,0,15,0,0,31,1,0,0,0,0,0,0,54,1
,"Hutt Hospital, High Street",2,0,0,0,1,6,0,0,56,0,1,26,4,0,0,0,0,1,0,97,0
,"Knox Presbyterian Church Hall, 574 High Street",1,0,0,0,0,9,1,0,23,0,0,54,5,0,0,1,0,0,0,94,1
,"Sts. Peter and Paul School, Myrtle Street",1,0,1,0,0,6,0,0,38,0,0,18,1,0,0,0,0,0,0,65,0
"Kelson","Kelson School Hall, Taieri Cresent",42,2,2,0,1,86,11,5,407,2,5,593,26,2,0,7,1,29,0,1221,2
"Mangaroa","Mangaroa School, Flux Road",12,0,1,0,0,31,4,2,74,0,1,225,16,0,0,2,0,7,0,375,2
"Manor Park","Former Manor Park School, Ford Road",2,0,0,0,1,9,1,0,57,0,0,82,7,0,0,1,1,2,0,163,0
"Maoribank","Maoribank School, 32 Hillside Drive",8,0,4,0,2,13,3,2,257,0,6,124,20,0,0,4,0,10,1,454,0
"Naenae","Maota Samoa Hall, 25 Treadwell Street",0,0,0,0,0,2,1,0,28,0,0,9,1,0,0,0,0,1,0,42,0
,"Naenae Kindergarten, 19 Seddon Street",0,0,0,0,0,1,0,0,9,0,0,8,0,0,0,0,0,0,0,18,0
,"Naenae School, Wheatley Street",0,0,0,0,0,2,0,0,14,0,0,8,0,1,0,0,0,0,0,25,0
,"Rata Street School, Rata Street",1,0,0,0,1,1,0,0,28,0,3,7,2,0,0,1,0,1,0,45,0
"Parkdale","Birchville School, 16 Gemstone Drive",26,2,4,2,0,47,4,7,288,1,3,319,26,1,0,2,0,11,0,743,6
"Petone","Petone Central School, 16 Britannia Street",1,0,0,0,0,10,1,0,22,0,1,24,2,0,0,0,0,0,0,61,0
"Pinehaven","Pinehaven School, Forest Road",25,0,2,0,2,87,10,10,231,0,4,272,25,0,0,4,0,16,0,688,0
"Riverstone Terraces","Professionals Real Estate Office, Kirton Drive",16,1,1,0,2,23,2,0,138,0,2,352,11,0,0,1,0,9,0,558,0
"Silverstream","Silverstream School, Whitemans Road",57,1,3,0,0,89,5,12,403,1,11,746,43,0,0,7,1,24,0,1403,2
,"St Margaret's Church Hall, Dunns Road",33,0,1,0,0,59,10,8,251,0,3,426,14,0,0,4,0,14,0,823,2
"Stokes Valley","Jeanette Mullins School of Dance, Library Hall, Scott Court",35,2,6,0,12,71,18,11,762,0,18,472,83,6,0,17,0,23,1,1537,6
,"Tawhai School, Glen Road",18,1,2,0,1,44,7,6,252,0,2,255,12,0,2,8,0,8,0,618,0
,"Tui Glen School, Stokes Valley Road",9,2,3,0,4,34,7,2,318,0,6,203,20,5,0,6,0,4,1,624,1
,"Uniting Parish Church, 346 Stokes Valley Road",18,0,2,0,0,57,11,0,401,1,7,355,38,0,0,5,1,14,1,911,1
"Taita","Avalon Intermediate School, 1041 High Street",21,1,4,0,4,44,12,6,509,0,4,341,44,3,0,7,0,13,1,1014,5
,"Pomare School, Partridge Street",4,1,1,0,0,10,4,0,391,0,4,75,22,6,1,3,0,2,0,524,3
,"St Michael's School, Cooper Street",5,0,0,0,0,15,3,4,243,1,1,62,27,4,0,0,0,5,1,371,9
,"Taita Central School, Churton Crescent",8,0,3,0,2,25,7,3,370,0,4,105,30,6,0,3,0,9,0,575,8
"Te Marua","Plateau School, Malloys Road",12,0,5,0,2,45,0,1,192,0,2,205,28,0,0,3,0,2,0,497,0
"Totara Park","Totara Park School, 16 California Drive",36,2,7,1,4,56,12,6,576,0,7,602,60,0,0,11,0,17,1,1398,2
"Trentham","Masonic Centre, Islington Street",15,1,3,0,1,44,6,5,370,0,7,291,34,2,0,5,0,4,1,789,3
,"Trentham School, Moonshine Road",28,0,4,0,3,62,20,19,586,0,9,519,50,1,0,13,0,20,0,1334,3
"Upper Hutt","177-179 Main Street (next to Pizza Hut)",34,0,7,2,1,42,4,7,423,0,10,362,35,2,0,17,0,11,0,957,4
,"Fraser Crescent School, 16 Redwood Street",16,1,3,0,0,47,12,9,356,0,9,394,43,0,0,7,0,15,0,912,7
,"Oxford Crescent School, 5 Oxford Crescent",23,2,2,1,1,31,4,5,333,1,6,328,52,0,0,2,0,11,1,803,0
,"St Hilda's Church Hall, 35 Cruickshank Road",24,1,2,0,3,29,6,7,224,0,5,266,39,1,0,3,0,6,0,616,5
,"St Joseph's Scout Hall, Royal Street",10,0,3,0,1,15,6,11,269,0,4,201,43,2,0,3,0,5,0,573,0
,"Wesley Centre (St David's Hall), 1 Benzie Avenue",23,0,2,0,0,39,8,7,325,0,4,310,43,0,0,5,0,6,0,772,2
"Wallaceville","Baptist Church Hall, Milton Street",14,0,2,0,3,36,13,4,322,0,5,276,21,0,0,4,0,16,1,717,0
,"Heretaunga College, Ward Street",18,0,6,0,4,59,17,10,386,0,8,330,29,1,0,11,0,21,0,900,4
"Wellington City","Michael Fowler Centre, Renouf Foyer, Level 1, 111 Wakefield Street",4,0,0,0,0,10,0,0,20,0,1,23,0,0,0,1,0,0,0,59,0
,"Polling places where less than 6 votes were taken",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,"Hospital Votes",8,1,0,0,4,17,11,0,264,0,1,190,42,0,0,0,1,7,1,547,13
,"Ordinary Votes BEFORE polling day",71,2,2,1,9,174,30,19,1276,2,21,1355,154,2,0,10,0,36,1,3165,7
,"Special Votes BEFORE polling day",8,0,3,0,1,28,2,0,154,1,2,160,17,1,0,2,1,3,1,384,0
,"Special Votes On polling day",38,1,10,0,6,137,15,11,851,1,23,753,62,8,1,30,1,15,0,1963,7
,"Overseas Special Votes including defence force",6,1,1,0,1,66,0,4,124,0,1,193,15,0,0,1,0,4,0,417,0
,"Votes Allowed for Party Only",6,0,5,0,1,31,2,1,215,0,30,81,13,1,0,8,0,2,1,397,5
,"Rimutaka Total",909,28,122,8,85,2107,345,242,14685,13,260,14452,1453,57,4,255,7,499,18,35549,126
,,,,,,,,,,,,,,,,,,,,"Valid Party Votes plus Informal Party Votes",35675
"Electorate Party Valid Votes for Rimutaka",,"Labour Party - .4130917888"
"ACT New Zealand",909,.0255703395
"Alliance",28,.0007876452
"Aotearoa Legalise Cannabis Party",122,.0034318828
"Democrats for Social Credit",8,.0002250415
"Family Party",85,.0023910659
"Green Party",2107,.059270303
"Jim Anderton's Progressive",345,.0097049143
"Kiwi Party",242,.0068075051
"Labour Party",14685,.4130917888
"Libertarianz",13,.0003656924
"Maori Party",260,.0073138485
"National Party",14452,.4065374553
"New Zealand First Party",1453,.040873161
"New Zealand Pacific Party",57,.0016034206
"RAM - Residents Action Movement",4,.0001125207
"The Bill and Ben Party",255,.0071731976
"The Republic of New Zealand Party",7,.0001969113
"United Future",499,.0140369631
"Workers Party",18,.0005063434
